method,split,seed,extractor,evidence_status,metric,value
joint_affine,development,29,vitpose_base,automated-source-screen,visible_nle,0.014786755690683162
joint_affine,development,43,hrnet_w32,automated-source-screen,visible_nle,0.012124313295031077
joint_affine,development,43,rtmpose_m,automated-source-screen,visible_nle,0.01118825924485597
joint_affine,development,43,vitpose_base,automated-source-screen,visible_nle,0.014786755690683162
joint_offset,development,17,hrnet_w32,automated-source-screen,visible_nle,0.012186466697998772
joint_offset,development,17,rtmpose_m,automated-source-screen,visible_nle,0.011201914484005232
joint_offset,development,17,vitpose_base,automated-source-screen,visible_nle,0.014885929944125176
joint_offset,development,29,hrnet_w32,automated-source-screen,visible_nle,0.012186466697998772
joint_offset,development,29,rtmpose_m,automated-source-screen,visible_nle,0.011201914484005232
joint_offset,development,29,vitpose_base,automated-source-screen,visible_nle,0.014885929944125176
joint_offset,development,43,hrnet_w32,automated-source-screen,visible_nle,0.012186466697998772
joint_offset,development,43,rtmpose_m,automated-source-screen,visible_nle,0.011201914484005232
joint_offset,development,43,vitpose_base,automated-source-screen,visible_nle,0.014885929944125176
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.012015133866240634
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.010916628857928838
ordinary_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.014961762172359377
ordinary_jepa,development,29,hrnet_w32,automated-source-screen,visible_nle,0.012062125007109386
ordinary_jepa,development,29,rtmpose_m,automated-source-screen,visible_nle,0.011038365041171906
ordinary_jepa,development,29,vitpose_base,automated-source-screen,visible_nle,0.01493613598276845
ordinary_jepa,development,43,hrnet_w32,automated-source-screen,visible_nle,0.012044015911368673
ordinary_jepa,development,43,rtmpose_m,automated-source-screen,visible_nle,0.011015954800405056
ordinary_jepa,development,43,vitpose_base,automated-source-screen,visible_nle,0.015018075489772614
paired_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011997370805396052
paired_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.011032823474555708
paired_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.014824048231169062
paired_jepa,development,29,hrnet_w32,automated-source-screen,visible_nle,0.012028602660951428
paired_jepa,development,29,rtmpose_m,automated-source-screen,visible_nle,0.011060311569672174
paired_jepa,development,29,vitpose_base,automated-source-screen,visible_nle,0.014897755106909638
paired_jepa,development,43,hrnet_w32,automated-source-screen,visible_nle,0.012032781315307642
paired_jepa,development,43,rtmpose_m,automated-source-screen,visible_nle,0.011111917344733267
paired_jepa,development,43,vitpose_base,automated-source-screen,visible_nle,0.01490300041991056
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011992636470316967
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.011026996689826119
shuffled_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.014832479892210853
shuffled_jepa,development,29,hrnet_w32,automated-source-screen,visible_nle,0.012014795649712893
shuffled_jepa,development,29,rtmpose_m,automated-source-screen,visible_nle,0.011042314661584063
shuffled_jepa,development,29,vitpose_base,automated-source-screen,visible_nle,0.014878356211261129
shuffled_jepa,development,43,hrnet_w32,automated-source-screen,visible_nle,0.012039166365862164
shuffled_jepa,development,43,rtmpose_m,automated-source-screen,visible_nle,0.011112945846436063
shuffled_jepa,development,43,vitpose_base,automated-source-screen,visible_nle,0.014903064595748992
smoothnet,development,17,hrnet_w32,automated-source-screen,visible_nle,0.013651283973612765
smoothnet,development,17,rtmpose_m,automated-source-screen,visible_nle,0.012848222143894068
smoothnet,development,17,vitpose_base,automated-source-screen,visible_nle,0.016329894528361862
smoothnet,development,29,hrnet_w32,automated-source-screen,visible_nle,0.013788140994423102
smoothnet,development,29,rtmpose_m,automated-source-screen,visible_nle,0.012910875743645389
smoothnet,development,29,vitpose_base,automated-source-screen,visible_nle,0.016352912197299868
smoothnet,development,43,hrnet_w32,automated-source-screen,visible_nle,0.013801916224032514
smoothnet,development,43,rtmpose_m,automated-source-screen,visible_nle,0.012923071310217225
smoothnet,development,43,vitpose_base,automated-source-screen,visible_nle,0.01636832818768231
static,development,17,hrnet_w32,automated-source-screen,visible_nle,0.011661477399449414
static,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01046601660435999
static,development,17,vitpose_base,automated-source-screen,visible_nle,0.014399362222734722
static,development,29,hrnet_w32,automated-source-screen,visible_nle,0.011665416819871358
static,development,29,rtmpose_m,automated-source-screen,visible_nle,0.010443003563019795
static,development,29,vitpose_base,automated-source-screen,visible_nle,0.014430455633446655
static,development,43,hrnet_w32,automated-source-screen,visible_nle,0.011663365175693935
static,development,43,rtmpose_m,automated-source-screen,visible_nle,0.01048144388747377
static,development,43,vitpose_base,automated-source-screen,visible_nle,0.014457340171526115
unchanged,development,17,hrnet_w32,automated-source-screen,visible_nle,0.020696477973387493
unchanged,development,17,rtmpose_m,automated-source-screen,visible_nle,0.019378440797994227
unchanged,development,17,vitpose_base,automated-source-screen,visible_nle,0.023274734340568693
unchanged,development,29,hrnet_w32,automated-source-screen,visible_nle,0.020696477973387542
unchanged,development,29,rtmpose_m,automated-source-screen,visible_nle,0.01937844079799427
unchanged,development,29,vitpose_base,automated-source-screen,visible_nle,0.023274734340568745
unchanged,development,43,hrnet_w32,automated-source-screen,visible_nle,0.020696477973387542
unchanged,development,43,rtmpose_m,automated-source-screen,visible_nle,0.01937844079799427
unchanged,development,43,vitpose_base,automated-source-screen,visible_nle,0.023274734340568745
coordinate,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
coordinate,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
coordinate,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
coordinate,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
coordinate,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
coordinate,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
coordinate,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
coordinate,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
coordinate,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
direct,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
direct,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
direct,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
direct,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
direct,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
direct,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
direct,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
direct,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
direct,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
filter0,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
filter0,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
filter0,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
filter0,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
filter0,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
filter0,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
filter0,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
filter0,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
filter0,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
filter1,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
filter1,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
filter1,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
filter1,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
filter1,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
filter1,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
filter1,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
filter1,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
filter1,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
filter2,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
filter2,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
filter2,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
filter2,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
filter2,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
filter2,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
filter2,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
filter2,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
filter2,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
initialized,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
initialized,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
initialized,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
initialized,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
initialized,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
initialized,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
initialized,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
initialized,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
initialized,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
joint_affine,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
joint_affine,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
joint_affine,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
joint_affine,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
joint_affine,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
joint_affine,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
joint_affine,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
joint_affine,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
joint_affine,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
joint_offset,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
joint_offset,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
joint_offset,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
joint_offset,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
joint_offset,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
joint_offset,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
joint_offset,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
joint_offset,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
joint_offset,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
ordinary_jepa,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
paired_jepa,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
paired_jepa,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
paired_jepa,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
paired_jepa,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
paired_jepa,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
paired_jepa,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
paired_jepa,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
paired_jepa,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
paired_jepa,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
shuffled_jepa,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
smoothnet,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
smoothnet,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
smoothnet,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
smoothnet,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
smoothnet,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
smoothnet,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
smoothnet,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
smoothnet,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
smoothnet,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
static,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
static,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
static,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
static,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
static,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
static,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
static,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
static,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
static,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
unchanged,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,
unchanged,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,
unchanged,development,17,vitpose_base,automated-source-screen,lower_limb_nle,
unchanged,development,29,hrnet_w32,automated-source-screen,lower_limb_nle,
unchanged,development,29,rtmpose_m,automated-source-screen,lower_limb_nle,
unchanged,development,29,vitpose_base,automated-source-screen,lower_limb_nle,
unchanged,development,43,hrnet_w32,automated-source-screen,lower_limb_nle,
unchanged,development,43,rtmpose_m,automated-source-screen,lower_limb_nle,
unchanged,development,43,vitpose_base,automated-source-screen,lower_limb_nle,
coordinate,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
coordinate,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
coordinate,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
coordinate,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
coordinate,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
coordinate,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
coordinate,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
coordinate,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
coordinate,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
direct,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
direct,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
direct,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
direct,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
direct,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
direct,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
direct,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
direct,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
direct,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
filter0,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
filter0,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
filter0,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
filter0,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
filter0,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
filter0,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
filter0,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
filter0,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
filter0,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
filter1,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
filter1,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
filter1,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
filter1,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
filter1,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
filter1,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
filter1,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
filter1,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
filter1,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
filter2,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
filter2,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
filter2,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
filter2,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
filter2,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
filter2,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
filter2,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
filter2,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
filter2,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
initialized,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
initialized,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
initialized,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
initialized,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
initialized,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
initialized,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
initialized,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
initialized,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
initialized,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
joint_affine,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
joint_affine,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
joint_affine,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
joint_affine,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
joint_affine,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
joint_affine,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
joint_affine,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
joint_affine,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
joint_affine,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
joint_offset,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
joint_offset,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
joint_offset,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
joint_offset,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
joint_offset,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
joint_offset,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
joint_offset,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
joint_offset,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
joint_offset,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
ordinary_jepa,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
paired_jepa,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
paired_jepa,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
paired_jepa,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
paired_jepa,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
paired_jepa,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
paired_jepa,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
paired_jepa,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
paired_jepa,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
paired_jepa,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
shuffled_jepa,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
smoothnet,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
smoothnet,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
smoothnet,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
smoothnet,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
smoothnet,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
smoothnet,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
smoothnet,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
smoothnet,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
smoothnet,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
static,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
static,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
static,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
static,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
static,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
static,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
static,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
static,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
static,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
unchanged,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0
unchanged,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0
unchanged,development,17,vitpose_base,automated-source-screen,missing_rate,0.0
unchanged,development,29,hrnet_w32,automated-source-screen,missing_rate,0.0
unchanged,development,29,rtmpose_m,automated-source-screen,missing_rate,0.0
unchanged,development,29,vitpose_base,automated-source-screen,missing_rate,0.0
unchanged,development,43,hrnet_w32,automated-source-screen,missing_rate,0.0
unchanged,development,43,rtmpose_m,automated-source-screen,missing_rate,0.0
unchanged,development,43,vitpose_base,automated-source-screen,missing_rate,0.0
coordinate,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.009689761848631004
coordinate,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.007526755915260056
