method,extractor,metric,mean,min,max
direct,rtmpose_m,amplitude_ratio,,,
direct,rtmpose_m,ankle_separation_mae,,,
direct,rtmpose_m,displacement_nle,0.006869403330745185,0.0068046779483964875,0.006905074654379602
direct,rtmpose_m,event_timing_mae_s,,,
direct,rtmpose_m,lower_limb_nle,,,
direct,rtmpose_m,missing_rate,0.0,0.0,0.0
direct,rtmpose_m,p95_nle,0.024561758874790857,0.024240037389462586,0.025148204428087517
direct,rtmpose_m,synthetic_all_nle,0.013575790627738796,0.013198361954250492,0.014183239131963222
direct,rtmpose_m,synthetic_occluded_nle,,,
direct,rtmpose_m,visible_nle,0.010081210196329604,0.009899697897081918,0.010287355897557795
direct,vitpose_base,amplitude_error,,,
direct,vitpose_base,amplitude_ratio,,,
direct,vitpose_base,ankle_separation_mae,,,
direct,vitpose_base,displacement_nle,0.007337089036758421,0.007296899966217707,0.007392564807473895
direct,vitpose_base,event_timing_mae_s,,,
direct,vitpose_base,lower_limb_nle,,,
direct,vitpose_base,missing_rate,0.0,0.0,0.0
direct,vitpose_base,p95_nle,0.02971803249602308,0.02911410320993023,0.0308685011046216
direct,vitpose_base,synthetic_all_nle,0.018407464344395236,0.01805838787175095,0.01897214630786907
direct,vitpose_base,synthetic_occluded_nle,,,
direct,vitpose_base,visible_nle,0.013323369088396717,0.013179368281493345,0.013529047075862001
filter0,hrnet_w32,amplitude_error,,,
filter0,hrnet_w32,amplitude_ratio,,,
filter0,hrnet_w32,ankle_separation_mae,,,
filter0,hrnet_w32,displacement_nle,0.00965883808440783,0.009658838084407796,0.009658838084407845
filter0,hrnet_w32,event_timing_mae_s,,,
filter0,hrnet_w32,lower_limb_nle,,,
filter0,hrnet_w32,missing_rate,0.0,0.0,0.0
filter0,hrnet_w32,p95_nle,0.04103921170536265,0.04103921170536262,0.04103921170536266
filter0,hrnet_w32,synthetic_all_nle,0.027026008530172868,0.027026008530172833,0.027026008530172885
filter0,hrnet_w32,synthetic_occluded_nle,,,
filter0,hrnet_w32,visible_nle,0.020696477973387525,0.020696477973387493,0.020696477973387542
filter0,rtmpose_m,amplitude_error,,,
filter0,rtmpose_m,amplitude_ratio,,,
filter0,rtmpose_m,ankle_separation_mae,,,
filter0,rtmpose_m,displacement_nle,0.00753430534307615,0.007534305343076118,0.007534305343076166
filter0,rtmpose_m,event_timing_mae_s,,,
filter0,rtmpose_m,lower_limb_nle,,,
filter0,rtmpose_m,missing_rate,0.0,0.0,0.0
filter0,rtmpose_m,p95_nle,0.03879461520673566,0.038794615206735626,0.038794615206735675
filter0,rtmpose_m,synthetic_all_nle,0.024485918802280255,0.024485918802280227,0.024485918802280272
filter0,rtmpose_m,synthetic_occluded_nle,,,
filter0,rtmpose_m,visible_nle,0.019378440797994254,0.019378440797994227,0.01937844079799427
filter0,vitpose_base,amplitude_error,,,
filter0,vitpose_base,amplitude_ratio,,,
filter0,vitpose_base,ankle_separation_mae,,,
filter0,vitpose_base,displacement_nle,0.008066545648258915,0.008066545648258885,0.00806654564825893
filter0,vitpose_base,event_timing_mae_s,,,
filter0,vitpose_base,lower_limb_nle,,,
filter0,vitpose_base,missing_rate,0.0,0.0,0.0
filter0,vitpose_base,p95_nle,0.04617302527415668,0.046173025274156655,0.046173025274156704
filter0,vitpose_base,synthetic_all_nle,0.03062217719140557,0.03062217719140553,0.030622177191405583
filter0,vitpose_base,synthetic_occluded_nle,,,
filter0,vitpose_base,visible_nle,0.023274734340568728,0.023274734340568693,0.023274734340568745
filter1,hrnet_w32,amplitude_error,,,
filter1,hrnet_w32,amplitude_ratio,,,
filter1,hrnet_w32,ankle_separation_mae,,,
filter1,hrnet_w32,displacement_nle,0.008298958853142135,0.008298958853142104,0.008298958853142151
filter1,hrnet_w32,event_timing_mae_s,,,
filter1,hrnet_w32,lower_limb_nle,,,
filter1,hrnet_w32,missing_rate,0.0,0.0,0.0
filter1,hrnet_w32,p95_nle,0.04014712324086699,0.04014712324086696,0.04014712324086701
filter1,hrnet_w32,synthetic_all_nle,0.026660942478161854,0.026660942478161826,0.02666094247816187
filter1,hrnet_w32,synthetic_occluded_nle,,,
filter1,hrnet_w32,visible_nle,0.020436079499304847,0.020436079499304816,0.020436079499304864
filter1,rtmpose_m,amplitude_error,,,
filter1,rtmpose_m,amplitude_ratio,,,
filter1,rtmpose_m,ankle_separation_mae,,,
filter1,rtmpose_m,displacement_nle,0.007233810791914809,0.007233810791914777,0.007233810791914826
filter1,rtmpose_m,event_timing_mae_s,,,
filter1,rtmpose_m,lower_limb_nle,,,
filter1,rtmpose_m,missing_rate,0.0,0.0,0.0
filter1,rtmpose_m,p95_nle,0.038449975049437646,0.03844997504943762,0.03844997504943766
filter1,rtmpose_m,synthetic_all_nle,0.024376783271216285,0.024376783271216253,0.0243767832712163
filter1,rtmpose_m,synthetic_occluded_nle,,,
filter1,rtmpose_m,visible_nle,0.019289585840449684,0.019289585840449656,0.0192895858404497
filter1,vitpose_base,amplitude_error,,,
filter1,vitpose_base,amplitude_ratio,,,
filter1,vitpose_base,ankle_separation_mae,,,
filter1,vitpose_base,displacement_nle,0.007758269908595179,0.0077582699085951435,0.007758269908595196
filter1,vitpose_base,event_timing_mae_s,,,
filter1,vitpose_base,lower_limb_nle,,,
filter1,vitpose_base,missing_rate,0.0,0.0,0.0
filter1,vitpose_base,p95_nle,0.04577156444540248,0.04577156444540245,0.0457715644454025
filter1,vitpose_base,synthetic_all_nle,0.030495582872003938,0.030495582872003907,0.030495582872003955
filter1,vitpose_base,synthetic_occluded_nle,,,
filter1,vitpose_base,visible_nle,0.02322981967430976,0.023229819674309725,0.023229819674309777
filter2,hrnet_w32,amplitude_error,,,
filter2,hrnet_w32,amplitude_ratio,,,
filter2,hrnet_w32,ankle_separation_mae,,,
filter2,hrnet_w32,displacement_nle,0.00788591497854054,0.007885914978540506,0.007885914978540557
filter2,hrnet_w32,event_timing_mae_s,,,
filter2,hrnet_w32,lower_limb_nle,,,
filter2,hrnet_w32,missing_rate,0.0,0.0,0.0
filter2,hrnet_w32,p95_nle,0.039691165219751946,0.03969116521975191,0.03969116521975196
filter2,hrnet_w32,synthetic_all_nle,0.026579078829983522,0.02657907882998349,0.026579078829983536
filter2,hrnet_w32,synthetic_occluded_nle,,,
filter2,hrnet_w32,visible_nle,0.02040900960957266,0.020409009609572627,0.020409009609572672
filter2,rtmpose_m,amplitude_error,,,
filter2,rtmpose_m,amplitude_ratio,,,
filter2,rtmpose_m,ankle_separation_mae,,,
filter2,rtmpose_m,displacement_nle,0.007298539801303474,0.007298539801303442,0.007298539801303489
filter2,rtmpose_m,event_timing_mae_s,,,
filter2,rtmpose_m,lower_limb_nle,,,
filter2,rtmpose_m,missing_rate,0.0,0.0,0.0
filter2,rtmpose_m,p95_nle,0.03842909419828685,0.038429094198286814,0.03842909419828686
filter2,rtmpose_m,synthetic_all_nle,0.024373267603864258,0.02437326760386423,0.02437326760386427
filter2,rtmpose_m,synthetic_occluded_nle,,,
filter2,rtmpose_m,visible_nle,0.019304638177820004,0.01930463817781997,0.019304638177820018
filter2,vitpose_base,amplitude_error,,,
filter2,vitpose_base,amplitude_ratio,,,
filter2,vitpose_base,ankle_separation_mae,,,
filter2,vitpose_base,displacement_nle,0.007796565044510016,0.007796565044509986,0.007796565044510033
filter2,vitpose_base,event_timing_mae_s,,,
filter2,vitpose_base,lower_limb_nle,,,
filter2,vitpose_base,missing_rate,0.0,0.0,0.0
filter2,vitpose_base,p95_nle,0.045715470628753675,0.04571547062875365,0.04571547062875369
filter2,vitpose_base,synthetic_all_nle,0.030487326064779257,0.03048732606477922,0.030487326064779274
filter2,vitpose_base,synthetic_occluded_nle,,,
filter2,vitpose_base,visible_nle,0.02327394514542826,0.02327394514542823,0.023273945145428278
initialized,hrnet_w32,amplitude_error,,,
initialized,hrnet_w32,amplitude_ratio,,,
initialized,hrnet_w32,ankle_separation_mae,,,
initialized,hrnet_w32,displacement_nle,0.009666198508054178,0.009646812766216286,0.009681862774772957
initialized,hrnet_w32,event_timing_mae_s,,,
initialized,hrnet_w32,lower_limb_nle,,,
initialized,hrnet_w32,missing_rate,0.0,0.0,0.0
initialized,hrnet_w32,p95_nle,0.02894515513314677,0.028903307199803302,0.02901349974705924
initialized,hrnet_w32,synthetic_all_nle,0.018297650768828694,0.018289751381765175,0.01830663633851059
initialized,hrnet_w32,synthetic_occluded_nle,,,
initialized,hrnet_w32,visible_nle,0.011971437496526344,0.011924432655005571,0.012007578109004633
initialized,rtmpose_m,amplitude_error,,,
initialized,rtmpose_m,amplitude_ratio,,,
initialized,rtmpose_m,ankle_separation_mae,,,
initialized,rtmpose_m,displacement_nle,0.00746036855295171,0.0074449990376286475,0.0074687098453171796
initialized,rtmpose_m,event_timing_mae_s,,,
initialized,rtmpose_m,lower_limb_nle,,,
initialized,rtmpose_m,missing_rate,0.0,0.0,0.0
initialized,rtmpose_m,p95_nle,0.0267296840597252,0.02660977832765319,0.026795834543597984
initialized,rtmpose_m,synthetic_all_nle,0.015774657936550408,0.015716383201395654,0.015861708297904297
initialized,rtmpose_m,synthetic_occluded_nle,,,
initialized,rtmpose_m,visible_nle,0.011034296209837419,0.010985049790854389,0.011096868675731753
initialized,vitpose_base,amplitude_error,,,
initialized,vitpose_base,amplitude_ratio,,,
initialized,vitpose_base,ankle_separation_mae,,,
initialized,vitpose_base,displacement_nle,0.008117310669526914,0.008090731375212157,0.008143180628000313
initialized,vitpose_base,event_timing_mae_s,,,
initialized,vitpose_base,lower_limb_nle,,,
initialized,vitpose_base,missing_rate,0.0,0.0,0.0
initialized,vitpose_base,p95_nle,0.03499939559932999,0.034849559969721514,0.035108349475556584
initialized,vitpose_base,synthetic_all_nle,0.022110281878720498,0.02198954437362466,0.02218000220415389
initialized,vitpose_base,synthetic_occluded_nle,,,
initialized,vitpose_base,visible_nle,0.014796368260508857,0.014683239496687027,0.014906450084107016
joint_affine,hrnet_w32,amplitude_error,,,
joint_affine,hrnet_w32,amplitude_ratio,,,
joint_affine,hrnet_w32,ankle_separation_mae,,,
joint_affine,hrnet_w32,displacement_nle,0.009571558642594884,0.009571558642594884,0.009571558642594884
joint_affine,hrnet_w32,event_timing_mae_s,,,
joint_affine,hrnet_w32,lower_limb_nle,,,
joint_affine,hrnet_w32,missing_rate,0.0,0.0,0.0
joint_affine,hrnet_w32,p95_nle,0.030025386320782995,0.030025386320782995,0.030025386320782995
joint_affine,hrnet_w32,synthetic_all_nle,0.018051315012351264,0.018051315012351264,0.018051315012351264
joint_affine,hrnet_w32,synthetic_occluded_nle,,,
joint_affine,hrnet_w32,visible_nle,0.012124313295031075,0.012124313295031077,0.012124313295031077
joint_affine,rtmpose_m,amplitude_error,,,
joint_affine,rtmpose_m,amplitude_ratio,,,
joint_affine,rtmpose_m,ankle_separation_mae,,,
joint_affine,rtmpose_m,displacement_nle,0.007530650011732747,0.007530650011732747,0.007530650011732747
joint_affine,rtmpose_m,event_timing_mae_s,,,
joint_affine,rtmpose_m,lower_limb_nle,,,
joint_affine,rtmpose_m,missing_rate,0.0,0.0,0.0
joint_affine,rtmpose_m,p95_nle,0.027561894124360886,0.027561894124360886,0.027561894124360886
joint_affine,rtmpose_m,synthetic_all_nle,0.015659485304176993,0.015659485304176993,0.015659485304176993
joint_affine,rtmpose_m,synthetic_occluded_nle,,,
joint_affine,rtmpose_m,visible_nle,0.01118825924485597,0.01118825924485597,0.01118825924485597
joint_affine,vitpose_base,amplitude_error,,,
joint_affine,vitpose_base,amplitude_ratio,,,
joint_affine,vitpose_base,ankle_separation_mae,,,
joint_affine,vitpose_base,displacement_nle,0.007984199688053084,0.007984199688053084,0.007984199688053084
joint_affine,vitpose_base,event_timing_mae_s,,,
joint_affine,vitpose_base,lower_limb_nle,,,
joint_affine,vitpose_base,missing_rate,0.0,0.0,0.0
joint_affine,vitpose_base,p95_nle,0.0355647706201989,0.0355647706201989,0.0355647706201989
joint_affine,vitpose_base,synthetic_all_nle,0.02175280004534359,0.021752800045343586,0.021752800045343586
joint_affine,vitpose_base,synthetic_occluded_nle,,,
joint_affine,vitpose_base,visible_nle,0.014786755690683162,0.014786755690683162,0.014786755690683162
joint_offset,hrnet_w32,amplitude_error,,,
joint_offset,hrnet_w32,amplitude_ratio,,,
joint_offset,hrnet_w32,ankle_separation_mae,,,
joint_offset,hrnet_w32,displacement_nle,0.00965883809580864,0.00965883809580864,0.00965883809580864
joint_offset,hrnet_w32,event_timing_mae_s,,,
joint_offset,hrnet_w32,lower_limb_nle,,,
joint_offset,hrnet_w32,missing_rate,0.0,0.0,0.0
joint_offset,hrnet_w32,p95_nle,0.029834443023232227,0.02983444302323223,0.02983444302323223
joint_offset,hrnet_w32,synthetic_all_nle,0.01844904209940795,0.01844904209940795,0.01844904209940795
joint_offset,hrnet_w32,synthetic_occluded_nle,,,
joint_offset,hrnet_w32,visible_nle,0.012186466697998772,0.012186466697998772,0.012186466697998772
joint_offset,rtmpose_m,amplitude_error,,,
joint_offset,rtmpose_m,amplitude_ratio,,,
joint_offset,rtmpose_m,ankle_separation_mae,,,
joint_offset,rtmpose_m,displacement_nle,0.007534305315957643,0.007534305315957642,0.007534305315957642
joint_offset,rtmpose_m,event_timing_mae_s,,,
joint_offset,rtmpose_m,lower_limb_nle,,,
joint_offset,rtmpose_m,missing_rate,0.0,0.0,0.0
joint_offset,rtmpose_m,p95_nle,0.02745992893839942,0.02745992893839942,0.02745992893839942
joint_offset,rtmpose_m,synthetic_all_nle,0.01594146763395868,0.01594146763395868,0.01594146763395868
joint_offset,rtmpose_m,synthetic_occluded_nle,,,
joint_offset,rtmpose_m,visible_nle,0.011201914484005232,0.011201914484005232,0.011201914484005232
joint_offset,vitpose_base,amplitude_error,,,
joint_offset,vitpose_base,amplitude_ratio,,,
joint_offset,vitpose_base,ankle_separation_mae,,,
joint_offset,vitpose_base,displacement_nle,0.00806654561467466,0.00806654561467466,0.00806654561467466
joint_offset,vitpose_base,event_timing_mae_s,,,
joint_offset,vitpose_base,lower_limb_nle,,,
joint_offset,vitpose_base,missing_rate,0.0,0.0,0.0
joint_offset,vitpose_base,p95_nle,0.03598488264389363,0.03598488264389363,0.03598488264389363
joint_offset,vitpose_base,synthetic_all_nle,0.022258933624375515,0.02225893362437551,0.02225893362437551
joint_offset,vitpose_base,synthetic_occluded_nle,,,
joint_offset,vitpose_base,visible_nle,0.014885929944125178,0.014885929944125176,0.014885929944125176
ordinary_jepa,hrnet_w32,amplitude_error,,,
ordinary_jepa,hrnet_w32,amplitude_ratio,,,
ordinary_jepa,hrnet_w32,ankle_separation_mae,,,
ordinary_jepa,hrnet_w32,displacement_nle,0.009676306485833373,0.009670361676439644,0.009681477009426395
ordinary_jepa,hrnet_w32,event_timing_mae_s,,,
ordinary_jepa,hrnet_w32,lower_limb_nle,,,
ordinary_jepa,hrnet_w32,missing_rate,0.0,0.0,0.0
ordinary_jepa,hrnet_w32,p95_nle,0.02893495588987767,0.028847595291659516,0.029016365824496005
ordinary_jepa,hrnet_w32,synthetic_all_nle,0.018231564842473878,0.018213163340525064,0.018268288306410845
ordinary_jepa,hrnet_w32,synthetic_occluded_nle,,,
ordinary_jepa,hrnet_w32,visible_nle,0.012040424928239564,0.012015133866240634,0.012062125007109386
ordinary_jepa,rtmpose_m,amplitude_error,,,
ordinary_jepa,rtmpose_m,amplitude_ratio,,,
ordinary_jepa,rtmpose_m,ankle_separation_mae,,,
ordinary_jepa,rtmpose_m,displacement_nle,0.007469075214918957,0.007442732506567341,0.007487063462955315
ordinary_jepa,rtmpose_m,event_timing_mae_s,,,
ordinary_jepa,rtmpose_m,lower_limb_nle,,,
ordinary_jepa,rtmpose_m,missing_rate,0.0,0.0,0.0
ordinary_jepa,rtmpose_m,p95_nle,0.026477787051982546,0.02629844572838027,0.02682572360528049
ordinary_jepa,rtmpose_m,synthetic_all_nle,0.015486959810406507,0.015442755081100486,0.015525218979982453
ordinary_jepa,rtmpose_m,synthetic_occluded_nle,,,
ordinary_jepa,rtmpose_m,visible_nle,0.0109903162331686,0.010916628857928838,0.011038365041171906
ordinary_jepa,vitpose_base,amplitude_error,,,
ordinary_jepa,vitpose_base,amplitude_ratio,,,
ordinary_jepa,vitpose_base,ankle_separation_mae,,,
ordinary_jepa,vitpose_base,displacement_nle,0.008126379437333514,0.00811340198523584,0.008136450259400628
ordinary_jepa,vitpose_base,event_timing_mae_s,,,
ordinary_jepa,vitpose_base,lower_limb_nle,,,
ordinary_jepa,vitpose_base,missing_rate,0.0,0.0,0.0
ordinary_jepa,vitpose_base,p95_nle,0.035187462097891385,0.035073995166498534,0.035377576819892086
ordinary_jepa,vitpose_base,synthetic_all_nle,0.022302157438878607,0.022215538861665666,0.022373216022869732
ordinary_jepa,vitpose_base,synthetic_occluded_nle,,,
ordinary_jepa,vitpose_base,visible_nle,0.014971991214966812,0.01493613598276845,0.015018075489772614
paired_jepa,hrnet_w32,amplitude_error,,,
paired_jepa,hrnet_w32,amplitude_ratio,,,
paired_jepa,hrnet_w32,ankle_separation_mae,,,
paired_jepa,hrnet_w32,displacement_nle,0.009659495440927165,0.009647068406965447,0.00967141863324046
paired_jepa,hrnet_w32,event_timing_mae_s,,,
paired_jepa,hrnet_w32,lower_limb_nle,,,
paired_jepa,hrnet_w32,missing_rate,0.0,0.0,0.0
paired_jepa,hrnet_w32,p95_nle,0.029052801720838083,0.02893661007207095,0.02916649745738214
paired_jepa,hrnet_w32,synthetic_all_nle,0.018255563156286653,0.018229830720387245,0.01829990049738591
paired_jepa,hrnet_w32,synthetic_occluded_nle,,,
paired_jepa,hrnet_w32,visible_nle,0.012019584927218373,0.011997370805396052,0.012032781315307642
paired_jepa,rtmpose_m,amplitude_error,,,
paired_jepa,rtmpose_m,amplitude_ratio,,,
paired_jepa,rtmpose_m,ankle_separation_mae,,,
paired_jepa,rtmpose_m,displacement_nle,0.007462721612043602,0.007451653635241296,0.007474238015396768
paired_jepa,rtmpose_m,event_timing_mae_s,,,
paired_jepa,rtmpose_m,lower_limb_nle,,,
paired_jepa,rtmpose_m,missing_rate,0.0,0.0,0.0
paired_jepa,rtmpose_m,p95_nle,0.026772311019229906,0.026658912640917826,0.026863368282872516
paired_jepa,rtmpose_m,synthetic_all_nle,0.015565363868491324,0.015509463677051154,0.015665577617710473
paired_jepa,rtmpose_m,synthetic_occluded_nle,,,
paired_jepa,rtmpose_m,visible_nle,0.011068350796320382,0.011032823474555708,0.011111917344733267
paired_jepa,vitpose_base,amplitude_error,,,
paired_jepa,vitpose_base,amplitude_ratio,,,
paired_jepa,vitpose_base,ankle_separation_mae,,,
paired_jepa,vitpose_base,displacement_nle,0.008102160846876923,0.008088132115341488,0.008117650918747133
paired_jepa,vitpose_base,event_timing_mae_s,,,
paired_jepa,vitpose_base,lower_limb_nle,,,
paired_jepa,vitpose_base,missing_rate,0.0,0.0,0.0
paired_jepa,vitpose_base,p95_nle,0.035375478433305,0.03526528170012817,0.03549992718702693
paired_jepa,vitpose_base,synthetic_all_nle,0.022208908942774604,0.022163032601611593,0.022273458596163285
paired_jepa,vitpose_base,synthetic_occluded_nle,,,
paired_jepa,vitpose_base,visible_nle,0.01487493458599642,0.014824048231169062,0.01490300041991056
shuffled_jepa,hrnet_w32,amplitude_error,,,
shuffled_jepa,hrnet_w32,amplitude_ratio,,,
shuffled_jepa,hrnet_w32,ankle_separation_mae,,,
shuffled_jepa,hrnet_w32,displacement_nle,0.009659940165301419,0.00964554138800491,0.009673630592604988
shuffled_jepa,hrnet_w32,event_timing_mae_s,,,
shuffled_jepa,hrnet_w32,lower_limb_nle,,,
shuffled_jepa,hrnet_w32,missing_rate,0.0,0.0,0.0
shuffled_jepa,hrnet_w32,p95_nle,0.029066502987129803,0.02896502087433342,0.0291597305049457
shuffled_jepa,hrnet_w32,synthetic_all_nle,0.018258471024309247,0.01823244587208511,0.018305039314941294
shuffled_jepa,hrnet_w32,synthetic_occluded_nle,,,
shuffled_jepa,hrnet_w32,visible_nle,0.012015532828630673,0.011992636470316967,0.012039166365862164
shuffled_jepa,rtmpose_m,amplitude_error,,,
shuffled_jepa,rtmpose_m,amplitude_ratio,,,
shuffled_jepa,rtmpose_m,ankle_separation_mae,,,
shuffled_jepa,rtmpose_m,displacement_nle,0.0074616302742960584,0.007449694895486553,0.007478270611775569
shuffled_jepa,rtmpose_m,event_timing_mae_s,,,
shuffled_jepa,rtmpose_m,lower_limb_nle,,,
shuffled_jepa,rtmpose_m,missing_rate,0.0,0.0,0.0
shuffled_jepa,rtmpose_m,p95_nle,0.026759471011911107,0.02668260170692772,0.026820522247006887
shuffled_jepa,rtmpose_m,synthetic_all_nle,0.01556770450725344,0.015511046750280205,0.01566604309958932
shuffled_jepa,rtmpose_m,synthetic_occluded_nle,,,
shuffled_jepa,rtmpose_m,visible_nle,0.011060752399282081,0.011026996689826119,0.011112945846436063
shuffled_jepa,vitpose_base,amplitude_error,,,
shuffled_jepa,vitpose_base,amplitude_ratio,,,
shuffled_jepa,vitpose_base,ankle_separation_mae,,,
shuffled_jepa,vitpose_base,displacement_nle,0.008102786414434819,0.008089931465284347,0.008122140423745665
shuffled_jepa,vitpose_base,event_timing_mae_s,,,
shuffled_jepa,vitpose_base,lower_limb_nle,,,
shuffled_jepa,vitpose_base,missing_rate,0.0,0.0,0.0
shuffled_jepa,vitpose_base,p95_nle,0.03538394502977385,0.03524537715074466,0.03549078342578135
shuffled_jepa,vitpose_base,synthetic_all_nle,0.022212242429839865,0.02217746274555215,0.022271674301748697
shuffled_jepa,vitpose_base,synthetic_occluded_nle,,,
shuffled_jepa,vitpose_base,visible_nle,0.014871300233073656,0.014832479892210853,0.014903064595748992
smoothnet,hrnet_w32,amplitude_error,,,
smoothnet,hrnet_w32,amplitude_ratio,,,
smoothnet,hrnet_w32,ankle_separation_mae,,,
smoothnet,hrnet_w32,displacement_nle,0.009648674733521831,0.009646895097123945,0.009649884938845908
smoothnet,hrnet_w32,event_timing_mae_s,,,
smoothnet,hrnet_w32,lower_limb_nle,,,
smoothnet,hrnet_w32,missing_rate,0.0,0.0,0.0
smoothnet,hrnet_w32,p95_nle,0.03234918738554287,0.03202445523168536,0.03252335794953677
smoothnet,hrnet_w32,synthetic_all_nle,0.020413138173711314,0.02034762953120558,0.020451251984952873
smoothnet,hrnet_w32,synthetic_occluded_nle,,,
smoothnet,hrnet_w32,visible_nle,0.01374711373068946,0.013651283973612765,0.013801916224032514
smoothnet,rtmpose_m,amplitude_error,,,
smoothnet,rtmpose_m,amplitude_ratio,,,
smoothnet,rtmpose_m,ankle_separation_mae,,,
smoothnet,rtmpose_m,displacement_nle,0.007552937562757472,0.007550556851292458,0.007556580363926588
smoothnet,rtmpose_m,event_timing_mae_s,,,
smoothnet,rtmpose_m,lower_limb_nle,,,
smoothnet,rtmpose_m,missing_rate,0.0,0.0,0.0
smoothnet,rtmpose_m,p95_nle,0.030939247658620512,0.03043067106632727,0.031209432467006335
smoothnet,rtmpose_m,synthetic_all_nle,0.01800191698347062,0.017993390795846546,0.018010561110423366
smoothnet,rtmpose_m,synthetic_occluded_nle,,,
smoothnet,rtmpose_m,visible_nle,0.012894056399252228,0.012848222143894068,0.012923071310217225
smoothnet,vitpose_base,amplitude_error,,,
smoothnet,vitpose_base,amplitude_ratio,,,
smoothnet,vitpose_base,ankle_separation_mae,,,
smoothnet,vitpose_base,displacement_nle,0.008102398806718035,0.00809734383584648,0.008105923386522428
smoothnet,vitpose_base,event_timing_mae_s,,,
smoothnet,vitpose_base,lower_limb_nle,,,
smoothnet,vitpose_base,missing_rate,0.0,0.0,0.0
smoothnet,vitpose_base,p95_nle,0.03870667913229206,0.03818385122743087,0.039002656561716004
smoothnet,vitpose_base,synthetic_all_nle,0.02406545548367589,0.024045916690061057,0.02409540750572538
smoothnet,vitpose_base,synthetic_occluded_nle,,,
smoothnet,vitpose_base,visible_nle,0.01635037830444801,0.016329894528361862,0.01636832818768231
static,hrnet_w32,amplitude_error,,,
static,hrnet_w32,amplitude_ratio,,,
static,hrnet_w32,ankle_separation_mae,,,
static,hrnet_w32,displacement_nle,0.009434201873757627,0.00942687278399963,0.009443950988305236
static,hrnet_w32,event_timing_mae_s,,,
static,hrnet_w32,lower_limb_nle,,,
static,hrnet_w32,missing_rate,0.0,0.0,0.0
static,hrnet_w32,p95_nle,0.02828331197541854,0.028165471593395768,0.02843498696074426
static,hrnet_w32,synthetic_all_nle,0.01728786240186299,0.017274922201373347,0.017297768548948902
static,hrnet_w32,synthetic_occluded_nle,,,
static,hrnet_w32,visible_nle,0.011663419798338237,0.011661477399449414,0.011665416819871358
static,rtmpose_m,amplitude_error,,,
static,rtmpose_m,amplitude_ratio,,,
static,rtmpose_m,ankle_separation_mae,,,
