seed,method,extractor,endpoint,scale_policy,records,reference_eligible,reference_ineligible,original_supported,complete_predictions,incomplete_predictions,count_mismatch_records,reference_events,matched_events,missed_events,known_extra_events,extra_count_unknown_records,event_recall,known_event_precision,conditional_timing_mae_s
17,paired_jepa,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,150,8,163.0,0,0.9493670886075949,0.4792332268370607,0.0309333333333332
17,paired_jepa,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,18,128,0,110,580,509,71,472.0,0,0.8775862068965518,0.5188583078491336,0.03552062868369345
17,paired_jepa,rtmpose_m,visible,frame_reference,128,32,96,0,32,0,32,158,147,11,97.0,0,0.930379746835443,0.6024590163934426,0.028299319727891056
17,paired_jepa,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,22,128,0,106,580,508,72,509.0,0,0.8758620689655172,0.4995083579154376,0.032755905511811005
17,paired_jepa,vitpose_base,visible,frame_reference,128,32,96,7,32,0,25,158,143,15,83.0,0,0.9050632911392406,0.6327433628318584,0.024055944055943995
17,reference_oracle,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,128,128,0,0,580,580,0,0.0,0,1.0,1.0,0.0
17,reference_oracle,hrnet_w32,visible,frame_reference,128,32,96,32,32,0,0,158,158,0,0.0,0,1.0,1.0,0.0
17,reference_oracle,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,128,128,0,0,580,580,0,0.0,0,1.0,1.0,0.0
17,reference_oracle,rtmpose_m,visible,frame_reference,128,32,96,32,32,0,0,158,158,0,0.0,0,1.0,1.0,0.0
17,reference_oracle,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,128,128,0,0,580,580,0,0.0,0,1.0,1.0,0.0
17,reference_oracle,vitpose_base,visible,frame_reference,128,32,96,32,32,0,0,158,158,0,0.0,0,1.0,1.0,0.0
17,shuffled_jepa,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,1,128,0,127,580,542,38,816.0,0,0.9344827586206896,0.39911634756995584,0.033948339483394784
17,shuffled_jepa,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,151,7,159.0,0,0.9556962025316456,0.4870967741935484,0.03178807947019854
17,shuffled_jepa,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,508,72,465.0,0,0.8758620689655172,0.5220966084275437,0.035433070866141676
17,shuffled_jepa,rtmpose_m,visible,frame_reference,128,32,96,1,32,0,31,158,148,10,93.0,0,0.9367088607594937,0.6141078838174274,0.028648648648648554
17,shuffled_jepa,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,21,128,0,107,580,507,73,502.0,0,0.8741379310344828,0.5024777006937562,0.0328205128205128
17,shuffled_jepa,vitpose_base,visible,frame_reference,128,32,96,8,32,0,24,158,142,16,85.0,0,0.8987341772151899,0.6255506607929515,0.023098591549295725
17,smoothnet,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,5,128,0,123,580,552,28,836.0,0,0.9517241379310345,0.3976945244956772,0.034057971014492656
17,smoothnet,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,152,6,210.0,0,0.9620253164556962,0.4198895027624309,0.029999999999999905
17,smoothnet,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,514,66,491.0,0,0.8862068965517241,0.5114427860696518,0.03680933852140069
17,smoothnet,rtmpose_m,visible,frame_reference,128,32,96,3,32,0,29,158,145,13,99.0,0,0.9177215189873418,0.5942622950819673,0.03227586206896542
17,smoothnet,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,502,78,515.0,0,0.8655172413793103,0.4936086529006883,0.03569721115537841
17,smoothnet,vitpose_base,visible,frame_reference,128,32,96,5,32,0,27,158,144,14,84.0,0,0.9113924050632911,0.631578947368421,0.022499999999999947
17,static,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,2,128,0,126,580,534,46,925.0,0,0.9206896551724137,0.36600411240575736,0.033108614232209614
17,static,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,153,5,243.0,0,0.9683544303797469,0.38636363636363635,0.03189542483660121
17,static,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,7,128,0,121,580,532,48,661.0,0,0.9172413793103448,0.4459346186085499,0.03556390977443602
17,static,rtmpose_m,visible,frame_reference,128,32,96,0,32,0,32,158,146,12,153.0,0,0.9240506329113924,0.4882943143812709,0.02684931506849302
17,static,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,6,128,0,122,580,524,56,726.0,0,0.903448275862069,0.4192,0.031221374045801453
17,static,vitpose_base,visible,frame_reference,128,32,96,0,32,0,32,158,149,9,182.0,0,0.9430379746835443,0.4501510574018127,0.0265771812080536
17,unchanged,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,8,128,0,120,580,547,33,744.0,0,0.9431034482758621,0.42370255615801705,0.03480804387568546
17,unchanged,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,148,10,185.0,0,0.9367088607594937,0.4444444444444444,0.03270270270270256
17,unchanged,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,127,1,111,580,510,70,480.0,1,0.8793103448275862,0.5151515151515151,0.035686274509803835
17,unchanged,rtmpose_m,visible,frame_reference,128,32,96,1,32,0,31,158,149,9,101.0,0,0.9430379746835443,0.596,0.027919463087248304
17,unchanged,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,19,128,0,109,580,504,76,506.0,0,0.8689655172413793,0.499009900990099,0.034682539682539634
17,unchanged,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,146,12,84.0,0,0.9240506329113924,0.6347826086956522,0.024931506849315062
29,coordinate,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,0,128,0,128,580,538,42,1028.0,0,0.9275862068965517,0.34355044699872284,0.03524163568773234
29,coordinate,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,141,17,210.0,0,0.8924050632911392,0.4017094017094017,0.038014184397163135
29,coordinate,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,4,128,0,124,580,501,79,757.0,0,0.8637931034482759,0.39825119236883944,0.03648702594810381
29,coordinate,rtmpose_m,visible,frame_reference,128,32,96,3,32,0,29,158,129,29,148.0,0,0.8164556962025317,0.4657039711191336,0.03782945736434114
29,coordinate,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,3,128,0,125,580,510,70,782.0,0,0.8793103448275862,0.39473684210526316,0.03482352941176473
29,coordinate,vitpose_base,visible,frame_reference,128,32,96,1,32,0,31,158,135,23,154.0,0,0.8544303797468354,0.4671280276816609,0.03288888888888895
29,direct,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,1,128,0,127,580,549,31,902.0,0,0.946551724137931,0.3783597518952447,0.03591985428051001
29,direct,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,154,4,201.0,0,0.9746835443037974,0.43380281690140843,0.030389610389610307
29,direct,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,530,50,571.0,0,0.9137931034482759,0.48138056312443234,0.03569811320754717
29,direct,rtmpose_m,visible,frame_reference,128,32,96,2,32,0,30,158,148,10,115.0,0,0.9367088607594937,0.5627376425855514,0.030270270270270256
29,direct,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,14,128,0,114,580,520,60,576.0,0,0.896551724137931,0.4744525547445255,0.03292307692307696
29,direct,vitpose_base,visible,frame_reference,128,32,96,5,32,0,27,158,146,12,95.0,0,0.9240506329113924,0.6058091286307054,0.027671232876712352
29,filter0,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,8,128,0,120,580,547,33,744.0,0,0.9431034482758621,0.42370255615801705,0.03480804387568551
29,filter0,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,148,10,185.0,0,0.9367088607594937,0.4444444444444444,0.03270270270270261
29,filter0,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,128,0,112,580,513,67,484.0,0,0.8844827586206897,0.5145436308926781,0.036023391812865464
29,filter0,rtmpose_m,visible,frame_reference,128,32,96,1,32,0,31,158,149,9,101.0,0,0.9430379746835443,0.596,0.027919463087248353
29,filter0,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,19,128,0,109,580,504,76,506.0,0,0.8689655172413793,0.499009900990099,0.03468253968253969
29,filter0,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,146,12,84.0,0,0.9240506329113924,0.6347826086956522,0.02493150684931511
29,filter1,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,23,128,0,105,580,462,118,312.0,0,0.7965517241379311,0.5968992248062015,0.04190476190476191
29,filter1,hrnet_w32,visible,frame_reference,128,32,96,5,32,0,27,158,141,17,71.0,0,0.8924050632911392,0.6650943396226415,0.036028368794326165
29,filter1,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,21,128,0,107,580,411,169,190.0,0,0.7086206896551724,0.6838602329450915,0.0342579075425791
29,filter1,rtmpose_m,visible,frame_reference,128,32,96,10,32,0,22,158,129,29,23.0,0,0.8164556962025317,0.8486842105263158,0.031007751937984475
29,filter1,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,17,128,0,111,580,407,173,232.0,0,0.7017241379310345,0.6369327073552425,0.035773955773955826
29,filter1,vitpose_base,visible,frame_reference,128,32,96,18,32,0,14,158,131,27,27.0,0,0.8291139240506329,0.8291139240506329,0.029312977099236703
29,filter2,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,30,128,0,98,580,378,202,174.0,0,0.6517241379310345,0.6847826086956522,0.03989417989417991
29,filter2,hrnet_w32,visible,frame_reference,128,32,96,7,32,0,25,158,121,37,25.0,0,0.7658227848101266,0.8287671232876712,0.0347107438016529
29,filter2,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,26,128,0,102,580,365,215,124.0,0,0.6293103448275862,0.7464212678936605,0.03539726027397266
29,filter2,rtmpose_m,visible,frame_reference,128,32,96,6,32,0,26,158,116,42,7.0,0,0.7341772151898734,0.943089430894309,0.03275862068965513
29,filter2,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,22,128,0,106,580,349,231,147.0,0,0.6017241379310345,0.7036290322580645,0.036446991404011496
29,filter2,vitpose_base,visible,frame_reference,128,32,96,15,32,0,17,158,115,43,16.0,0,0.7278481012658228,0.8778625954198473,0.02469565217391308
29,initialized,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,4,128,0,124,580,548,32,790.0,0,0.9448275862068966,0.40956651718983555,0.03299270072992698
29,initialized,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,151,7,186.0,0,0.9556962025316456,0.44807121661721067,0.03470198675496685
29,initialized,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,15,128,0,113,580,509,71,465.0,0,0.8775862068965518,0.5225872689938398,0.03638506876227898
29,initialized,rtmpose_m,visible,frame_reference,128,32,96,5,32,0,27,158,142,16,91.0,0,0.8987341772151899,0.6094420600858369,0.030985915492957705
29,initialized,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,14,128,0,114,580,507,73,485.0,0,0.8741379310344828,0.5110887096774194,0.0332938856015779
29,initialized,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,145,13,92.0,0,0.9177215189873418,0.6118143459915611,0.022620689655172402
29,ordinary_jepa,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,1,128,0,127,580,544,36,853.0,0,0.9379310344827586,0.38940586972083036,0.033602941176470565
29,ordinary_jepa,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,148,10,196.0,0,0.9367088607594937,0.43023255813953487,0.029999999999999926
29,ordinary_jepa,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,17,128,0,111,580,507,73,466.0,0,0.8741379310344828,0.5210688591983555,0.036528599605522696
29,ordinary_jepa,rtmpose_m,visible,frame_reference,128,32,96,4,32,0,28,158,146,12,97.0,0,0.9240506329113924,0.6008230452674898,0.028219178082191727
29,ordinary_jepa,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,17,128,0,111,580,509,71,498.0,0,0.8775862068965518,0.5054617676266137,0.033241650294695495
29,ordinary_jepa,vitpose_base,visible,frame_reference,128,32,96,5,32,0,27,158,146,12,89.0,0,0.9240506329113924,0.6212765957446809,0.020273972602739714
29,paired_jepa,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,2,128,0,126,580,543,37,838.0,0,0.9362068965517242,0.3931933381607531,0.03410681399631672
29,paired_jepa,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,151,7,212.0,0,0.9556962025316456,0.41597796143250687,0.027549668874172106
29,paired_jepa,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,14,128,0,114,580,512,68,480.0,0,0.8827586206896552,0.5161290322580645,0.03656249999999998
29,paired_jepa,rtmpose_m,visible,frame_reference,128,32,96,4,32,0,28,158,141,17,104.0,0,0.8924050632911392,0.5755102040816327,0.03234042553191483
29,paired_jepa,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,18,128,0,110,580,513,67,517.0,0,0.8844827586206897,0.4980582524271845,0.03376218323586746
29,paired_jepa,vitpose_base,visible,frame_reference,128,32,96,5,32,0,27,158,145,13,98.0,0,0.9177215189873418,0.5967078189300411,0.020689655172413755
29,reference_oracle,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,128,128,0,0,580,580,0,0.0,0,1.0,1.0,0.0
29,reference_oracle,hrnet_w32,visible,frame_reference,128,32,96,32,32,0,0,158,158,0,0.0,0,1.0,1.0,0.0
29,reference_oracle,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,128,128,0,0,580,580,0,0.0,0,1.0,1.0,0.0
29,reference_oracle,rtmpose_m,visible,frame_reference,128,32,96,32,32,0,0,158,158,0,0.0,0,1.0,1.0,0.0
29,reference_oracle,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,128,128,0,0,580,580,0,0.0,0,1.0,1.0,0.0
29,reference_oracle,vitpose_base,visible,frame_reference,128,32,96,32,32,0,0,158,158,0,0.0,0,1.0,1.0,0.0
29,shuffled_jepa,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,1,128,0,127,580,544,36,834.0,0,0.9379310344827586,0.39477503628447025,0.03419117647058819
29,shuffled_jepa,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,149,9,211.0,0,0.9430379746835443,0.41388888888888886,0.028456375838926087
29,shuffled_jepa,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,12,128,0,116,580,512,68,483.0,0,0.8827586206896552,0.5145728643216081,0.036171874999999964
29,shuffled_jepa,rtmpose_m,visible,frame_reference,128,32,96,4,32,0,28,158,141,17,104.0,0,0.8924050632911392,0.5755102040816327,0.029787234042553123
29,shuffled_jepa,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,18,128,0,110,580,511,69,511.0,0,0.8810344827586207,0.5,0.03373776908023484
29,shuffled_jepa,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,145,13,99.0,0,0.9177215189873418,0.5942622950819673,0.02068965517241376
29,smoothnet,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,7,128,0,121,580,548,32,836.0,0,0.9448275862068966,0.3959537572254335,0.034452554744525514
29,smoothnet,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,151,7,211.0,0,0.9556962025316456,0.4171270718232044,0.02834437086092711
29,smoothnet,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,15,128,0,113,580,514,66,486.0,0,0.8862068965517241,0.514,0.0370428015564202
29,smoothnet,rtmpose_m,visible,frame_reference,128,32,96,3,32,0,29,158,144,14,105.0,0,0.9113924050632911,0.5783132530120482,0.02833333333333328
29,smoothnet,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,17,128,0,111,580,502,78,528.0,0,0.8655172413793103,0.487378640776699,0.03521912350597609
29,smoothnet,vitpose_base,visible,frame_reference,128,32,96,6,32,0,26,158,144,14,87.0,0,0.9113924050632911,0.6233766233766234,0.02555555555555553
29,static,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,2,128,0,126,580,541,39,934.0,0,0.9327586206896552,0.36677966101694914,0.03504621072088716
29,static,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,153,5,234.0,0,0.9683544303797469,0.3953488372093023,0.030065359477124173
29,static,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,8,128,0,120,580,539,41,714.0,0,0.9293103448275862,0.4301675977653631,0.035621521335807003
29,static,rtmpose_m,visible,frame_reference,128,32,96,0,32,0,32,158,153,5,140.0,0,0.9683544303797469,0.5221843003412969,0.02954248366013073
29,static,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,2,128,0,126,580,535,45,788.0,0,0.9224137931034483,0.40438397581254726,0.031999999999999966
29,static,vitpose_base,visible,frame_reference,128,32,96,0,32,0,32,158,154,4,173.0,0,0.9746835443037974,0.4709480122324159,0.026753246753246807
29,unchanged,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,8,128,0,120,580,547,33,744.0,0,0.9431034482758621,0.42370255615801705,0.03480804387568551
29,unchanged,hrnet_w32,visible,frame_reference,128,32,96,1,32,0,31,158,148,10,185.0,0,0.9367088607594937,0.4444444444444444,0.03270270270270261
29,unchanged,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,16,127,1,111,580,510,70,480.0,1,0.8793103448275862,0.5151515151515151,0.035686274509803884
29,unchanged,rtmpose_m,visible,frame_reference,128,32,96,1,32,0,31,158,149,9,101.0,0,0.9430379746835443,0.596,0.027919463087248353
29,unchanged,vitpose_base,all_valid_synthetic,window_median_reference,128,128,0,19,128,0,109,580,504,76,506.0,0,0.8689655172413793,0.499009900990099,0.03468253968253969
29,unchanged,vitpose_base,visible,frame_reference,128,32,96,4,32,0,28,158,146,12,84.0,0,0.9240506329113924,0.6347826086956522,0.02493150684931511
43,coordinate,hrnet_w32,all_valid_synthetic,window_median_reference,128,128,0,0,128,0,128,580,544,36,1081.0,0,0.9379310344827586,0.33476923076923076,0.034485294117647045
43,coordinate,hrnet_w32,visible,frame_reference,128,32,96,0,32,0,32,158,147,11,239.0,0,0.930379746835443,0.38082901554404147,0.03591836734693875
43,coordinate,rtmpose_m,all_valid_synthetic,window_median_reference,128,128,0,3,128,0,125,580,521,59,830.0,0,0.8982758620689655,0.385640266469282,0.038925143953934746
43,coordinate,rtmpose_m,visible,frame_reference,128,32,96,0,32,0,32,158,144,14,170.0,0,0.9113924050632911,0.4585987261146497,0.03999999999999999
