relative_path,source_dataset,parent_path,subject_id_candidate,motion_id,sha256,npz_keys,num_frames,pose_width,trans_frames,trans_width,mocap_framerate,gender,status,error
ACCAD/Female1Gestures_c3d/D6- CartWheel_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,ACCAD::Female1Gestures_c3d,D6- CartWheel,d7a393b5e83949850d56e52a16d5a3142968da4bb6811737b33c742e524a8df6,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",572,156,572,3,120.0,female,ok,
ACCAD/Female1Gestures_c3d/Female1 Subj Calibration_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,ACCAD::Female1Gestures_c3d,Female1 Subj Calibration,dc7f8154d1d4832e63448ec619973a6052bf663f98269ffc86338207b0cc4d96,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",360,156,360,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C10 -  run backwards stop run forward_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C10 -  run backwards stop run forward,729b5cbffa5473ebe02fc1f04922063dd28ec69ddbfa426f3c1ec02cea738830,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",610,156,610,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C11 -  run turn left (90)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C11 -  run turn left (90),978a5b19cee10e0802017d108b87ad95cd9e6db5f5d334b354d6f69808b50df2,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",278,156,278,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C13 -  run turn left (135)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C13 -  run turn left (135),93e11a7f6aeefaf8c59253d761b636ce2e5e9411a1be5e36e8945d5d9c2a44f0,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",344,156,344,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C14 -  run turn right  (90)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C14 -  run turn right  (90),abb998655bd0f48e64ca5f0d210e5bb94de6b8d6652dec8ace8a579ab6e34c10,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",511,156,511,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C15 -  run turn right  (45)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C15 -  run turn right  (45),c50ac0873c66eb00cbe8ef1d6ca4334fd1ed1c2ebcc8b0b31624fb628b91b4a9,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",254,156,254,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C16 -  run turn right  (135)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C16 -  run turn right  (135),f8804651568401f5ef31ad45bb649fe7051bdaeb2c65977c7fa47fcf851d6d51,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",281,156,281,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C19 -  run to hop to walk_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C19 -  run to hop to walk,a32a8652f2bbb60aebacc3c4710a99fb68c6bab2f47e2f7aac02c25e5868220b,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",505,156,505,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C2 - Run to stand_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C2 - Run to stand,1945578d761349023ace168558519b0345ebae25a39a5202fef4d1dbd30a06e2,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",639,156,639,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C20 -  run to jump to walk_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C20 -  run to jump to walk,65f4173f514f1b1edc3c7e34e623ddc79cc6e32da4e25a604f0fad7a2ae6fc9d,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",480,156,480,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C21 -  run to pick up box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C21 -  run to pick up box,37c825409859924306c837f50601d02bcd4644c2bed3a1f0e12e707bde4feca9,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",578,156,578,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C21 s2 -  run to pick up box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C21 s2 -  run to pick up box,cdc30109bfa0ec6bbefbe351e18ee00f0aa8ff81db5a07c8652fdf9a91534cae,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",307,156,307,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C22 -  run with box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C22 -  run with box,64641e6377398709997c1bae4290231a1cc51b0ead930e2a7a47cf679bfc05c5,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",238,156,238,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C24 -  side step left_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C24 -  side step left,a0e477eb30a220b9c6d51546aecfab988c6066a2f4898982d511f7c1207a0fe8,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",476,156,476,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C25 -  side step right_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C25 -  side step right,188c98644f8d84a7d2e09b3141b2f249abed9759d9081f320813e3d6a1540b68,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",515,156,515,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C26 -  run to crouch_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C26 -  run to crouch,970e4d84f2e64a5a22d0b29e4969a837b572f1fdd8136726d9805b9e663d18a1,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",360,156,360,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C27 - crouch to run1_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C27 - crouch to run1,890b1156192d113cfa89dc41e0faaa54ec480db90565f990894b18d533ab4ea7,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",386,156,386,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C3 - Run_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C3 - Run,97ee81682cda69563d14ccc24600eb40b468949a77df5fe7b3a94974cfc10a93,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",203,156,203,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C4 - Run to walk1_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C4 - Run to walk1,7e994d31a837f26112605b6bc46b9e97bded16a58008191372effd7b1a910e5e,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",424,156,424,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C5 - walk to run_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C5 - walk to run,dc2f2d70b6776aeb29062745b2cfa970cb1236bc5277a0206f547af1522b457a,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",650,156,650,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C6 - stand to run backwards_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C6 - stand to run backwards,158f9b7f72781c41a70d9e42a37e585a4ee20f46ad16488389ac0f4e4708d584,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",898,156,898,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C7 -  run backwards_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C7 -  run backwards,d711cdd21058ea773c331db6cb055171bf98bbb152cf17dfb5d4e5c6b0545e58,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",371,156,371,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C8 -  run backwards to stand_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C8 -  run backwards to stand,487eab0922852bcd5a5807b60121025212cc9d9e4fe7a62054082557dae1f589,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",529,156,529,3,120.0,female,ok,
ACCAD/Female1Running_c3d/C9 -  run backwards turn run forward_poses.npz,ACCAD,ACCAD/Female1Running_c3d,ACCAD::Female1Running_c3d,C9 -  run backwards turn run forward,4ee5544c330787e8b220bf060f37471f44358749e7d5f475fe5e7c93bae2cc82,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",275,156,275,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B1 - stand to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B1 - stand to walk,20c99cf6d9c7be4f75706ac2b534c95943ef642ce18b77cdf179c18fd873dc6f,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",747,156,747,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B10 - walk turn left (45)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B10 - walk turn left (45),fb26b2c818cc59d81bc8e76ece5f13c05b8801ab0562de2ed567bb70d7cab370,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",950,156,950,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B11 - walk turn left (135)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B11 - walk turn left (135),08573cf65bb4a3b5e1f133e1db4b308e89684ab8fef0c56b34429d7423022438,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1123,156,1123,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B12 - walk turn right (90)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B12 - walk turn right (90),5dbf6f643f5346a5edcc0a6c74b4dfc946c5e18e4b0e53ac988e1a2721777963,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",931,156,931,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B13 - walk turn right (45)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B13 - walk turn right (45),7729956f556612cddd36b7d4b6ff59f30b9bc0e4c7aa7e684ccf4a46a591dd49,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",997,156,997,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B14 - walk turn right (135)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B14 - walk turn right (135),c276ad25a41869b1342ec1140ea0c9eb487fe73aee1d74b7a6c1ebca867073a7,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1076,156,1076,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B15 - walk turn around (same direction)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B15 - walk turn around (same direction),d4a482eed564e8525572a2f750abfdc031bb0d63a31464bfc17f26ad5377702f,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1273,156,1273,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B16 - walk turn change direction_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B16 - walk turn change direction,f2682af589c9df27fc8409612394bca35389a5cc27261092388d98fe4025c796,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1323,156,1323,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B17 - walk to hop to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B17 - walk to hop to walk1,6e8978a4c9e4b08bb347ec9cb71e17adcc1140268a2db2c9e4d3a1cd540c1d82,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",754,156,754,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B18 - walk to leap to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B18 - walk to leap to walk,034ac2f904cace098f8763522db70182b33b338405e572e1432d7b08eb80380a,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",683,156,683,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B19 - walk to pick up box_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B19 - walk to pick up box,3b23958e2662cf92ab42fe614daee52d0f4a21790382e772b14e0edda9ece3aa,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",830,156,830,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B2 - walk to stand t2_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B2 - walk to stand t2,ebf1bfec6202309eb5ac3a6d930ba94762bcd1104a034a67d38c046ab33a8344,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",588,156,588,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B2 - walk to stand_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B2 - walk to stand,a5fad8b7037a77395c33c1189159d8a616a21f300c587c806e0d482dbeaab382,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",682,156,682,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B20 - walk with box_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B20 - walk with box,58fce8e25bb82655274641a0c307db969ca9fa870c05151bc94c9b41aa4366e0,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",514,156,514,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B21 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B21 - put down box to walk,5bae287bf991a0be82bb187c5160f74719ae1269601248d71900214bed11b419,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1131,156,1131,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B21 s2 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B21 s2 - put down box to walk,a482041665c1d4735ce9abab7187351ea5c3fc4fbea309238b2a0edb3baa48fc,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1377,156,1377,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B21 s3 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B21 s3 - put down box to walk,6f6129ab548e15b019329a19a1fdf82dd6e5c586f596cc45922c7e517c0b0d1f,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1289,156,1289,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B22 - side step left_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B22 - side step left,4a771de243ea899c56da9316de02b96890a482134b11100d9141e86aff5b02a7,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1103,156,1103,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B23 - side step right_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B23 - side step right,ffea4fe600695af2c2359edc652a96a91f3776be7cc805785e84803018089555,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",999,156,999,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B24 - walk to crouch_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B24 - walk to crouch,816cb32c5f18d06d242419ea4aa686544027fbc3fc54fc8b84f3e8cd99ddd513,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",849,156,849,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B25 - crouch to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B25 - crouch to walk1,9763026364db258be6be987f049e1cca32c40ad0cd971bc8d9bd58b85d5f4928,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",710,156,710,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B27 -skip to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B27 -skip to walk1,a4e52bd9fa26f3c634ac1ea49039f686f8f0dc492eccdf1131417a664ec421a4,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",808,156,808,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B3 - walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B3 - walk1,3ba0cbdf6e152618deaf208583748e829641041b5b94c822f30cd4df0722c739,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",915,156,915,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B4 - stand to walk back_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B4 - stand to walk back,e0805eae4a0c760ef0fff8d85855fe164ec2c84be76d32bc8a39a0dba9ca0e92,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",906,156,906,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B5 - walk backwards_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B5 - walk backwards,a1ef9748f29f7e7e72a0025b6f36a6447ed949a1568d0fbfe45c973f6b7bfcff,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1384,156,1384,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B6 - walk backwards to stand_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B6 - walk backwards to stand,50b3ef1e0759d76c33cae868883f07d907052ac178fb705b476dc6305bd80bab,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",981,156,981,3,120.0,female,ok,
ACCAD/Female1Walking_c3d/B7 - walk backwards turn forwards_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,ACCAD::Female1Walking_c3d,B7 - walk backwards turn forwards,77924b18410b0ba7c9267156f6638fe04ba2bfb821edfaba1e282f5a133cc8ae,"[""betas"", ""dmpls"", ""gender"", ""mocap_framerate"", ""poses"", ""trans""]",1039,156,1039,3,120.0,female,ok,
