relative_path,tensor_relative_path,source_dataset,subject_id_candidate,identity,split,motion_id,gender,native_fps,native_frames,canonical_fps,canonical_frames,source_sha256,source_sha256_verified,body_model_sha256,dmpl_model_sha256,schema,coordinate_frame,valid_fraction,forward_method,travel_displacement_m,travel_path_length_m,travel_straightness,travel_linearity,lateral_hip_alignment,leg_length_m,conversion_fingerprint,status,error
ACCAD/Female1General_c3d/A6 - lift box_poses.npz,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A6 - lift box,female,120.0,1006,30.0,252,e57346745dd22273ed9cafbcf02718a94613a2efe84c42dee7720182e7ca3700,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.017008970005325554,0.514768585282652,0.033041973600596034,0.9756361093055642,1.0000000000000002,0.7512481808662415,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A6- lift box t2_poses.npz,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A6- lift box t2,female,120.0,849,30.0,213,5a8b71aae593027fc39c454d121724b565c224946dfe0b3f5e873e920630bad8,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.014776182816976272,0.37987216323012607,0.038897777324170185,0.8915264384909931,1.0,0.7612650394439697,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A7 - crouch_poses.npz,ACCAD/Female1General_c3d/A7 - crouch_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A7 - crouch,female,120.0,608,30.0,152,5139418679e58d913935bac1a563042b13e3c65830ab3875389ccc42d109b1ad,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,0.15002383600582203,0.27893539423570235,0.5378443865716477,0.9565518803637741,-0.983602448022435,0.7565464973449707,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A8 - crouch to lie_poses.npz,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A8 - crouch to lie,female,120.0,773,30.0,194,34caae19106844db24408b0105d14928f87a709009431c8b2329cdd1beb218d5,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,0.2576299976609682,0.46637048896977973,0.5524148799167744,0.982579909559575,0.9993275373464471,0.7748380899429321,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1General_c3d/A9 - lie t2_poses.npz,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD,ACCAD::Female1General_c3d,ACCAD::Female1,train,A9 - lie t2,female,120.0,946,30.0,237,ec856e113c4cda4f9e392dc9875e10a179696c759169878bb5b7c8c0bfa04aee,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.003920789267757881,0.14884425293486825,0.026341556294239676,0.8043615844949491,1.0,0.7778511643409729,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Gestures_c3d/D1 - Urban 1_poses.npz,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD,ACCAD::Female1Gestures_c3d,ACCAD::Female1,train,D1 - Urban 1,female,120.0,1843,30.0,461,841792d19407066986c6c17d0a633f2874a90c53e1ef85932e8f5a29bc05d22e,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.09869841279918525,2.0742808753230935,0.04758199044949099,0.7596136004367724,1.0,0.7559056282043457,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Gestures_c3d/D2 - Wait 1_poses.npz,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD,ACCAD::Female1Gestures_c3d,ACCAD::Female1,train,D2 - Wait 1,female,120.0,4624,30.0,1156,e607808b869a1b1c2cd15c6e6958b6a24c0811ba4f06ba0f931fac92c0848deb,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.02456715539540782,2.824050129594526,0.008699263209939955,0.5492563710238375,1.0,0.7570261359214783,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_poses.npz,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD,ACCAD::Female1Gestures_c3d,ACCAD::Female1,train,D3 - Conversation Gestures,female,120.0,6086,30.0,1522,7a3b1d0adc7dbbd261dc43c671a1cbd626e3b17d3c578f36996877bc5c56029d,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.6453519915102782,3.436827791958223,0.18777548093050422,0.7137329312538061,1.0,0.7545467019081116,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_poses.npz,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD,ACCAD::Female1Gestures_c3d,ACCAD::Female1,train,D5 - Random Stuff 2,female,120.0,1996,30.0,499,2fde2b02b0e5d967fdeccb629427e51df2cbdd3623cc548904720a52480562c1,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback_due_to_travel_anatomy_misalignment,2.8816708880962487,13.082860260036583,0.220263064102176,0.8226565784436436,1.0,0.7671676278114319,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Gestures_c3d/D6- CartWheel_poses.npz,ACCAD/Female1Gestures_c3d/D6- CartWheel_core11.npz,ACCAD,ACCAD::Female1Gestures_c3d,ACCAD::Female1,train,D6- CartWheel,female,120.0,572,30.0,143,d7a393b5e83949850d56e52a16d5a3142968da4bb6811737b33c742e524a8df6,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,3.8267243870663545,3.994946994710469,0.9578911540336202,0.9989220932715599,0.9968207994887487,0.7675652503967285,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Gestures_c3d/Female1 Subj Calibration_poses.npz,ACCAD/Female1Gestures_c3d/Female1 Subj Calibration_core11.npz,ACCAD,ACCAD::Female1Gestures_c3d,ACCAD::Female1,train,Female1 Subj Calibration,female,120.0,360,30.0,90,dc7f8154d1d4832e63448ec619973a6052bf663f98269ffc86338207b0cc4d96,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.0015132742198006438,0.047344191955366224,0.031963249499057544,0.8815893681821303,1.0000000000000002,0.7543995976448059,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C10 -  run backwards stop run forward_poses.npz,ACCAD/Female1Running_c3d/C10 -  run backwards stop run forward_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C10 -  run backwards stop run forward,female,120.0,610,30.0,153,729b5cbffa5473ebe02fc1f04922063dd28ec69ddbfa426f3c1ec02cea738830,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback,0.29731339340194674,13.048764541460251,0.022784792572299355,0.9840234258210963,0.9999999999999999,0.7737033367156982,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C11 -  run turn left (90)_poses.npz,ACCAD/Female1Running_c3d/C11 -  run turn left (90)_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C11 -  run turn left (90),female,120.0,278,30.0,70,978a5b19cee10e0802017d108b87ad95cd9e6db5f5d334b354d6f69808b50df2,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,4.59299106286328,6.092805592025172,0.7538384400242496,0.8652717836938788,0.9943053966645626,0.7733625769615173,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C13 -  run turn left (135)_poses.npz,ACCAD/Female1Running_c3d/C13 -  run turn left (135)_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C13 -  run turn left (135),female,120.0,344,30.0,86,93e11a7f6aeefaf8c59253d761b636ce2e5e9411a1be5e36e8945d5d9c2a44f0,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback_due_to_travel_anatomy_misalignment,2.5272681275167628,6.5611622830542,0.385186041510366,0.5896774770193833,1.0,0.7736382484436035,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C14 -  run turn right  (90)_poses.npz,ACCAD/Female1Running_c3d/C14 -  run turn right  (90)_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C14 -  run turn right  (90),female,120.0,511,30.0,128,abb998655bd0f48e64ca5f0d210e5bb94de6b8d6652dec8ace8a579ab6e34c10,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,hip_facing_fallback_due_to_travel_anatomy_misalignment,5.212096389533443,6.938590136140826,0.7511751360532671,0.8850821813808818,1.0,0.7708178162574768,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C15 -  run turn right  (45)_poses.npz,ACCAD/Female1Running_c3d/C15 -  run turn right  (45)_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C15 -  run turn right  (45),female,120.0,254,30.0,64,c50ac0873c66eb00cbe8ef1d6ca4334fd1ed1c2ebcc8b0b31624fb628b91b4a9,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,6.414705641943981,7.171927756906158,0.894418608130427,0.9720588178689593,0.9974171930524706,0.7727147340774536,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C16 -  run turn right  (135)_poses.npz,ACCAD/Female1Running_c3d/C16 -  run turn right  (135)_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C16 -  run turn right  (135),female,120.0,281,30.0,71,f8804651568401f5ef31ad45bb649fe7051bdaeb2c65977c7fa47fcf851d6d51,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,3.3920989355137565,6.205466069568677,0.5466308086266808,0.7697243676693596,0.9944973393788694,0.771246075630188,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C19 -  run to hop to walk_poses.npz,ACCAD/Female1Running_c3d/C19 -  run to hop to walk_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C19 -  run to hop to walk,female,120.0,505,30.0,127,a32a8652f2bbb60aebacc3c4710a99fb68c6bab2f47e2f7aac02c25e5868220b,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,8.630592312774986,8.884328302186848,0.9714400480507451,0.9997216104464098,0.9999226060560464,0.7692447304725647,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C2 - Run to stand_poses.npz,ACCAD/Female1Running_c3d/C2 - Run to stand_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C2 - Run to stand,female,120.0,639,30.0,160,1945578d761349023ace168558519b0345ebae25a39a5202fef4d1dbd30a06e2,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,5.406822260599589,5.76344386521225,0.9381235225061869,0.999659210484492,0.9979246711710092,0.7687088847160339,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C20 -  run to jump to walk_poses.npz,ACCAD/Female1Running_c3d/C20 -  run to jump to walk_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C20 -  run to jump to walk,female,120.0,480,30.0,120,65f4173f514f1b1edc3c7e34e623ddc79cc6e32da4e25a604f0fad7a2ae6fc9d,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,7.650704616420255,7.958156411576073,0.9613664548351182,0.9995087732861543,0.9993057746871205,0.7700223922729492,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C21 -  run to pick up box_poses.npz,ACCAD/Female1Running_c3d/C21 -  run to pick up box_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C21 -  run to pick up box,female,120.0,578,30.0,145,37c825409859924306c837f50601d02bcd4644c2bed3a1f0e12e707bde4feca9,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,4.202659610838179,4.4767508282852235,0.9387745201910126,0.9996825041307306,0.9979945993738676,0.7705739736557007,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C21 s2 -  run to pick up box_poses.npz,ACCAD/Female1Running_c3d/C21 s2 -  run to pick up box_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C21 s2 -  run to pick up box,female,120.0,307,30.0,77,cdc30109bfa0ec6bbefbe351e18ee00f0aa8ff81db5a07c8652fdf9a91534cae,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,7.784679570188244,8.246031335058461,0.9440516599896056,0.9992320661255454,0.9563204825668657,0.7751721739768982,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
ACCAD/Female1Running_c3d/C22 -  run with box_poses.npz,ACCAD/Female1Running_c3d/C22 -  run with box_core11.npz,ACCAD,ACCAD::Female1Running_c3d,ACCAD::Female1,train,C22 -  run with box,female,120.0,238,30.0,60,64641e6377398709997c1bae4290231a1cc51b0ead930e2a7a47cf679bfc05c5,True,fc10da26f7fc1d5a913c1fba57ed67a84ab9c55e5391c653c983d57acf1a39d2,6aa747a67da957367d450101869df85eb51938e51715ea92113d5b6edb79d5bc,core11-v1,gait-parity-body-v1,1.0,pelvis_travel_pca_signed_by_robust_displacement,7.379414143425692,7.835396494732821,0.9418048146493093,0.9999609604169134,0.9992727059399151,0.7704427242279053,4664fd77484e9f3da96576b65b8ccd71a2c56d2e46311981d927d3297401c2cb,converted,
