source_dataset,subject_id_candidate,audited_subject_id,identity,split,split_seed
ACCAD,ACCAD::Female1Gestures_c3d,Female1,ACCAD::Female1,train,gait-parity-amass-v1
ACCAD,ACCAD::Female1Running_c3d,Female1,ACCAD::Female1,train,gait-parity-amass-v1
ACCAD,ACCAD::Female1Walking_c3d,Female1,ACCAD::Female1,train,gait-parity-amass-v1
ACCAD,ACCAD::Male1General_c3d,Male1,ACCAD::Male1,train,gait-parity-amass-v1
ACCAD,ACCAD::Male1Running_c3d,Male1,ACCAD::Male1,train,gait-parity-amass-v1
ACCAD,ACCAD::Male1Walking_c3d,Male1,ACCAD::Male1,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub001,rub001,BioMotionLab_NTroje::rub001,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub003,rub003,BioMotionLab_NTroje::rub003,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub004,rub004,BioMotionLab_NTroje::rub004,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub005,rub005,BioMotionLab_NTroje::rub005,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub006,rub006,BioMotionLab_NTroje::rub006,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub007,rub007,BioMotionLab_NTroje::rub007,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub008,rub008,BioMotionLab_NTroje::rub008,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub009,rub009,BioMotionLab_NTroje::rub009,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub011,rub011,BioMotionLab_NTroje::rub011,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub012,rub012,BioMotionLab_NTroje::rub012,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub015,rub015,BioMotionLab_NTroje::rub015,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub016,rub016,BioMotionLab_NTroje::rub016,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub017,rub017,BioMotionLab_NTroje::rub017,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub018,rub018,BioMotionLab_NTroje::rub018,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub020,rub020,BioMotionLab_NTroje::rub020,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub021,rub021,BioMotionLab_NTroje::rub021,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub022,rub022,BioMotionLab_NTroje::rub022,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub024,rub024,BioMotionLab_NTroje::rub024,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub025,rub025,BioMotionLab_NTroje::rub025,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub026,rub026,BioMotionLab_NTroje::rub026,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub028,rub028,BioMotionLab_NTroje::rub028,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub029,rub029,BioMotionLab_NTroje::rub029,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub032,rub032,BioMotionLab_NTroje::rub032,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub033,rub033,BioMotionLab_NTroje::rub033,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub034,rub034,BioMotionLab_NTroje::rub034,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub035,rub035,BioMotionLab_NTroje::rub035,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub036,rub036,BioMotionLab_NTroje::rub036,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub037,rub037,BioMotionLab_NTroje::rub037,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub038,rub038,BioMotionLab_NTroje::rub038,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub039,rub039,BioMotionLab_NTroje::rub039,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub040,rub040,BioMotionLab_NTroje::rub040,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub041,rub041,BioMotionLab_NTroje::rub041,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub042,rub042,BioMotionLab_NTroje::rub042,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub043,rub043,BioMotionLab_NTroje::rub043,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub045,rub045,BioMotionLab_NTroje::rub045,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub046,rub046,BioMotionLab_NTroje::rub046,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub047,rub047,BioMotionLab_NTroje::rub047,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub048,rub048,BioMotionLab_NTroje::rub048,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub049,rub049,BioMotionLab_NTroje::rub049,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub051,rub051,BioMotionLab_NTroje::rub051,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub052,rub052,BioMotionLab_NTroje::rub052,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub055,rub055,BioMotionLab_NTroje::rub055,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub056,rub056,BioMotionLab_NTroje::rub056,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub057,rub057,BioMotionLab_NTroje::rub057,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub058,rub058,BioMotionLab_NTroje::rub058,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub059,rub059,BioMotionLab_NTroje::rub059,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub060,rub060,BioMotionLab_NTroje::rub060,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub062,rub062,BioMotionLab_NTroje::rub062,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub063,rub063,BioMotionLab_NTroje::rub063,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub064,rub064,BioMotionLab_NTroje::rub064,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub065,rub065,BioMotionLab_NTroje::rub065,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub066,rub066,BioMotionLab_NTroje::rub066,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub067,rub067,BioMotionLab_NTroje::rub067,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub068,rub068,BioMotionLab_NTroje::rub068,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub069,rub069,BioMotionLab_NTroje::rub069,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub071,rub071,BioMotionLab_NTroje::rub071,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub073,rub073,BioMotionLab_NTroje::rub073,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub074,rub074,BioMotionLab_NTroje::rub074,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub077,rub077,BioMotionLab_NTroje::rub077,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub078,rub078,BioMotionLab_NTroje::rub078,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub079,rub079,BioMotionLab_NTroje::rub079,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub080,rub080,BioMotionLab_NTroje::rub080,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub081,rub081,BioMotionLab_NTroje::rub081,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub083,rub083,BioMotionLab_NTroje::rub083,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub084,rub084,BioMotionLab_NTroje::rub084,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub085,rub085,BioMotionLab_NTroje::rub085,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub087,rub087,BioMotionLab_NTroje::rub087,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub088,rub088,BioMotionLab_NTroje::rub088,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub089,rub089,BioMotionLab_NTroje::rub089,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub090,rub090,BioMotionLab_NTroje::rub090,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub092,rub092,BioMotionLab_NTroje::rub092,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub093,rub093,BioMotionLab_NTroje::rub093,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub095,rub095,BioMotionLab_NTroje::rub095,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub096,rub096,BioMotionLab_NTroje::rub096,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub097,rub097,BioMotionLab_NTroje::rub097,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub099,rub099,BioMotionLab_NTroje::rub099,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub100,rub100,BioMotionLab_NTroje::rub100,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub101,rub101,BioMotionLab_NTroje::rub101,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub102,rub102,BioMotionLab_NTroje::rub102,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub103,rub103,BioMotionLab_NTroje::rub103,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub105,rub105,BioMotionLab_NTroje::rub105,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub108,rub108,BioMotionLab_NTroje::rub108,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub109,rub109,BioMotionLab_NTroje::rub109,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub110,rub110,BioMotionLab_NTroje::rub110,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub111,rub111,BioMotionLab_NTroje::rub111,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub112,rub112,BioMotionLab_NTroje::rub112,train,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub114,rub114,BioMotionLab_NTroje::rub114,train,gait-parity-amass-v1
EKUT,EKUT::125,125,EKUT::125,train,gait-parity-amass-v1
EKUT,EKUT::234,234,EKUT::234,train,gait-parity-amass-v1
EKUT,EKUT::265,265,EKUT::265,train,gait-parity-amass-v1
EKUT,EKUT::300,300,EKUT::300,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::aita,aita,Eyes_Japan_Dataset::aita,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::frederic,frederic,Eyes_Japan_Dataset::frederic,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::hamada,hamada,Eyes_Japan_Dataset::hamada,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::ichige,ichige,Eyes_Japan_Dataset::ichige,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::kaiwa,kaiwa,Eyes_Japan_Dataset::kaiwa,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::kanno,kanno,Eyes_Japan_Dataset::kanno,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::kawaguchi,kawaguchi,Eyes_Japan_Dataset::kawaguchi,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::kudo,kudo,Eyes_Japan_Dataset::kudo,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::shiono,shiono,Eyes_Japan_Dataset::shiono,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::takiguchi,takiguchi,Eyes_Japan_Dataset::takiguchi,train,gait-parity-amass-v1
Eyes_Japan_Dataset,Eyes_Japan_Dataset::yokoyama,yokoyama,Eyes_Japan_Dataset::yokoyama,train,gait-parity-amass-v1
KIT,KIT::10,10,KIT::10,train,gait-parity-amass-v1
KIT,KIT::11,11,KIT::11,train,gait-parity-amass-v1
KIT,KIT::12,12,KIT::12,train,gait-parity-amass-v1
KIT,KIT::1229,1229,KIT::1229,train,gait-parity-amass-v1
KIT,KIT::1297,1297,KIT::1297,train,gait-parity-amass-v1
KIT,KIT::1346,1346,KIT::1346,train,gait-parity-amass-v1
KIT,KIT::1347,1347,KIT::1347,train,gait-parity-amass-v1
KIT,KIT::1487,1487,KIT::1487,train,gait-parity-amass-v1
KIT,KIT::167,167,KIT::167,train,gait-parity-amass-v1
KIT,KIT::1717,1717,KIT::1717,train,gait-parity-amass-v1
KIT,KIT::1721,1721,KIT::1721,train,gait-parity-amass-v1
KIT,KIT::1747,1747,KIT::1747,train,gait-parity-amass-v1
KIT,KIT::183,183,KIT::183,train,gait-parity-amass-v1
KIT,KIT::200,200,KIT::200,train,gait-parity-amass-v1
KIT,KIT::205,205,KIT::205,train,gait-parity-amass-v1
KIT,KIT::291,291,KIT::291,train,gait-parity-amass-v1
KIT,KIT::3,3,KIT::3,train,gait-parity-amass-v1
KIT,KIT::359,359,KIT::359,train,gait-parity-amass-v1
KIT,KIT::378,378,KIT::378,train,gait-parity-amass-v1
KIT,KIT::379,379,KIT::379,train,gait-parity-amass-v1
KIT,KIT::4,4,KIT::4,train,gait-parity-amass-v1
KIT,KIT::421,421,KIT::421,train,gait-parity-amass-v1
KIT,KIT::424,424,KIT::424,train,gait-parity-amass-v1
KIT,KIT::441,441,KIT::441,train,gait-parity-amass-v1
KIT,KIT::471,471,KIT::471,train,gait-parity-amass-v1
KIT,KIT::513,513,KIT::513,train,gait-parity-amass-v1
KIT,KIT::551,551,KIT::551,train,gait-parity-amass-v1
KIT,KIT::572,572,KIT::572,train,gait-parity-amass-v1
KIT,KIT::575,575,KIT::575,train,gait-parity-amass-v1
KIT,KIT::576,576,KIT::576,train,gait-parity-amass-v1
KIT,KIT::63,63,KIT::63,train,gait-parity-amass-v1
KIT,KIT::674,674,KIT::674,train,gait-parity-amass-v1
KIT,KIT::675,675,KIT::675,train,gait-parity-amass-v1
KIT,KIT::7,7,KIT::7,train,gait-parity-amass-v1
KIT,KIT::725,725,KIT::725,train,gait-parity-amass-v1
KIT,KIT::8,8,KIT::8,train,gait-parity-amass-v1
KIT,KIT::9,9,KIT::9,train,gait-parity-amass-v1
KIT,KIT::912,912,KIT::912,train,gait-parity-amass-v1
KIT,KIT::948,948,KIT::948,train,gait-parity-amass-v1
KIT,KIT::950,950,KIT::950,train,gait-parity-amass-v1
KIT,KIT::952,952,KIT::952,train,gait-parity-amass-v1
KIT,KIT::965,965,KIT::965,train,gait-parity-amass-v1
KIT,KIT::969,969,KIT::969,train,gait-parity-amass-v1
KIT,KIT::987,987,KIT::987,train,gait-parity-amass-v1
MPI_HDM05,MPI_HDM05::bk,bk,MPI_HDM05::bk,train,gait-parity-amass-v1
MPI_HDM05,MPI_HDM05::dg,dg,MPI_HDM05::dg,train,gait-parity-amass-v1
MPI_HDM05,MPI_HDM05::tr,tr,MPI_HDM05::tr,train,gait-parity-amass-v1
ACCAD,ACCAD::Male2General_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::Male2MartialArtsExtended_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::Male2MartialArtsKicks_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::Male2MartialArtsPunches_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::Male2MartialArtsStances_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::Male2Running_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::Male2Walking_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
ACCAD,ACCAD::MartialArtsWalksTurns_c3d,Male2,ACCAD::Male2,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub002,rub002,BioMotionLab_NTroje::rub002,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub023,rub023,BioMotionLab_NTroje::rub023,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub044,rub044,BioMotionLab_NTroje::rub044,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub053,rub053,BioMotionLab_NTroje::rub053,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub054,rub054,BioMotionLab_NTroje::rub054,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub070,rub070,BioMotionLab_NTroje::rub070,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub072,rub072,BioMotionLab_NTroje::rub072,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub075,rub075,BioMotionLab_NTroje::rub075,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub086,rub086,BioMotionLab_NTroje::rub086,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub098,rub098,BioMotionLab_NTroje::rub098,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub106,rub106,BioMotionLab_NTroje::rub106,validation,gait-parity-amass-v1
BioMotionLab_NTroje,BioMotionLab_NTroje::rub115,rub115,BioMotionLab_NTroje::rub115,validation,gait-parity-amass-v1
KIT,KIT::348,348,KIT::348,validation,gait-parity-amass-v1
KIT,KIT::423,423,KIT::423,validation,gait-parity-amass-v1
KIT,KIT::6,6,KIT::6,validation,gait-parity-amass-v1
KIT,KIT::883,883,KIT::883,validation,gait-parity-amass-v1
KIT,KIT::917,917,KIT::917,validation,gait-parity-amass-v1
KIT,KIT::955,955,KIT::955,validation,gait-parity-amass-v1
