"Priority 
(H/M/L/NA )",Feature:,Neurological Reason:,What is considered significant?,Source:
H,cadence_steps_min,"Due to reduced muscle control in one side of the body, a person's steps per minute with also reduce significantly with a stroke.",Stroke patients typically take 50-65 steps/min.,https://linkmjhcr.com/index.php/lmj/article/download/44/54
L,stride_length_m,"Due to reduced muscle control in one side of the body, a person's steps will likely get shorter in length.","Steps were around 0.37 m on the nonparetic side and around 0.49 m on the paretic side. So, since this is an average, a value around 0.40-45, but probably within the range of 0.40 to 0.65 could indicate a stroke.",https://www.litegait.com/Handouts/handout_JC20Q2.pdf
M,step_width_m,"A stroke patient will typically take wider steps than a healthy patient, as a result of compensating for one side of the body having weakened muscle control (especially with stiff knee).","A normal step width is around 0.08 to 0.10 m. In stroke patients, this widens to around 0.17 m, with roughly 0.03 m of variability. ",https://pmc.ncbi.nlm.nih.gov/articles/PMC6474800/
M,stance_percentage,"Due to weakened muscle control, a stroke patient will spend more time in stance than a healthy person, as spending too much time on their paretic side isn't possible.","A normal stance percentage is around 60%, in stroke patients, it's typically 70%.",https://onlinelibrary.wiley.com/doi/10.1155/2013/918642
M,swing_percentage,"Due to weakened muscle control, a stroke patient will spend less time in swing than a healthy person, as spending too much time on their paretic side isn't possible.","A normal stance percentage is around 40%, in stroke patients, it's typically 30%.",https://onlinelibrary.wiley.com/doi/10.1155/2013/918642
H,double_support_percentage,"Due to weakend muscle control, a stroke patient will spend more time in double support (both feet on the ground) than a healthy person, as spending too much time on their paretic side isn't possible.","A normal double support percentage is around 20%, in stroke patients, their double support percentage will increase by 50-100%, so, around 30%-40%.",https://www.houstonbionics.com/post/gait-walking-in-stroke
H,stance_swing_ratio,"Due to weakened muscle control, a stroke patient will have a higher stance/swing time than usual, as spending too much time on their paretic side isn't possible.","A normal stance/swing ratio is around 1.6, in stroke pateints, it's typically around 2.3",https://onlinelibrary.wiley.com/doi/10.1155/2013/918642
H,stride_length_si,"Due to weakend muscle control on a stroke patient's paretic side, they have to compensate by using their nonparetic side to push foward. This causes the paretic leg to swing farther foward, causing an asymmetry in step length.","Steps were around 0.37 m on the nonparetic side and around 0.49 m on the paretic side. So, using the given formula on these rough estimates, an SI of around 27.9% could indicate a stroke.",https://www.litegait.com/Handouts/handout_JC20Q2.pdf
H,stance_time_si,"Due to weakened muscle control on a stroke patient's paretic side, they will bare less weight on it and will spend more time on their nonparetic side. So, there will be asymmetry in their stance time from side to side.","The paper did not include a specific value, but instead implied the importance of the feature in general. I would estimate an SI of 16% or greater.",https://journals.sagepub.com/doi/10.1177/1545968310380687
H,swing_time_si,"Due to weakened muscle control on a stroke patient's paretic side, they will bare less weight on it and will spend more time on their nonparetic side. So, there will be asymmetry in their swing time from side to side.","The paper did not include a specific value, but instead implied the importance of the feature in general. I would estimate an SI of 16% or greater.",https://www.sciencedirect.com/science/article/abs/pii/S0966636209006493
M,hip_angle_si,"Due to weakened hip flexor and extensor muscle control on the paretic side, the hip joint angle on the paretic side differs greatly from the hip joint angle on the nonparetic side.","The paper did not include a specific value, but instead implied the importance of the feature in general. I would estimate an SI of 16% or greater.",https://pubmed.ncbi.nlm.nih.gov/19932621/
M,knee_angle_si,"Due to weakened knee flexor control on the paretic side (also known as stiff-knee gait), the paretic knee joint will have reduced flexion in comparison to the knee joint on the nonparetic side.","The paper did not include a specific value, but instead implied the importance of the feature in general. I would estimate an SI of 16% or greater.",https://pubmed.ncbi.nlm.nih.gov/19932621/
M,ankle_angle_si,"Due to weakened ankle dorsiflexor and plantarflexor muscle control on the paretic side, the paretic ankle joint will have reduced flexion in comprison to the nonparetic ankle joint.","The paper did not include a specific value, but instead implied the importance of the feature in general. I would estimate an SI of 16% or greater.",https://pubmed.ncbi.nlm.nih.gov/19932621/
M,velocity_mean,"Due to reduced muscle control in one side of the body, a person's gait will slow down quite a bit with a stroke.","The source did not say how fast a person would move in terms of px/s, so I would assume around 80 px/s if that means slow.",https://www.sciencedirect.com/science/article/abs/pii/S0966636206002670
L,velocity_std,"A stroke gait is very unstable, as it's one side of the body doing the work of two sides. So, there would likely be some variability in velocity when pushing off of the paretic vs nonparetic side.","The source did not specifically outline a metric for this, but I would assume a value that implies very variable motion in the context of the velocity mean. (120 px/s if mean is 200 px/s)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9822815/
L,jerk_mean,"A patient's gait will be irregular, due to the paretic limb producing inconsistent force, which could lead to abrupt acceleration changes during a stride.","The source did not specifically outline a metric for this, but I would assume a value that implies very variable motion.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9603299/
M,stride_time_cv,"After a stroke, the decrease in gait coordinaiton is directly associated with an increase in stride time variability.","This source says that the cutoff value is 4.32%, and above it, a diagnosis of a stroke could be supported.",https://www.sciencedirect.com/science/article/abs/pii/S096663622400078X
M,step_length_cv,"A higher step length cv indicates instability in walking, which is incredbily prevalent with stroke patients as muscle control of one side has been greatly reduced.","This source says that the cutoff value is 9.97%, and above it, a diagnosis of a stroke could be supported.",https://www.sciencedirect.com/science/article/abs/pii/S096663622400078X
M,trunk_lean_angle,Stroke patients can develop an anterior trunk lean due to weakened trunk muscle control and also due to compensatory weight shifting to maintain balance during their hemiparetic gait,An anterior tilt of around 4.3 degrees more than normal controls. So a lean of that size or greater could raise a flag.,https://pmc.ncbi.nlm.nih.gov/articles/PMC5913771/
L,pelvic_tilt_mean,Stroke patients can develop an anterior pelvic tilt due to weakened hip flexors and core muscle control.,"An anterior tilt of around 15.43 degrees could indicate a stroke, while a normal tilt is around 13.0. (Just to note, there could be some overlap between abnormal and healthy pelvic tilt, so this should not be the primary diagnosing feature).",https://pmc.ncbi.nlm.nih.gov/articles/PMC5788769/
H,com_movement_mean,Stroke patients exhibit an altered center of mass trajectory while walking due to impaired balance control (due to their paretic side) and asymmetric muscle activation.,"There isn't a specific threshold mentioned, but I would assume a higher value could be a stroke indicator.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6942738/
H,com_movement_std,"Stoke patients have unstable balance control (due to their paretic side), causing an inconsistent center of mass placement across multiple strides. ","There isn't a specific threshold mentioned, but I would assume a higher value could be a stroke indicator.",https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2023.1146094/full
H,com_stability_index,Stroke patients have unstable balance control due to their imparied neuromuscular control on their paretic side.,"There isn't a specific threshold mentioned, but I would assume a higher value could be a stroke indicator.",https://www.physio-pedia.com/Biodex_Balance_System
H,postural_sway_area,Stroke patients demonstrate wider postural sway and poorer postural control due to compromised balance mechanisms due to impaired neuromuscular control.,"There isn't a specific threshold mentioned, but I would assume a higher value could be a stroke indicator.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6942738/
L,step_width_std,"Stroke patients exhibit deficits in step by step control of paretic step width, which leads to an increase in variability.","There isn't a specific numerical threshold here, but instead it says that this is heightened in comparison to a healthy control group. I would assume 0.06 m or above could indicate a stroke.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6474800/
L,step_width_range,Stroke patients exhibit greater variability in step width control in larger fluctuations between maximum and minimum step width values across strides due to impaired balance control and weakened stability during stance phase.,"There's no specific numerial threshold here, but I would assume above a typical range (so above 0.15 m).",https://pmc.ncbi.nlm.nih.gov/articles/PMC6474800/
L,ankle_distance_asymmetry,"Lower limb motor and sensory deficits are strongly associated with spatial gait asymmetry in stroke patients, with dynamic spasticity of plantarflexors being the main determinant.","There's no specific numerial threshold here, but I would assume a larger value here could indicate a stroke.",https://www.sciencedirect.com/science/article/pii/S0966636225002231
M,cycle_duration_asymmetry,"Stroke patients exhibit temporal gait asymmetry where the paretic limb has shorter single-support time and different cycle duration compared to the non-paretic limb, making this a key diagnostic feature for stroke gait.","There's no specific numerical threshold here, but I would assume a higher value would have a positive correlation with a stroke diagnosis.",https://pubmed.ncbi.nlm.nih.gov/19056272/
M,double_support_duration_mean,Stroke patients have prolonged double support duration compared to healthy controls due to impaired balance control and needing more time with both feet on the ground for stability during gait.,"There's no specific threshold here, but I would assume 0.30 s or greater could indicate stroke.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6474800/
M,stance_duration_mean,Patients exhibit reduced stance duration on the paretic limb compared to non-paretic limb due to weaker weight-bearing capacity and impaired stability during the stance phase of gait.,"There's no specific threshold here, but I would assume that 0.70 s or higher could indicate stroke.",https://pubmed.ncbi.nlm.nih.gov/19056272/
M,swing_duration_mean,"Patients show reduced swing duration on the paretic limb due to impaired leg clearance and weaker hip flexors, resulting in shorter swing phase and increased risk of foot drop during gait.","There's no specific threshold here, but I would assume that 0.30 s or lower could indicate stroke.",https://pubmed.ncbi.nlm.nih.gov/19056272/
M,phase_asymmetry,Patients exhibit phase asymmetry where the timing relationship between stance and swing phases differs between the paretic limb and the nonparetic limb due to impaired motor control and coordination during gait.,"There's no specific threshold here, but I would assume that a higher value could indicate stroke.",https://www.sciencedirect.com/science/article/abs/pii/S0966636218316205
H,overall_symmetry_index,"Stroke patients often show increased overall left-right asymmetry in gait compared to healthy controls, making this feature useful in capturing global hemiparetic impairment when walking.","There's no specific threshold here, but I would assume that a higher value could indicate stroke.",https://www.sciencedirect.com/science/article/abs/pii/S096663622500815X
H,positional_symmetry_score,"Stroke patients frequently exhibit unilateral positional abnormalities such as arm drift or facial droop, so a lower positional symmetry score can capture these signs.","There's no specific threshold here, but I would assume that a higher value could indicate stroke.",https://www.sciencedirect.com/science/article/abs/pii/S0966636209006493
H,movement_symmetry_score,"After a stroke, patients typically display asymmetric movement patterns such as a reduced range of motion or altered joint trajectories on the paretic side.","There's no specific threshold here, but I would assume that a higher value could indicate stroke.",https://www.aimspress.com/aimspress-data/mbe/2023/6/PDF/mbe-20-06-465.pdf
H,temporal_symmetry_score,"Stroke patients commonly walk with temporal asymmetry, such as different step or stride times betwen paretic and nonparetic limbs.","There's no specific threshold here, but I would assume that a higher value could indicate stroke.",https://www.sciencedirect.com/science/article/abs/pii/S096663622500815X
,,,,
,"All of the following features I've included because I assume they're useful for calculations and standardization across different videos, but they probably won't contribute directly to a diagnosis. (I assume that Alex and Theodore can choose how to use these)",,,
,sequence_length,,,
,duration_seconds,,,
,dominant_frequency,,,
,fps,,,
,walking_speed_pixels_per_sec,,,
,estimated_stride_length_pixels,,,
,,,,
,NOT-RELEVANT FEATURES,,,
,left_knee_mean,"Although the mean angle of joints can be a useful diagnostic tool, they are most useful when being used to consider asymetry, which is another feature included here. So, these features of mean angle by themselves would not be as helpful when diagnosing a stroke.",,
,right_knee_mean,"Although the mean angle of joints can be a useful diagnostic tool, they are most useful when being used to consider asymetry, which is another feature included here. So, these features of mean angle by themselves would not be as helpful when diagnosing a stroke.",,
,left_hip_mean,"Although the mean angle of joints can be a useful diagnostic tool, they are most useful when being used to consider asymetry, which is another feature included here. So, these features of mean angle by themselves would not be as helpful when diagnosing a stroke.",,
,right_hip_mean,"Although the mean angle of joints can be a useful diagnostic tool, they are most useful when being used to consider asymetry, which is another feature included here. So, these features of mean angle by themselves would not be as helpful when diagnosing a stroke.",,
,left_ankle_mean,"Although the mean angle of joints can be a useful diagnostic tool, they are most useful when being used to consider asymetry, which is another feature included here. So, these features of mean angle by themselves would not be as helpful when diagnosing a stroke.",,
,right_ankle_mean,"Although the mean angle of joints can be a useful diagnostic tool, they are most useful when being used to consider asymetry, which is another feature included here. So, these features of mean angle by themselves would not be as helpful when diagnosing a stroke.",,
,velocity_max,"The max/min features are kind of redundant with the velocity mean and velocity std features, which also tell us much more about continuous movement and overall gait patterns, rather than one snapshot of one moment.",,
,velocity_min,"The max/min features are kind of redundant with the velocity mean and velocity std features, which also tell us much more about continuous movement and overall gait patterns, rather than one snapshot of one moment.",,
,acceleration_mean,"Again, acceleration on its own might tell us something, but it overlaps quite a bit with the velocity mean and std features, and so it could become redundant.",,
,acceleration_std,"Again, acceleration on its own might tell us something, but it overlaps quite a bit with the velocity mean and std features, and so it could become redundant.",,
,acceleration_max,"Again, acceleration on its own might tell us something, but it overlaps quite a bit with the velocity mean and std features, and so it could become redundant.",,
,jerk_std,"There's not a ton of correlation with the variability of jerk and a stroke patient specifically, so this is not the most useful tool for diagnosis.",,
,stride_velocity_cv,"Although there is variation within velocity in stroke patients, this particular feature is redundant with the velocity_mean feature, as it doesn't tell us more about the patient's gait that we didn't already know.",,
,left_hip_std,"Tracking variability between strides in joint angles is not the best way to diagnose a stroke, since we have more specific features that have more correlation to specific symtpoms.",,
,right_hip_std ,"Tracking variability between strides in joint angles is not the best way to diagnose a stroke, since we have more specific features that have more correlation to specific symtpoms.",,
,left_knee_std,"Tracking variability between strides in joint angles is not the best way to diagnose a stroke, since we have more specific features that have more correlation to specific symtpoms.",,
,right_knee_std,"Tracking variability between strides in joint angles is not the best way to diagnose a stroke, since we have more specific features that have more correlation to specific symtpoms.",,
,left_ankle_std,"Tracking variability between strides in joint angles is not the best way to diagnose a stroke, since we have more specific features that have more correlation to specific symtpoms.",,
,right_ankle_std,"Tracking variability between strides in joint angles is not the best way to diagnose a stroke, since we have more specific features that have more correlation to specific symtpoms.",,
,left_ankle_total_distance,"These measurements are very similar to the step/stride length metrics, and so on their own they are redunant as features. Especially if we just include ankle distance asymmetry (which is the only thing that ankle distance is needed for).",,
,right_ankle_total_distance,"These measurements are very similar to the step/stride length metrics, and so on their own they are redunant as features. Especially if we just include ankle distance asymmetry (which is the only thing that ankle distance is needed for).",,
,shoulder_symmetry_index,"Asymmetry can be useful to track, but upper body asymmetry is not typically a primary diagnostic feature for a stroke, so these features might not be super useful.",,
,elbow_symmetry_index,"Asymmetry can be useful to track, but upper body asymmetry is not typically a primary diagnostic feature for a stroke, so these features might not be super useful.",,
,wrist_symmetry_index ,"Asymmetry can be useful to track, but upper body asymmetry is not typically a primary diagnostic feature for a stroke, so these features might not be super useful.",,
,hip_symmetry_index,"Symmetry is a useful thing to track, but we already have hip knee and ankle si, and so these features seem redundant if they are tracking the same thing.",,
,knee_symmetry_index,"Symmetry is a useful thing to track, but we already have hip knee and ankle si, and so these features seem redundant if they are tracking the same thing.",,
,ankle_symmetry_index,"Symmetry is a useful thing to track, but we already have hip knee and ankle si, and so these features seem redundant if they are tracking the same thing.",,
,cycle_count,"This feature seems redundant, because we already have a lot of information about stance and swing time that give us temporal information that this feature would have given us.",,
,left_cycle_duration_mean,"This feature seems redundant, because we already have a lot of information about stance and swing time that give us temporal information that this feature would have given us.",,
,right_cycle_duration_mean,"This feature seems redundant, because we already have a lot of information about stance and swing time that give us temporal information that this feature would have given us.",,
