condition,sequence_id,video_id,joint_valid_fraction_00,joint_valid_fraction_01,joint_valid_fraction_02,joint_valid_fraction_03,joint_valid_fraction_04,joint_valid_fraction_05,joint_valid_fraction_06,joint_valid_fraction_07,joint_valid_fraction_08,joint_valid_fraction_09,joint_valid_fraction_10,joint_valid_fraction_11,joint_valid_fraction_12,joint_valid_fraction_13,joint_valid_fraction_14,joint_valid_fraction_15,joint_valid_fraction_16,joint_valid_fraction_17,joint_valid_fraction_18,joint_valid_fraction_19,joint_valid_fraction_20,joint_valid_fraction_21,joint_valid_fraction_22,joint_valid_fraction_23,joint_valid_fraction_24,joint_valid_fraction_25,joint_valid_fraction_26,joint_valid_fraction_27,joint_valid_fraction_28,joint_valid_fraction_29,joint_valid_fraction_30,joint_valid_fraction_31,joint_valid_fraction_32,frame_valid_fraction_00,frame_valid_fraction_01,frame_valid_fraction_02,frame_valid_fraction_03,frame_valid_fraction_04,frame_valid_fraction_05,frame_valid_fraction_06,frame_valid_fraction_07,frame_valid_fraction_08,frame_valid_fraction_09,frame_valid_fraction_10,frame_valid_fraction_11,frame_valid_fraction_12,frame_valid_fraction_13,frame_valid_fraction_14,frame_valid_fraction_15,frame_valid_fraction_16,frame_valid_fraction_17,frame_valid_fraction_18,frame_valid_fraction_19,frame_valid_fraction_20,frame_valid_fraction_21,frame_valid_fraction_22,frame_valid_fraction_23,frame_valid_fraction_24,frame_valid_fraction_25,frame_valid_fraction_26,frame_valid_fraction_27,frame_valid_fraction_28,frame_valid_fraction_29,frame_valid_fraction_30,frame_valid_fraction_31,frame_valid_fraction_32,frame_valid_fraction_33,frame_valid_fraction_34,frame_valid_fraction_35,frame_valid_fraction_36,frame_valid_fraction_37,frame_valid_fraction_38,frame_valid_fraction_39,frame_valid_fraction_40,frame_valid_fraction_41,frame_valid_fraction_42,frame_valid_fraction_43,frame_valid_fraction_44,frame_valid_fraction_45,frame_valid_fraction_46,frame_valid_fraction_47,frame_valid_fraction_48,frame_valid_fraction_49,frame_valid_fraction_50,frame_valid_fraction_51,frame_valid_fraction_52,frame_valid_fraction_53,frame_valid_fraction_54,frame_valid_fraction_55,frame_valid_fraction_56,frame_valid_fraction_57,frame_valid_fraction_58,frame_valid_fraction_59,frame_valid_fraction_60,frame_valid_fraction_61,frame_valid_fraction_62,frame_valid_fraction_63
normal,cljo39ok9002h3n6ldr0w5sey,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.921875,1.0,0.953125,1.0,0.96875,1.0,1.0,1.0,0.75757575,0.75757575,0.7878788,0.8181818,0.8181818,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849
normal,cljo3b2dy002l3n6l270vpzp8,3KnFt8bH3tE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849,0.8484849
parkinsons,cljan9b4p00043n6ligceanyp,B5hrxKe2nP8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0625,1.0,0.703125,1.0,1.0,1.0,1.0,1.0,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.8181818,0.7878788,0.7878788,0.7878788,0.8181818,0.8181818,0.8181818,0.8181818,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.7878788,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8484849,0.8484849,0.8484849,0.8484849,0.8181818,0.8181818,0.8181818
parkinsons,cljanb45y00083n6lmh1qhydd,B5hrxKe2nP8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.125,1.0,0.96875,1.0,1.0,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.8181818,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.75757575,0.75757575,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788
parkinsons,cljnyzwbo00043n6lugyldlhu,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parkinsons,cljnz3l34000c3n6ldapq560j,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parkinsons,cljnz4e8u000g3n6l1luikppo,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parkinsons,cljnz4y5a000k3n6lkv4b1rjn,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.796875,1.0,0.546875,1.0,0.515625,1.0,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93939394,0.90909094,0.90909094,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.90909094,0.93939394,0.969697,0.969697,0.969697,0.969697,0.969697,0.90909094,0.90909094,0.90909094,0.90909094,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.90909094
parkinsons,cljnz5sb1000o3n6lntosswwz,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parkinsons,cljnz6vg1000s3n6lxxknbe72,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
parkinsons,cljnz7jnj000w3n6lku3pfvtm,_Wn9oYGpRdM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stroke,cljo8c0sw005w3n6l9ulr2eg2,5gpoegYv1hs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.953125,0.796875,0.046875,0.4375,0.046875,0.375,0.046875,0.21875,0.046875,1.0,1.0,0.890625,0.984375,0.921875,1.0,1.0,1.0,0.828125,0.96875,0.7878788,0.8484849,0.8787879,0.8787879,0.8787879,0.8787879,0.8787879,0.8484849,0.7878788,0.7878788,0.7878788,0.75757575,0.75757575,0.7878788,0.7878788,0.7878788,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.75757575,0.7878788,0.7878788,0.8787879,0.7878788,0.7878788,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.72727275,0.8181818,0.8181818,0.8181818,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.8484849,0.8484849,0.7878788,0.7878788,0.7878788,0.7878788,0.7878788,0.8484849,0.8484849,0.8787879,0.8787879,0.8787879,1.0,1.0,1.0
stroke,cljo8cyv500603n6lyl148tmg,5gpoegYv1hs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
