video_id,evidence
HHFuTpVvRCI,exposure-0.csv
Ha9LKXZfWBQ,exposure-0.csv;exposure-1.csv
IdAdpZaTWjU,exposure-1.csv
IuEeKzqsfmk,exposure-1.csv
JD1AGVpftps,exposure-1.csv
KnvYRnTA3XQ,exposure-1.csv
L26I5sHvleg,exposure-1.csv
LIF-guVFEt0,exposure-1.csv
M-_cogKwXK4,exposure-1.csv
MN4vnaNwIsA,exposure-0.csv;exposure-1.csv
PAeh4qBwsUk,exposure-1.csv
R8LRCiTvUz8,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
RMdC8Pa3VbU,exposure-1.csv
RTov2oYJfyo,exposure-0.csv
Rk7vzPpvQ_E,exposure-0.csv
Rx21leooiqQ,exposure-0.csv;exposure-1.csv
Rz7V1i8kYGU,exposure-1.csv
SiYe89_WaTQ,exposure-1.csv
T8NGOdOMtZ4,exposure-0.csv
TgkxrrhnvlM,exposure-0.csv
USurcA3YKDY,exposure-1.csv
Uj89KJwLYOY,exposure-1.csv
Ul-s2LkWzEk,exposure-0.csv
VL0AOiZt_lg,exposure-1.csv
VrgGp38yJhg,exposure-0.csv
WpARylM4UYU,exposure-1.csv
XT_laviJR7U,exposure-0.csv
Z_SEzAFi6-s,exposure-1.csv
_-Ubl8iD2B0,exposure-1.csv
_Wn9oYGpRdM,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
_cJ8RK8-Emw,exposure-0.csv
aasbbfv7hN0,exposure-0.csv
aqUuTLh6pHk,exposure-1.csv
b0KrA_96Ks0,exposure-1.csv
b7VSPvw4FvE,exposure-0.csv
bmi1hYOnTHs,exposure-1.csv
cWujgb8jHNE,exposure-1.csv
dXAvAA556gE,exposure-1.csv
dc7cnLxbpKU,exposure-1.csv
diCVwltkV5M,exposure-0.csv;exposure-1.csv
dvfeYnWVD08,exposure-1.csv
eBvzFkcvScg,exposure-1.csv
eCCYhDSDlDc,exposure-0.csv;exposure-1.csv
f8h2nkV0R8A,exposure-1.csv
fTfkU1gJLO4,exposure-0.csv
fbY4O04uunE,exposure-1.csv
gBvMHns6N90,exposure-0.csv
gp4H7Z2Vvn0,exposure-1.csv
hGNKzkCF4J8,exposure-1.csv
hSIYGZhRGd4,exposure-0.csv;exposure-1.csv
hhRODJNUZik,exposure-0.csv
idpMyfZB8NY,exposure-1.csv
jzJIpY6vRLo,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
kA40kglSmYw,exposure-1.csv
kqoUzTyn_k4,exposure-1.csv
krm2Fm26S54,exposure-0.csv
lkr-EBeDC3I,exposure-0.csv;exposure-1.csv
mBAxLr73IHU,exposure-1.csv
mLOHf044vaM,exposure-0.csv
mu00TaRG7VU,exposure-1.csv
n-O8dHyYIF0,exposure-1.csv
nXuJIs25z1U,exposure-0.csv;exposure-1.csv
nrUHUl1fn4I,exposure-1.csv
pFLC9C-xH8E,exposure-1.csv
pu5Vwf1CBO0,exposure-0.csv
qVfnxAlL6d0,exposure-1.csv
rP3Mxhi4Uio,exposure-0.csv
rWKYDfklSkE,exposure-1.csv
rySW_DzPVCw,exposure-0.csv
sChOLBghpAc,exposure-1.csv
saCnKfp0pL0,exposure-1.csv
sk0EU7MNt78,exposure-1.csv
sp89jxy3vp8,exposure-1.csv
t1IkEAkBSz4,exposure-1.csv
tUT8Fh1zGKA,exposure-1.csv
t_-37DIMeG0,exposure-1.csv
ucZdenbi65k,exposure-1.csv
v1SoZ_S31pk,exposure-0.csv;exposure-1.csv
vUM4OwTQk34,exposure-1.csv
w2fYQyikrts,exposure-0.csv
wRntYsztIEY,exposure-1.csv;exposure-2.csv;exposure-3.csv;exposure-4.csv
w_axFZ8GZms,exposure-0.csv
yIRxcmKJnAY,exposure-0.csv
yk6iSZuuk24,exposure-1.csv
zJ6PFxJrGf8,exposure-1.csv
