sequence_id,video_id,cohort,bbox_source,neurologic_observed_fraction
aug-JD1AGVpftps-w00,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.9752604166666666
aug-JD1AGVpftps-w01,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.9140625
aug-JD1AGVpftps-w02,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.9557291666666666
aug-JD1AGVpftps-w03,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.9609375
aug-JD1AGVpftps-w04,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.9557291666666666
aug-JD1AGVpftps-w05,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.8033854166666666
aug-JD1AGVpftps-w06,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,0.9166666666666666
aug-JD1AGVpftps-w07,JD1AGVpftps,augmented_normal,mediapipe_pose_auto,1.0
aug-MN4vnaNwIsA-w00,MN4vnaNwIsA,augmented_normal,mediapipe_pose_auto,0.9830729166666666
aug-MN4vnaNwIsA-w01,MN4vnaNwIsA,augmented_normal,mediapipe_pose_auto,1.0
aug-MN4vnaNwIsA-w02,MN4vnaNwIsA,augmented_normal,mediapipe_pose_auto,1.0
aug-MN4vnaNwIsA-w03,MN4vnaNwIsA,augmented_normal,mediapipe_pose_auto,0.953125
aug-MN4vnaNwIsA-w04,MN4vnaNwIsA,augmented_normal,mediapipe_pose_auto,0.5677083333333334
aug-PAeh4qBwsUk-w00,PAeh4qBwsUk,augmented_normal,mediapipe_pose_auto,1.0
aug-VL0AOiZt_lg-w00,VL0AOiZt_lg,augmented_normal,mediapipe_pose_auto,1.0
aug-VL0AOiZt_lg-w01,VL0AOiZt_lg,augmented_normal,mediapipe_pose_auto,1.0
aug-WpARylM4UYU-w00,WpARylM4UYU,augmented_normal,mediapipe_pose_auto,1.0
aug-WpARylM4UYU-w01,WpARylM4UYU,augmented_normal,mediapipe_pose_auto,1.0
aug-WpARylM4UYU-w02,WpARylM4UYU,augmented_normal,mediapipe_pose_auto,1.0
aug-WpARylM4UYU-w03,WpARylM4UYU,augmented_normal,mediapipe_pose_auto,1.0
aug-WpARylM4UYU-w04,WpARylM4UYU,augmented_normal,mediapipe_pose_auto,1.0
aug-_-Ubl8iD2B0-w00,_-Ubl8iD2B0,augmented_normal,mediapipe_pose_auto,1.0
aug-diCVwltkV5M-w00,diCVwltkV5M,augmented_normal,mediapipe_pose_auto,0.9114583333333334
aug-eCCYhDSDlDc-w00,eCCYhDSDlDc,augmented_normal,mediapipe_pose_auto,1.0
aug-eCCYhDSDlDc-w01,eCCYhDSDlDc,augmented_normal,mediapipe_pose_auto,1.0
aug-eCCYhDSDlDc-w02,eCCYhDSDlDc,augmented_normal,mediapipe_pose_auto,1.0
aug-gp4H7Z2Vvn0_clip-01-w00,gp4H7Z2Vvn0,augmented_normal,mediapipe_pose_auto,0.9544270833333334
aug-gp4H7Z2Vvn0_clip-02-w00,gp4H7Z2Vvn0,augmented_normal,mediapipe_pose_auto,1.0
aug-gp4H7Z2Vvn0_clip-02-w01,gp4H7Z2Vvn0,augmented_normal,mediapipe_pose_auto,0.9895833333333334
aug-gp4H7Z2Vvn0_clip-02-w02,gp4H7Z2Vvn0,augmented_normal,mediapipe_pose_auto,0.9908854166666666
aug-gp4H7Z2Vvn0_clip-02-w03,gp4H7Z2Vvn0,augmented_normal,mediapipe_pose_auto,1.0
aug-gp4H7Z2Vvn0_clip-02-w04,gp4H7Z2Vvn0,augmented_normal,mediapipe_pose_auto,1.0
aug-n-O8dHyYIF0-w00,n-O8dHyYIF0,augmented_normal,mediapipe_pose_auto,0.7356770833333334
aug-n-O8dHyYIF0-w01,n-O8dHyYIF0,augmented_normal,mediapipe_pose_auto,0.8502604166666666
aug-n-O8dHyYIF0-w02,n-O8dHyYIF0,augmented_normal,mediapipe_pose_auto,0.9908854166666666
aug-n-O8dHyYIF0-w03,n-O8dHyYIF0,augmented_normal,mediapipe_pose_auto,0.9934895833333334
aug-n-O8dHyYIF0-w04,n-O8dHyYIF0,augmented_normal,mediapipe_pose_auto,0.99609375
aug-nXuJIs25z1U_clip-01-w00,nXuJIs25z1U,augmented_normal,mediapipe_pose_auto,1.0
aug-nXuJIs25z1U_clip-01-w01,nXuJIs25z1U,augmented_normal,mediapipe_pose_auto,1.0
aug-nXuJIs25z1U_clip-01-w02,nXuJIs25z1U,augmented_normal,mediapipe_pose_auto,0.9934895833333334
aug-nXuJIs25z1U_clip-02-w00,nXuJIs25z1U,augmented_normal,mediapipe_pose_auto,1.0
aug-nXuJIs25z1U_clip-02-w01,nXuJIs25z1U,augmented_normal,mediapipe_pose_auto,0.9986979166666666
aug-nXuJIs25z1U_clip-02-w02,nXuJIs25z1U,augmented_normal,mediapipe_pose_auto,1.0
aug-tUT8Fh1zGKA-w00,tUT8Fh1zGKA,augmented_normal,mediapipe_pose_auto,1.0
aug-tUT8Fh1zGKA-w01,tUT8Fh1zGKA,augmented_normal,mediapipe_pose_auto,1.0
aug-tUT8Fh1zGKA-w02,tUT8Fh1zGKA,augmented_normal,mediapipe_pose_auto,1.0
