sequence_id,clip_id,youtube_video_id,frames,pose_frame_coverage,neuro_observed,fps,path,status
aug-EHymg4AGMJs_clip-02-w04,EHymg4AGMJs_clip-02,EHymg4AGMJs,41,1.0,1.0,24.937008078551575,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-02-w04.npz,extracted
aug-FTHc-TJOQ34-w00,FTHc-TJOQ34,FTHc-TJOQ34,100,1.0,1.0,29.95758502932796,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-FTHc-TJOQ34-w00.npz,extracted
aug-FTHc-TJOQ34-w01,FTHc-TJOQ34,FTHc-TJOQ34,100,1.0,1.0,29.95758502932796,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-FTHc-TJOQ34-w01.npz,extracted
aug-FTHc-TJOQ34-w02,FTHc-TJOQ34,FTHc-TJOQ34,78,1.0,1.0,29.95758502932796,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-FTHc-TJOQ34-w02.npz,extracted
aug-JD1AGVpftps-w00,JD1AGVpftps,JD1AGVpftps,40,1.0,0.97,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w00.npz,extracted
aug-JD1AGVpftps-w01,JD1AGVpftps,JD1AGVpftps,40,1.0,0.9075,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w01.npz,extracted
aug-JD1AGVpftps-w02,JD1AGVpftps,JD1AGVpftps,40,1.0,0.9475,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w02.npz,extracted
aug-JD1AGVpftps-w03,JD1AGVpftps,JD1AGVpftps,40,1.0,0.9525,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w03.npz,extracted
aug-JD1AGVpftps-w04,JD1AGVpftps,JD1AGVpftps,40,1.0,0.9475,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w04.npz,extracted
aug-JD1AGVpftps-w05,JD1AGVpftps,JD1AGVpftps,40,1.0,0.82,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w05.npz,extracted
aug-JD1AGVpftps-w06,JD1AGVpftps,JD1AGVpftps,40,1.0,0.9,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w06.npz,extracted
aug-JD1AGVpftps-w07,JD1AGVpftps,JD1AGVpftps,38,1.0,1.0,29.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-JD1AGVpftps-w07.npz,extracted
aug-MN4vnaNwIsA-w00,MN4vnaNwIsA,MN4vnaNwIsA,64,1.0,0.9796875,29.900294369005792,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-MN4vnaNwIsA-w00.npz,extracted
aug-MN4vnaNwIsA-w01,MN4vnaNwIsA,MN4vnaNwIsA,64,1.0,1.0,29.900294369005792,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-MN4vnaNwIsA-w01.npz,extracted
aug-MN4vnaNwIsA-w02,MN4vnaNwIsA,MN4vnaNwIsA,64,1.0,1.0,29.900294369005792,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-MN4vnaNwIsA-w02.npz,extracted
aug-MN4vnaNwIsA-w03,MN4vnaNwIsA,MN4vnaNwIsA,64,0.953125,0.953125,29.900294369005792,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-MN4vnaNwIsA-w03.npz,extracted
aug-MN4vnaNwIsA-w04,MN4vnaNwIsA,MN4vnaNwIsA,64,0.578125,0.56875,29.900294369005792,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-MN4vnaNwIsA-w04.npz,extracted
aug-MN4vnaNwIsA-w05,MN4vnaNwIsA,MN4vnaNwIsA,44,0.13636363636363635,0.02727272727272727,29.900294369005792,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-MN4vnaNwIsA-w05.npz,extracted
aug-PAeh4qBwsUk-w00,PAeh4qBwsUk,PAeh4qBwsUk,96,1.0,1.0,23.75582926007939,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-PAeh4qBwsUk-w00.npz,extracted
aug-VL0AOiZt_lg-w00,VL0AOiZt_lg,VL0AOiZt_lg,68,1.0,1.0,29.45520077630424,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-VL0AOiZt_lg-w00.npz,extracted
aug-VL0AOiZt_lg-w01,VL0AOiZt_lg,VL0AOiZt_lg,46,1.0,1.0,29.45520077630424,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-VL0AOiZt_lg-w01.npz,extracted
aug-WpARylM4UYU-w00,WpARylM4UYU,WpARylM4UYU,60,1.0,1.0,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-WpARylM4UYU-w00.npz,extracted
aug-WpARylM4UYU-w01,WpARylM4UYU,WpARylM4UYU,60,1.0,1.0,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-WpARylM4UYU-w01.npz,extracted
aug-WpARylM4UYU-w02,WpARylM4UYU,WpARylM4UYU,60,1.0,1.0,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-WpARylM4UYU-w02.npz,extracted
aug-WpARylM4UYU-w03,WpARylM4UYU,WpARylM4UYU,60,1.0,1.0,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-WpARylM4UYU-w03.npz,extracted
aug-WpARylM4UYU-w04,WpARylM4UYU,WpARylM4UYU,48,1.0,1.0,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-WpARylM4UYU-w04.npz,extracted
aug-_-Ubl8iD2B0-w00,_-Ubl8iD2B0,_-Ubl8iD2B0,171,1.0,1.0,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-_-Ubl8iD2B0-w00.npz,extracted
aug-diCVwltkV5M-w00,diCVwltkV5M,diCVwltkV5M,176,0.9431818181818182,0.9420454545454545,15.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-diCVwltkV5M-w00.npz,extracted
aug-eCCYhDSDlDc-w00,eCCYhDSDlDc,eCCYhDSDlDc,84,1.0,1.0,29.817237871400007,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-eCCYhDSDlDc-w00.npz,extracted
aug-eCCYhDSDlDc-w01,eCCYhDSDlDc,eCCYhDSDlDc,84,1.0,1.0,29.817237871400007,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-eCCYhDSDlDc-w01.npz,extracted
aug-eCCYhDSDlDc-w02,eCCYhDSDlDc,eCCYhDSDlDc,52,1.0,1.0,29.817237871400007,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-eCCYhDSDlDc-w02.npz,extracted
aug-gp4H7Z2Vvn0_clip-01-w00,gp4H7Z2Vvn0_clip-01,gp4H7Z2Vvn0,57,1.0,0.9438596491228071,29.97002997002997,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-gp4H7Z2Vvn0_clip-01-w00.npz,extracted
aug-gp4H7Z2Vvn0_clip-02-w00,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,124,1.0,1.0,29.787931788369043,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-gp4H7Z2Vvn0_clip-02-w00.npz,extracted
aug-gp4H7Z2Vvn0_clip-02-w01,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,124,1.0,0.992741935483871,29.787931788369043,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-gp4H7Z2Vvn0_clip-02-w01.npz,extracted
aug-gp4H7Z2Vvn0_clip-02-w02,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,124,1.0,0.9951612903225806,29.787931788369043,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-gp4H7Z2Vvn0_clip-02-w02.npz,extracted
aug-gp4H7Z2Vvn0_clip-02-w03,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,124,1.0,1.0,29.787931788369043,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-gp4H7Z2Vvn0_clip-02-w03.npz,extracted
aug-gp4H7Z2Vvn0_clip-02-w04,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,79,1.0,1.0,29.787931788369043,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-gp4H7Z2Vvn0_clip-02-w04.npz,extracted
aug-n-O8dHyYIF0-w00,n-O8dHyYIF0,n-O8dHyYIF0,120,1.0,0.8158333333333333,29.908744342545756,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-n-O8dHyYIF0-w00.npz,extracted
aug-n-O8dHyYIF0-w01,n-O8dHyYIF0,n-O8dHyYIF0,120,1.0,0.9116666666666666,29.908744342545756,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-n-O8dHyYIF0-w01.npz,extracted
aug-n-O8dHyYIF0-w02,n-O8dHyYIF0,n-O8dHyYIF0,120,1.0,1.0,29.908744342545756,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-n-O8dHyYIF0-w02.npz,extracted
aug-n-O8dHyYIF0-w03,n-O8dHyYIF0,n-O8dHyYIF0,120,1.0,1.0,29.908744342545756,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-n-O8dHyYIF0-w03.npz,extracted
aug-n-O8dHyYIF0-w04,n-O8dHyYIF0,n-O8dHyYIF0,111,1.0,0.9954954954954955,29.908744342545756,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-n-O8dHyYIF0-w04.npz,extracted
aug-nXuJIs25z1U_clip-01-w00,nXuJIs25z1U_clip-01,nXuJIs25z1U,104,1.0,1.0,29.930402798312358,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-nXuJIs25z1U_clip-01-w00.npz,extracted
aug-nXuJIs25z1U_clip-01-w01,nXuJIs25z1U_clip-01,nXuJIs25z1U,104,1.0,1.0,29.930402798312358,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-nXuJIs25z1U_clip-01-w01.npz,extracted
aug-nXuJIs25z1U_clip-01-w02,nXuJIs25z1U_clip-01,nXuJIs25z1U,61,1.0,0.9983606557377049,29.930402798312358,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-nXuJIs25z1U_clip-01-w02.npz,extracted
aug-nXuJIs25z1U_clip-02-w00,nXuJIs25z1U_clip-02,nXuJIs25z1U,116,1.0,1.0,29.84220423514022,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-nXuJIs25z1U_clip-02-w00.npz,extracted
aug-nXuJIs25z1U_clip-02-w01,nXuJIs25z1U_clip-02,nXuJIs25z1U,116,1.0,1.0,29.84220423514022,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-nXuJIs25z1U_clip-02-w01.npz,extracted
aug-nXuJIs25z1U_clip-02-w02,nXuJIs25z1U_clip-02,nXuJIs25z1U,87,1.0,1.0,29.84220423514022,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-nXuJIs25z1U_clip-02-w02.npz,extracted
aug-tUT8Fh1zGKA-w00,tUT8Fh1zGKA,tUT8Fh1zGKA,56,1.0,1.0,24.89073721095901,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-tUT8Fh1zGKA-w00.npz,extracted
aug-tUT8Fh1zGKA-w01,tUT8Fh1zGKA,tUT8Fh1zGKA,56,1.0,1.0,24.89073721095901,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-tUT8Fh1zGKA-w01.npz,extracted
aug-tUT8Fh1zGKA-w02,tUT8Fh1zGKA,tUT8Fh1zGKA,44,1.0,1.0,24.89073721095901,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-tUT8Fh1zGKA-w02.npz,extracted
