sequence_id,video_id,url,first_frame,last_frame,n_annotated_frames,source_height,dataset_annotation,gait_pattern_annotation,cam_view
cljaommx0001m3n6lfb2cuqgv,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,350,463,114,360,Abnormal Gait,abnormal,front
cljaonfdz001q3n6l4qtxtuut,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,842,945,104,360,Abnormal Gait,abnormal,back
cljaoo2cn001u3n6lf7xqjrze,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,1312,1399,88,360,Abnormal Gait,abnormal,front
cljaop6jn00203n6lk46gbf4c,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,1477,1574,98,360,Abnormal Gait,abnormal,back
cljaoq8tp00243n6lav1phi0c,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,1615,1726,112,360,Abnormal Gait,abnormal,front
cljaoshr200283n6lp3zsekp0,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,1785,1875,91,360,Abnormal Gait,abnormal,back
cljaot782002c3n6liew6rbtf,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,1926,2021,96,360,Abnormal Gait,abnormal,front
cljaotzi6002g3n6ljofm5j6d,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,2104,2202,99,360,Abnormal Gait,abnormal,back
cljaouueo002k3n6l57zl7081,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,2248,2352,105,360,Abnormal Gait,abnormal,front
cljaovpji002o3n6lgugwrc6j,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,2424,2528,105,360,Abnormal Gait,abnormal,back
cljaowoxy002s3n6lm5b9d3pg,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,2571,2667,97,360,Abnormal Gait,abnormal,front
cljaox711002w3n6lwjtc0qb3,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,2754,2862,109,360,Abnormal Gait,abnormal,back
cljaoxl8100303n6ll1waw5n0,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,2901,3000,100,360,Abnormal Gait,abnormal,front
cljaoxzmr00343n6lfoaxldb1,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3083,3183,101,360,Abnormal Gait,abnormal,back
cljaoyfcy00383n6lmftrl6rf,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3226,3342,117,360,Abnormal Gait,abnormal,front
cljaoyz1c003c3n6l84cbjwg9,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3395,3506,112,360,Abnormal Gait,abnormal,back
cljaozfe5003g3n6lc5wkcomq,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3549,3653,105,360,Abnormal Gait,abnormal,front
cljaozwlh003k3n6lzk9rxqbs,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3709,3807,99,360,Abnormal Gait,abnormal,back
cljap0c1m003o3n6lgmq5uhwn,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3855,3937,83,360,Abnormal Gait,abnormal,back
cljap0sgs003s3n6lkyvcdzkd,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,3994,4084,91,360,Abnormal Gait,abnormal,back
cljap1efc003z3n6l5ghozcy9,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,4129,4228,100,360,Abnormal Gait,abnormal,front
cljap2na700433n6lwob4q16g,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,4271,4395,125,360,Abnormal Gait,abnormal,back
cljap357k00473n6lpfwcjp1e,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,4437,4565,129,360,Abnormal Gait,abnormal,front
cljap3krs004b3n6ldjwuf1cm,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,4604,4685,82,360,Abnormal Gait,abnormal,back
cljap4083004f3n6ldx98aixq,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,4725,4820,96,360,Abnormal Gait,abnormal,front
cljap4p9j004j3n6lj39g6r9m,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,4891,4960,70,360,Abnormal Gait,abnormal,back
cljap548n004n3n6l909fckn8,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,5002,5082,81,360,Abnormal Gait,abnormal,front
cljap5o8u004r3n6llsoy3aww,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,5191,5224,34,360,Abnormal Gait,abnormal,back
cljap626d004v3n6ldyysleyr,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,5269,5307,39,360,Abnormal Gait,abnormal,front
cljapao5600503n6lhrbr4zii,0gAHlm79Bjo,https://www.youtube.com/watch?v=0gAHlm79Bjo,1,306,306,720,Abnormal Gait,abnormal,left side
cljapbtwe00543n6lsdbwbhhi,0gAHlm79Bjo,https://www.youtube.com/watch?v=0gAHlm79Bjo,367,659,293,720,Abnormal Gait,abnormal,right side
cljapdtb500593n6leoif0c32,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,122,339,218,720,Abnormal Gait,style,front
cljapf2uw005d3n6lyasg3pn2,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,665,831,167,720,Abnormal Gait,style,back
cljapfx0p005h3n6lkhemkjqe,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,942,1114,173,720,Abnormal Gait,style,front
cljapgo97005l3n6lbcz5g88s,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,1396,1544,149,720,Abnormal Gait,style,back
cljaphipu005p3n6lde8gqkl7,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,1651,1834,184,720,Abnormal Gait,style,front
cljapigcs005t3n6lrszkuyo2,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,2161,2342,182,720,Abnormal Gait,style,back
cljapjdrt005x3n6lpw9b8d9p,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,2460,2661,202,720,Abnormal Gait,style,front
cljapkbp500613n6lnp0i73x0,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,2951,3125,175,720,Abnormal Gait,style,back
cljapl0g800653n6lqbg2u3dy,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,3241,3413,173,720,Abnormal Gait,style,front
cljaplu8s00693n6ln0wqsmw9,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,3723,3920,198,720,Abnormal Gait,style,back
cljapmoo4006d3n6lxdm4mgtx,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,3976,4130,155,720,Abnormal Gait,style,front
cljapndqf006h3n6l7e4lfgab,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,4364,4478,115,720,Abnormal Gait,style,back
cljapo4ik006l3n6lut25j34h,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,4561,4808,248,720,Abnormal Gait,style,front
cljapowv3006p3n6l5y18z6yd,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,4975,5195,221,720,Abnormal Gait,style,back
cljappm1f006t3n6luyx9fn7x,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,5311,5444,134,720,Abnormal Gait,style,front
cljapq6hu006x3n6lhv8a2sxi,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,5638,5728,91,720,Abnormal Gait,style,back
cljapra6y00713n6l1pnc2dcp,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,5851,5987,137,720,Abnormal Gait,style,front
cljapshca00753n6lx3zxny7g,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,6150,6249,100,720,Abnormal Gait,style,back
cljaptbhz00793n6lttmx1m9q,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,6361,6704,344,720,Abnormal Gait,style,front
cljapufzd007d3n6la5hnnij9,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,7021,7360,340,720,Abnormal Gait,style,back
cljapveob007h3n6lzxwbwq40,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,7471,7678,208,720,Abnormal Gait,style,front
cljapw5z9007o3n6lx3gdpodt,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,7941,8151,211,720,Abnormal Gait,style,back
cljapx1to007s3n6l6fnneyz7,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,8250,8537,288,720,Abnormal Gait,style,front
cljapxthz007w3n6l8asb771a,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,8866,9142,277,720,Abnormal Gait,style,back
cljapynp700803n6ln0u4afvp,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,9241,9420,180,720,Abnormal Gait,style,front
cljapzqjr00843n6l6u65dfzi,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,9628,9752,125,720,Abnormal Gait,style,back
cljaq0nri00883n6l3raldiuo,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,9871,10080,210,720,Abnormal Gait,style,front
cljaq18rc008c3n6l6c3135e0,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,10292,10435,144,720,Abnormal Gait,style,back
cljaq23dz008g3n6lwkqgwsuc,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,10561,10821,261,720,Abnormal Gait,style,front
cljaq2u1q008k3n6llu4yrcwl,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,11012,11163,152,720,Abnormal Gait,style,back
cljaq400n008o3n6ls76k3nvx,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,11428,11617,190,720,Abnormal Gait,style,front
cljaq4pam008s3n6liq2iebvy,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,11795,11961,167,720,Abnormal Gait,style,back
cljaq5p9e008w3n6lpfhus2j4,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,12061,12428,368,720,Abnormal Gait,style,front
cljaq6l3400903n6l2dpbfyqp,jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84,12645,12963,319,720,Abnormal Gait,style,back
cljaqc7jf00943n6l9cmdtsmn,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,1,260,260,720,Abnormal Gait,abnormal,right side
cljaqdekt00983n6ldn9m222j,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,390,690,301,720,Abnormal Gait,abnormal,left side
cljaqdzxw009c3n6lo9tgpswu,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,761,1798,1038,720,Abnormal Gait,abnormal,right side
cljaqfh2m009g3n6l1e9tgem1,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,2304,3472,1169,720,Abnormal Gait,abnormal,left side
cljaqgysf009k3n6ll9eqg231,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,3865,4092,228,720,Abnormal Gait,abnormal,front
cljaqi14m009o3n6lutscti5j,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,4204,4432,229,720,Abnormal Gait,abnormal,back
cljaqjnck009t3n6l3yakz4ot,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,4635,5576,942,720,Abnormal Gait,abnormal,front
cljaqky9x009x3n6l7nrltuyb,pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0,6010,6898,889,720,Abnormal Gait,abnormal,back
cljaqocwq00a23n6lj8kgw100,N9tJ7I4ls6I,https://www.youtube.com/watch?v=N9tJ7I4ls6I,1,329,329,720,Abnormal Gait,abnormal,front
cljaqpie200a63n6li84amx32,N9tJ7I4ls6I,https://www.youtube.com/watch?v=N9tJ7I4ls6I,429,772,344,720,Abnormal Gait,abnormal,back
cljaqqdar00aa3n6lblt5iei7,N9tJ7I4ls6I,https://www.youtube.com/watch?v=N9tJ7I4ls6I,792,1900,1109,720,Abnormal Gait,abnormal,front
cljaqrnsq00ae3n6lo53132n5,N9tJ7I4ls6I,https://www.youtube.com/watch?v=N9tJ7I4ls6I,1937,3162,1226,720,Abnormal Gait,abnormal,back
cljaqunj200aj3n6lm8st67pq,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,103,242,140,720,Abnormal Gait,abnormal,right side
cljaqvpdp00an3n6ld9oqnejn,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,273,432,160,720,Abnormal Gait,abnormal,left side
cljaqwk3x00ar3n6l1dok7jvh,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,492,663,172,720,Abnormal Gait,abnormal,right side
cljaqxf7400av3n6lk29hlkyg,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,704,793,90,720,Abnormal Gait,abnormal,left side
cljaqyc4800az3n6l3qio6zbh,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,810,975,166,720,Abnormal Gait,abnormal,right side
cljaqz2zx00b33n6lrn4zn4tq,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,1015,1218,204,720,Abnormal Gait,abnormal,left side
cljaqzzus00b73n6lkximasu4,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,1254,1446,193,720,Abnormal Gait,abnormal,right side
cljar11t100bb3n6ls0aq85hr,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,1589,1665,77,720,Abnormal Gait,abnormal,right side
cljar1lys00bf3n6lnn8jrx8y,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,1699,1871,173,720,Abnormal Gait,abnormal,left side
cljar2lr200bj3n6lnesaud88,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,1906,2091,186,720,Abnormal Gait,abnormal,right side
cljar4zkz00br3n6lp76etiwf,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,2457,2561,105,720,Abnormal Gait,abnormal,back
cljar5lo000bv3n6l8s10hc7v,Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE,2609,2684,76,720,Abnormal Gait,abnormal,front
cljar878f00c03n6ly2v2ay88,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,1,194,194,720,Abnormal Gait,cerebral palsy,right side
cljar9bqo00c43n6l2u5zmlru,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,234,428,195,720,Abnormal Gait,cerebral palsy,left side
cljar9t8o00c83n6ltculhoct,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,460,1100,641,720,Abnormal Gait,cerebral palsy,right side
cljarar9t00cc3n6lqhi9udoc,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,1246,2009,764,720,Abnormal Gait,cerebral palsy,left side
cljarbn1y00cg3n6l1u4i0d5l,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,2026,2177,152,720,Abnormal Gait,cerebral palsy,front
cljarcfa700ck3n6lfww83ig1,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,2246,2403,158,720,Abnormal Gait,cerebral palsy,back
cljarcy3g00co3n6lzsn1x034,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,2416,3100,685,720,Abnormal Gait,cerebral palsy,front
cljardvzg00cs3n6loetskba6,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,3353,3891,539,720,Abnormal Gait,cerebral palsy,back
cljargosy00cx3n6lm6atozrz,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,119,205,87,720,Abnormal Gait,myopathic,left side
cljarhldg00d13n6l7utw0lqn,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,210,520,311,720,Abnormal Gait,myopathic,right side
cljarj6rf00d53n6ljtivf4q7,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,726,948,223,720,Abnormal Gait,myopathic,right side
cljarkax200d93n6lukx52g1t,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,983,1224,242,720,Abnormal Gait,myopathic,right side
cljarlbch00dd3n6l9jaubrxq,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,1226,1348,123,720,Abnormal Gait,myopathic,right side
cljarmcm700dh3n6lxw24hxgx,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,1350,1508,159,720,Abnormal Gait,myopathic,left side
cljarn9oy00dl3n6l8pg9exfg,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,1585,1692,108,720,Abnormal Gait,myopathic,right side
cljaroguw00dp3n6lhfddiadu,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,1767,1956,190,720,Abnormal Gait,myopathic,right side
cljarp08600dt3n6lxa7sysiv,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,1964,2101,138,720,Abnormal Gait,myopathic,left side
cljarpts600dx3n6l98zqf6yn,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,2143,2280,138,720,Abnormal Gait,myopathic,right side
cljarqtuz00e13n6lrnox6mfs,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,2510,2648,139,720,Abnormal Gait,myopathic,right side
cljartjkn00e63n6lh194w640,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,1,206,206,720,Abnormal Gait,abnormal,right side
cljaruc8p00ea3n6lpgcgdo3d,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,251,421,171,720,Abnormal Gait,abnormal,left side
cljaruue100ee3n6l6kv3vv1h,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,452,932,481,720,Abnormal Gait,abnormal,right side
cljarvh1700ei3n6lkjjreiz2,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,960,1459,500,720,Abnormal Gait,abnormal,left side
cljarw4ip00em3n6lp4xcmkcb,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,1471,1655,185,720,Abnormal Gait,abnormal,front
cljarwu6700eq3n6lq9mk9ef7,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,1722,1894,173,720,Abnormal Gait,abnormal,back
cljarxal900eu3n6lsm38n1ra,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,1916,2332,417,720,Abnormal Gait,abnormal,front
cljary1c800ey3n6lak8hjn7d,0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA,2364,2859,496,720,Abnormal Gait,abnormal,right side
cljas04fw00f33n6lm5cvx9g6,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,1,147,147,720,Abnormal Gait,cerebral palsy,front
cljas134500f73n6lkfbjfayp,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,156,234,79,720,Abnormal Gait,cerebral palsy,right side
cljas1yfs00fb3n6lna38ui6i,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,438,783,346,720,Abnormal Gait,cerebral palsy,front
cljas2sou00ff3n6lasppj8h2,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,952,1323,372,720,Abnormal Gait,cerebral palsy,front
cljas4dqj00fj3n6ldw6wiwpy,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,1365,1681,317,720,Abnormal Gait,cerebral palsy,right side
cljas5esv00fn3n6lewd5xqdl,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,1700,1986,287,720,Abnormal Gait,cerebral palsy,right side
cljas6das00fr3n6lhlqzyhq2,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,2204,2319,116,720,Abnormal Gait,cerebral palsy,right side
cljas71p600fv3n6lk1rzl7y5,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,2421,2974,554,720,Abnormal Gait,cerebral palsy,front
cljawb5nf00043n6l38chxsod,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,1,202,202,720,Abnormal Gait,myopathic,front
cljawd01m00093n6l4kx9020l,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,383,465,83,720,Abnormal Gait,myopathic,back
cljawdoej000d3n6ll5ysj34f,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,538,677,140,720,Abnormal Gait,myopathic,front
cljawf4e4000h3n6lri4oz9uy,4SZ0b9rjLtw,https://www.youtube.com/watch?v=4SZ0b9rjLtw,1181,1368,188,320,Abnormal Gait,antalgic,left side
cljawh4c7000m3n6lkz9es9bl,4SZ0b9rjLtw,https://www.youtube.com/watch?v=4SZ0b9rjLtw,1470,1614,145,320,Abnormal Gait,antalgic,right side
cljawkh09000r3n6lmz56x0qk,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,1,184,184,720,Abnormal Gait,abnormal,right side
cljawlkt0000v3n6lo2s8a5rl,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,234,446,213,720,Abnormal Gait,abnormal,left side
cljawm39e000z3n6lqdpem506,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,470,946,477,720,Abnormal Gait,abnormal,right side
cljawmt3400133n6lp41x9vvn,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,976,1524,549,720,Abnormal Gait,abnormal,left side
cljawo31o00173n6lk7goqxm1,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,1529,1690,162,720,Abnormal Gait,abnormal,front
cljawov3k001b3n6li7bmdm12,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,1762,1901,140,720,Abnormal Gait,abnormal,back
cljawpjqr001f3n6lop4rdnzm,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,1921,2377,457,720,Abnormal Gait,abnormal,front
cljawqrbd001j3n6lqufhfuet,uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k,2402,2827,426,720,Abnormal Gait,abnormal,back
cljawsyn6001o3n6l6z20teaj,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,1,449,449,720,Abnormal Gait,abnormal,right side
cljawu5xd001s3n6lejw8p0uv,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,551,879,329,720,Abnormal Gait,abnormal,left side
cljawurcg001w3n6lbuefy26i,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,902,2079,1178,720,Abnormal Gait,abnormal,right side
cljawvm5k00203n6lpalr2ose,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,2106,3206,1101,720,Abnormal Gait,abnormal,left side
cljawx5x200243n6lr7umgyvq,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,3215,3564,350,720,Abnormal Gait,abnormal,front
cljawy3jy00283n6l7xw1p3ab,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,3673,3924,252,720,Abnormal Gait,abnormal,back
cljawymwi002c3n6l9mbrouqu,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,3956,4980,1025,720,Abnormal Gait,abnormal,front
cljawzxb5002g3n6ladcuzi1g,IV_IsstW-gA,https://www.youtube.com/watch?v=IV_IsstW-gA,5007,5888,882,720,Abnormal Gait,abnormal,back
cljax24er002l3n6l0dnxpdh8,SxlhJQ4_PMY,https://www.youtube.com/watch?v=SxlhJQ4_PMY,1,216,216,720,Abnormal Gait,exercise,left side
cljax40az002t3n6lwspyczks,SxlhJQ4_PMY,https://www.youtube.com/watch?v=SxlhJQ4_PMY,306,603,298,720,Abnormal Gait,exercise,left side
cljax5by5002x3n6la1cd2oel,SxlhJQ4_PMY,https://www.youtube.com/watch?v=SxlhJQ4_PMY,676,943,268,720,Abnormal Gait,exercise,left side
cljax80ln00323n6lqpmv3bw3,hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo,251,618,368,350,Abnormal Gait,abnormal,right side
cljax9d2p00363n6lx043s1m7,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,147,286,140,720,Abnormal Gait,myopathic,back
cljaxabfg003a3n6l95mrlcry,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,333,457,125,720,Abnormal Gait,myopathic,front
cljaxb5y2003e3n6lj1j9qvav,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,785,912,128,720,Abnormal Gait,myopathic,back
cljaxbq22003i3n6lmzka93uq,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,954,1108,155,720,Abnormal Gait,myopathic,front
cljaycatw00113n6lai3dpr03,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,518,626,109,360,Abnormal Gait,abnormal,back
cljayepal00153n6lh4i9j3c8,5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU,663,774,112,360,Abnormal Gait,abnormal,front
