condition,video_id,url,required_last_frame,source_height,status,path,error,format_id,format_note,download_fps,download_width,download_height,ok,fps,frames,reaches_annotation,size_mb
myopathic,idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY,2058,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/idpMyfZB8NY.mp4,,134,360p,30.0,640,360,True,29.97002997002997,2058,True,3.393002
myopathic,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,1154,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/jzJIpY6vRLo.mp4,,136,720p,30.0,1280,720,True,30.0,1299,True,8.049331
myopathic,kqoUzTyn_k4,https://www.youtube.com/watch?v=kqoUzTyn_k4,723,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/kqoUzTyn_k4.mp4,,135,480p,30.0,854,480,True,29.97002997002997,1013,True,4.150366
myopathic,lkr-EBeDC3I,https://www.youtube.com/watch?v=lkr-EBeDC3I,646,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/lkr-EBeDC3I.mp4,,134,360p,30.0,640,360,True,29.97002997002997,761,True,0.527723
myopathic,nrUHUl1fn4I,https://www.youtube.com/watch?v=nrUHUl1fn4I,447,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/nrUHUl1fn4I.mp4,,135,240p,25.0,270,480,True,25.0,447,True,0.768269
myopathic,qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0,1337,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/qVfnxAlL6d0.mp4,,134,360p,30.0,640,360,True,29.97002997002997,1565,True,1.689614
myopathic,saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0,1316,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/saCnKfp0pL0.mp4,,134,360p,30.0,640,360,True,29.97002997002997,2807,True,5.571747
myopathic,t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0,2655,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/t_-37DIMeG0.mp4,,135,480p,30.0,854,480,True,29.97002997002997,2656,True,11.630595
myopathic,zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8,5051,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/myopathic/zJ6PFxJrGf8.mp4,,134,360p,30.0,640,360,True,30.0,6621,True,9.150185
normal,-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg,1647,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/-0wbleNgAwg.mp4,,134,360p,30.0,640,360,True,30.0,1647,True,2.264522
normal,2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA,274,264,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/2LbERGI34lA.mp4,,133,240p,30.0,426,240,True,29.97,65391,True,71.126841
normal,3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY,940,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/3FXUw98rrUY.mp4,,135,480p,24.0,854,480,True,23.976023976023978,1093,True,5.173401
normal,3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE,16302,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/3KnFt8bH3tE.mp4,,135,480p,30.0,658,480,True,29.97002997002997,16345,True,19.08003
normal,4KU6G7Iv8ZM,https://www.youtube.com/watch?v=4KU6G7Iv8ZM,1783,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/4KU6G7Iv8ZM.mp4,,135,480p,30.0,854,480,True,29.97002997002997,2739,True,6.302725
normal,DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk,165,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/DfRhvdCiUJk.mp4,,135,240p,30.0,270,480,True,30.0,201,True,0.288051
normal,EHx08gSNfxQ,https://www.youtube.com/watch?v=EHx08gSNfxQ,7964,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/EHx08gSNfxQ.mp4,,134,360p,25.0,640,360,True,25.0,9697,True,15.563093
normal,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,5994,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/EHymg4AGMJs.mp4,,134,360p,25.0,640,360,True,25.0,6779,True,4.52209
normal,FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,7399,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/FTHc-TJOQ34.mp4,,134,360p,30.0,640,360,True,30.0,10990,True,13.939329
normal,JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps,4082,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/JD1AGVpftps.mp4,,135,480p,29.0,654,480,True,29.0,4632,True,8.876279
normal,KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ,17970,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/KnvYRnTA3XQ.mp4,,135,480p,30.0,854,480,True,30.0,18444,True,82.778993
normal,MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA,15731,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/MN4vnaNwIsA.mp4,,135,480p,30.0,640,480,True,30.0,19346,True,23.028499
normal,PAeh4qBwsUk,https://www.youtube.com/watch?v=PAeh4qBwsUk,514,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/PAeh4qBwsUk.mp4,,134,360p,24.0,640,360,True,23.976023976023978,1023,True,1.805975
normal,RMdC8Pa3VbU,https://www.youtube.com/watch?v=RMdC8Pa3VbU,2712,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/RMdC8Pa3VbU.mp4,,134,360p,30.0,640,360,True,29.97002997002997,3413,True,3.50475
normal,VL0AOiZt_lg,https://www.youtube.com/watch?v=VL0AOiZt_lg,1108,854,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/VL0AOiZt_lg.mp4,,135,480p,30.0,480,854,True,30.0,1349,True,3.646542
normal,WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,169,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/WpARylM4UYU.mp4,,133,240p,30.0,240,426,True,29.97002997002997,169,True,0.173277
normal,_-Ubl8iD2B0,https://www.youtube.com/watch?v=_-Ubl8iD2B0,171,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/_-Ubl8iD2B0.mp4,,133,240p,30.0,240,426,True,29.97002997002997,172,True,0.176323
normal,aqUuTLh6pHk,https://www.youtube.com/watch?v=aqUuTLh6pHk,3818,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/aqUuTLh6pHk.mp4,,135,480p,25.0,854,480,True,25.0,6248,True,6.312898
normal,diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,2264,240,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/diCVwltkV5M.mp4,,134,240p,15.0,320,240,True,15.0,2293,True,2.017194
normal,eCCYhDSDlDc,https://www.youtube.com/watch?v=eCCYhDSDlDc,1014,854,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/eCCYhDSDlDc.mp4,,135,480p,30.0,480,854,True,29.97002997002997,1466,True,2.217458
normal,gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,4748,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/gp4H7Z2Vvn0.mp4,,135,480p,30.0,640,480,True,29.97002997002997,6654,True,17.968138
normal,hGNKzkCF4J8,https://www.youtube.com/watch?v=hGNKzkCF4J8,1442,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/hGNKzkCF4J8.mp4,,94,,30.0,854,480,True,29.97002997002997,1442,True,7.602948
normal,hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4,17220,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/hSIYGZhRGd4.mp4,,134,360p,30.0,640,360,True,29.97002997002997,17864,True,37.033381
normal,mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU,575,320,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/mBAxLr73IHU.mp4,,134,360p,24.0,568,320,True,24.0,930,True,1.093005
normal,n-O8dHyYIF0,https://www.youtube.com/watch?v=n-O8dHyYIF0,2669,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/n-O8dHyYIF0.mp4,,134,360p,30.0,640,360,True,29.97002997002997,3869,True,1.874228
normal,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,6602,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/nXuJIs25z1U.mp4,,134,360p,30.0,640,360,True,29.97002997002997,8201,True,9.373497
normal,sk0EU7MNt78,https://www.youtube.com/watch?v=sk0EU7MNt78,112,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/sk0EU7MNt78.mp4,,135,240p,30.0,270,480,True,30.0,132,True,0.203216
normal,tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,696,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/tUT8Fh1zGKA.mp4,,134,360p,25.0,640,360,True,25.0,947,True,0.53747
normal,ucZdenbi65k,https://www.youtube.com/watch?v=ucZdenbi65k,3293,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/ucZdenbi65k.mp4,,134,360p,30.0,640,360,True,29.97,3636,True,3.60121
normal,vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34,1985,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/normal/vUM4OwTQk34.mp4,,134,360p,30.0,640,360,True,29.97002997002997,2065,True,4.159399
parkinsons,-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws,750,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/-oJM2wUUjws.mp4,,135,480p,30.0,854,480,True,29.97002997002997,1007,True,3.470975
parkinsons,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,2746,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/B5hrxKe2nP8.mp4,,136,720p,30.0,1280,720,True,30.0,6176,True,9.046805
parkinsons,M-_cogKwXK4,https://www.youtube.com/watch?v=M-_cogKwXK4,7563,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/M-_cogKwXK4.mp4,,135,480p,24.0,640,480,True,23.976023976023978,8096,True,12.169744
parkinsons,_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM,1886,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/_Wn9oYGpRdM.mp4,,134,360p,30.0,482,360,True,29.97002997002997,4040,True,4.142348
parkinsons,b0KrA_96Ks0,https://www.youtube.com/watch?v=b0KrA_96Ks0,983,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/b0KrA_96Ks0.mp4,,135,480p,25.0,854,480,True,25.0,985,True,3.042093
parkinsons,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,6521,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/bmi1hYOnTHs.mp4,,135,480p,24.0,854,480,True,23.976023976023978,8963,True,30.970128
parkinsons,pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E,1997,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/pFLC9C-xH8E.mp4,,135,480p,25.0,854,480,True,25.0,3675,True,8.873585
parkinsons,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,5530,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/t1IkEAkBSz4.mp4,,135,480p,30.0,644,480,True,30.0,6768,True,9.981005
parkinsons,v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk,414,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/parkinsons/v1SoZ_S31pk.mp4,,136,720p,24.0,1280,720,True,23.976023976023978,440,True,1.182143
stroke,5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs,4332,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/5gpoegYv1hs.mp4,,134,360p,24.0,640,360,True,23.976023976023978,4473,True,6.047957
stroke,8mTHlAIdea0,https://www.youtube.com/watch?v=8mTHlAIdea0,1979,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/8mTHlAIdea0.mp4,,134,360p,30.0,480,360,True,29.97002997002997,2875,True,4.452589
stroke,9VzOTO0nV8U,https://www.youtube.com/watch?v=9VzOTO0nV8U,166,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/9VzOTO0nV8U.mp4,,134,360p,30.0,640,360,True,29.97,628,True,1.467592
stroke,B4rOTkTPbMI,https://www.youtube.com/watch?v=B4rOTkTPbMI,388,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/B4rOTkTPbMI.mp4,,135,480p,30.0,480,480,True,30.0,388,True,0.711672
stroke,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,2140,270,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/CMls0LwK5OU.mp4,,160,144p,30.0,256,144,True,29.97002997002997,2259,True,1.049329
stroke,Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8,7194,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/Exqj0M000S8.mp4,,134,360p,30.0,640,360,True,29.97002997002997,7456,True,17.658052
stroke,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,12808,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/FpXbeLZWFSw.mp4,,134,360p,30.0,640,360,True,29.97002997002997,13224,True,21.099715
stroke,USurcA3YKDY,https://www.youtube.com/watch?v=USurcA3YKDY,3390,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/USurcA3YKDY.mp4,,134,360p,30.0,540,360,True,30.0,3448,True,2.087248
stroke,Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s,548,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/Z_SEzAFi6-s.mp4,,134,360p,25.0,640,360,True,25.0,1144,True,1.451639
stroke,dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU,570,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/dc7cnLxbpKU.mp4,,135,480p,30.0,854,480,True,29.97002997002997,570,True,1.542108
stroke,dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08,700,720,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/dvfeYnWVD08.mp4,,136,720p,30.0,1280,720,True,29.97002997002997,1250,True,10.291619
stroke,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,569,204,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/eBvzFkcvScg.mp4,,133,240p,10.0,304,204,True,10.0,623,True,1.23875
stroke,fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE,7755,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/fbY4O04uunE.mp4,,134,360p,30.0,640,360,True,30.0,8063,True,5.763368
stroke,kA40kglSmYw,https://www.youtube.com/watch?v=kA40kglSmYw,4275,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/kA40kglSmYw.mp4,,134,360p,25.0,640,360,True,25.0,6688,True,10.05506
stroke,mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU,927,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/mu00TaRG7VU.mp4,,135,240p,30.0,272,480,True,29.97002997002997,2166,True,3.060318
stroke,sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc,6483,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/sChOLBghpAc.mp4,,135,480p,24.0,854,480,True,24.0,7538,True,21.360755
stroke,sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8,804,360,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/sp89jxy3vp8.mp4,,134,360p,25.0,640,360,True,25.0,1155,True,1.861983
stroke,yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24,4966,480,cached,/Users/pmui/dev/alexpose/experiments/sjepa/gavd5-drift/work/youtube/stroke/yk6iSZuuk24.mp4,,135,480p,25.0,854,480,True,25.0,5971,True,15.402094
