method,split,seed,extractor,evidence_status,metric,value,endpoint,scale_policy,condition,rank
initialized,development,17,vitpose_base,automated-source-screen,visible_nle,0.02218000220415389,all_valid_synthetic,frame_reference,all_conditions,6.0
joint_affine,development,17,hrnet_w32,automated-source-screen,visible_nle,0.018051315012351264,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_affine,development,17,rtmpose_m,automated-source-screen,visible_nle,0.015659485304176993,all_valid_synthetic,frame_reference,all_conditions,7.0
joint_affine,development,17,vitpose_base,automated-source-screen,visible_nle,0.021752800045343586,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_offset,development,17,hrnet_w32,automated-source-screen,visible_nle,0.01844904209940795,all_valid_synthetic,frame_reference,all_conditions,9.0
joint_offset,development,17,rtmpose_m,automated-source-screen,visible_nle,0.01594146763395868,all_valid_synthetic,frame_reference,all_conditions,9.0
joint_offset,development,17,vitpose_base,automated-source-screen,visible_nle,0.02225893362437551,all_valid_synthetic,frame_reference,all_conditions,8.0
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.018213242880485727,all_valid_synthetic,frame_reference,all_conditions,5.0
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.015442755081100486,all_valid_synthetic,frame_reference,all_conditions,3.0
ordinary_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.02231771743210042,all_valid_synthetic,frame_reference,all_conditions,9.0
paired_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.018229830720387245,all_valid_synthetic,frame_reference,all_conditions,6.0
paired_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.015521050310712343,all_valid_synthetic,frame_reference,all_conditions,5.0
paired_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.022163032601611593,all_valid_synthetic,frame_reference,all_conditions,5.0
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,visible_nle,0.018237927885901343,all_valid_synthetic,frame_reference,all_conditions,7.0
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,visible_nle,0.015526023671890793,all_valid_synthetic,frame_reference,all_conditions,6.0
shuffled_jepa,development,17,vitpose_base,automated-source-screen,visible_nle,0.022187590242218752,all_valid_synthetic,frame_reference,all_conditions,7.0
smoothnet,development,17,hrnet_w32,automated-source-screen,visible_nle,0.02034762953120558,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,rtmpose_m,automated-source-screen,visible_nle,0.017993390795846546,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,vitpose_base,automated-source-screen,visible_nle,0.024055042255241237,all_valid_synthetic,frame_reference,all_conditions,10.0
static,development,17,hrnet_w32,automated-source-screen,visible_nle,0.017290896455266717,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,rtmpose_m,automated-source-screen,visible_nle,0.014399386058471466,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,vitpose_base,automated-source-screen,visible_nle,0.020406305697880576,all_valid_synthetic,frame_reference,all_conditions,2.0
unchanged,development,17,hrnet_w32,automated-source-screen,visible_nle,0.027026008530172833,all_valid_synthetic,frame_reference,all_conditions,13.0
unchanged,development,17,rtmpose_m,automated-source-screen,visible_nle,0.02449121918591506,all_valid_synthetic,frame_reference,all_conditions,14.0
unchanged,development,17,vitpose_base,automated-source-screen,visible_nle,0.03062217719140553,all_valid_synthetic,frame_reference,all_conditions,13.0
coordinate,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.025429140718718928,all_valid_synthetic,frame_reference,all_conditions,3.0
coordinate,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.02071003668508973,all_valid_synthetic,frame_reference,all_conditions,4.0
coordinate,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.0298589401956241,all_valid_synthetic,frame_reference,all_conditions,3.0
direct,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.021870174678219143,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.018613616502520143,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.025202390326613696,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.035219715432187444,all_valid_synthetic,frame_reference,all_conditions,13.0
filter0,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.030907389457833716,all_valid_synthetic,frame_reference,all_conditions,13.0
filter0,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.03952010829614955,all_valid_synthetic,frame_reference,all_conditions,13.0
filter1,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.03472953083116659,all_valid_synthetic,frame_reference,all_conditions,12.0
filter1,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.030799774536729583,all_valid_synthetic,frame_reference,all_conditions,11.0
filter1,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.03933422172136925,all_valid_synthetic,frame_reference,all_conditions,12.0
filter2,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.034632660127398816,all_valid_synthetic,frame_reference,all_conditions,11.0
filter2,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.030820057563614736,all_valid_synthetic,frame_reference,all_conditions,12.0
filter2,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.039320242527738296,all_valid_synthetic,frame_reference,all_conditions,11.0
initialized,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.026114522100268833,all_valid_synthetic,frame_reference,all_conditions,8.0
initialized,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.02136040937853566,all_valid_synthetic,frame_reference,all_conditions,8.0
initialized,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.030895674970290547,all_valid_synthetic,frame_reference,all_conditions,5.0
joint_affine,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.02581444686432252,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_affine,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.021259401850467693,all_valid_synthetic,frame_reference,all_conditions,7.0
joint_affine,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.030390182981125967,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_offset,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.026538088179067436,all_valid_synthetic,frame_reference,all_conditions,9.0
joint_offset,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.021775031266186164,all_valid_synthetic,frame_reference,all_conditions,9.0
joint_offset,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.03133568002705285,all_valid_synthetic,frame_reference,all_conditions,9.0
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.025922322120409416,all_valid_synthetic,frame_reference,all_conditions,5.0
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.020675683681991876,all_valid_synthetic,frame_reference,all_conditions,3.0
ordinary_jepa,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.03118786456945485,all_valid_synthetic,frame_reference,all_conditions,7.0
paired_jepa,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.02605575317578086,all_valid_synthetic,frame_reference,all_conditions,6.0
paired_jepa,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.020855254892466167,all_valid_synthetic,frame_reference,all_conditions,5.0
paired_jepa,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.03115942078611732,all_valid_synthetic,frame_reference,all_conditions,6.0
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.0260871798139585,all_valid_synthetic,frame_reference,all_conditions,7.0
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.020880896447147034,all_valid_synthetic,frame_reference,all_conditions,6.0
shuffled_jepa,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.031219793720656405,all_valid_synthetic,frame_reference,all_conditions,8.0
smoothnet,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.02957453285962323,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.024967026264972988,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.034268924847854036,all_valid_synthetic,frame_reference,all_conditions,10.0
static,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.02442171205929886,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.019158597721804158,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.027717004731999464,all_valid_synthetic,frame_reference,all_conditions,2.0
unchanged,development,17,hrnet_w32,automated-source-screen,lower_limb_nle,0.035219715432187444,all_valid_synthetic,frame_reference,all_conditions,13.0
unchanged,development,17,rtmpose_m,automated-source-screen,lower_limb_nle,0.03091799022510338,all_valid_synthetic,frame_reference,all_conditions,14.0
unchanged,development,17,vitpose_base,automated-source-screen,lower_limb_nle,0.03952010829614955,all_valid_synthetic,frame_reference,all_conditions,13.0
coordinate,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
coordinate,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
coordinate,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter1,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter1,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter1,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter2,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter2,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
filter2,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
initialized,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
initialized,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
initialized,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
joint_affine,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
joint_affine,development,17,rtmpose_m,automated-source-screen,missing_rate,1.0172526041666407e-05,all_valid_synthetic,frame_reference,all_conditions,12.0
joint_affine,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
joint_offset,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
joint_offset,development,17,rtmpose_m,automated-source-screen,missing_rate,1.0172526041666407e-05,all_valid_synthetic,frame_reference,all_conditions,12.0
joint_offset,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
ordinary_jepa,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
paired_jepa,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
paired_jepa,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
paired_jepa,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
shuffled_jepa,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
smoothnet,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
smoothnet,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
smoothnet,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
static,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
static,development,17,rtmpose_m,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
static,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
unchanged,development,17,hrnet_w32,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
unchanged,development,17,rtmpose_m,automated-source-screen,missing_rate,1.0172526041666407e-05,all_valid_synthetic,frame_reference,all_conditions,12.0
unchanged,development,17,vitpose_base,automated-source-screen,missing_rate,0.0,all_valid_synthetic,frame_reference,all_conditions,1.0
coordinate,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014651880485733952,all_valid_synthetic,frame_reference,all_conditions,6.0
coordinate,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012009413948395548,all_valid_synthetic,frame_reference,all_conditions,6.0
coordinate,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013537580782647357,all_valid_synthetic,frame_reference,all_conditions,6.0
direct,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.012970432857095265,all_valid_synthetic,frame_reference,all_conditions,2.0
direct,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.010621759829347342,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,vitpose_base,automated-source-screen,displacement_nle,0.011849456786727604,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.01477679584252471,all_valid_synthetic,frame_reference,all_conditions,12.0
filter0,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.01214934089535168,all_valid_synthetic,frame_reference,all_conditions,11.0
filter0,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013684521208526564,all_valid_synthetic,frame_reference,all_conditions,8.0
filter1,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.013165408060532147,all_valid_synthetic,frame_reference,all_conditions,3.0
filter1,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.01177500501848402,all_valid_synthetic,frame_reference,all_conditions,4.0
filter1,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013100554980936818,all_valid_synthetic,frame_reference,all_conditions,4.0
filter2,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.012574960336810541,all_valid_synthetic,frame_reference,all_conditions,1.0
filter2,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.011731740335827516,all_valid_synthetic,frame_reference,all_conditions,3.0
filter2,development,17,vitpose_base,automated-source-screen,displacement_nle,0.012892861891688827,all_valid_synthetic,frame_reference,all_conditions,3.0
initialized,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014754893403560076,all_valid_synthetic,frame_reference,all_conditions,11.0
initialized,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012045895441499078,all_valid_synthetic,frame_reference,all_conditions,10.0
initialized,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013734562864069533,all_valid_synthetic,frame_reference,all_conditions,13.0
joint_affine,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014401650220781865,all_valid_synthetic,frame_reference,all_conditions,5.0
joint_affine,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.0120241761101855,all_valid_synthetic,frame_reference,all_conditions,7.0
joint_affine,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013334676433532467,all_valid_synthetic,frame_reference,all_conditions,5.0
joint_offset,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014776795867619711,all_valid_synthetic,frame_reference,all_conditions,14.0
joint_offset,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012164951680753485,all_valid_synthetic,frame_reference,all_conditions,13.0
joint_offset,development,17,vitpose_base,automated-source-screen,displacement_nle,0.0136845211803068,all_valid_synthetic,frame_reference,all_conditions,7.0
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014735513668852854,all_valid_synthetic,frame_reference,all_conditions,8.0
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.01198301316422306,all_valid_synthetic,frame_reference,all_conditions,5.0
ordinary_jepa,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013770967282594629,all_valid_synthetic,frame_reference,all_conditions,14.0
paired_jepa,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014732297782812273,all_valid_synthetic,frame_reference,all_conditions,7.0
paired_jepa,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012031212365372395,all_valid_synthetic,frame_reference,all_conditions,8.0
paired_jepa,development,17,vitpose_base,automated-source-screen,displacement_nle,0.0136944408022037,all_valid_synthetic,frame_reference,all_conditions,10.0
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014736482667581666,all_valid_synthetic,frame_reference,all_conditions,9.0
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012039256092440321,all_valid_synthetic,frame_reference,all_conditions,9.0
shuffled_jepa,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013700983380511645,all_valid_synthetic,frame_reference,all_conditions,11.0
smoothnet,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.014751488134887076,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012152703644362092,all_valid_synthetic,frame_reference,all_conditions,12.0
smoothnet,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013707808611418588,all_valid_synthetic,frame_reference,all_conditions,12.0
static,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.013934685735296841,all_valid_synthetic,frame_reference,all_conditions,4.0
static,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.011269449155625466,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,vitpose_base,automated-source-screen,displacement_nle,0.012749433747501624,all_valid_synthetic,frame_reference,all_conditions,2.0
unchanged,development,17,hrnet_w32,automated-source-screen,displacement_nle,0.01477679584252471,all_valid_synthetic,frame_reference,all_conditions,12.0
unchanged,development,17,rtmpose_m,automated-source-screen,displacement_nle,0.012164951713655364,all_valid_synthetic,frame_reference,all_conditions,14.0
unchanged,development,17,vitpose_base,automated-source-screen,displacement_nle,0.013684521208526564,all_valid_synthetic,frame_reference,all_conditions,8.0
coordinate,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.016574617172715043,all_valid_synthetic,frame_reference,all_conditions,3.0
coordinate,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.015907562250504565,all_valid_synthetic,frame_reference,all_conditions,3.0
coordinate,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.01744250826606916,all_valid_synthetic,frame_reference,all_conditions,3.0
direct,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.013406684273695343,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.012371387377396799,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.014968496230754552,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.027810033210546193,all_valid_synthetic,frame_reference,all_conditions,13.0
filter0,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.029387403852564865,all_valid_synthetic,frame_reference,all_conditions,13.0
filter0,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.03434203306662099,all_valid_synthetic,frame_reference,all_conditions,13.0
filter1,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.026791127100039815,all_valid_synthetic,frame_reference,all_conditions,12.0
filter1,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.029079785063624724,all_valid_synthetic,frame_reference,all_conditions,12.0
filter1,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.033785253886368646,all_valid_synthetic,frame_reference,all_conditions,12.0
filter2,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.026384258159184135,all_valid_synthetic,frame_reference,all_conditions,11.0
filter2,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.02882866667311698,all_valid_synthetic,frame_reference,all_conditions,11.0
filter2,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.0333940716902332,all_valid_synthetic,frame_reference,all_conditions,11.0
initialized,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.018274921648845217,all_valid_synthetic,frame_reference,all_conditions,7.0
initialized,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.018900889831530595,all_valid_synthetic,frame_reference,all_conditions,6.0
initialized,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.02439696611541296,all_valid_synthetic,frame_reference,all_conditions,6.0
joint_affine,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.016644274007158993,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_affine,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.01722553760886523,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_affine,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.019799814003308373,all_valid_synthetic,frame_reference,all_conditions,4.0
joint_offset,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.02001982221911592,all_valid_synthetic,frame_reference,all_conditions,9.0
joint_offset,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.020975150625875346,all_valid_synthetic,frame_reference,all_conditions,9.0
joint_offset,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.024873851117954458,all_valid_synthetic,frame_reference,all_conditions,8.0
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.01795279641991383,all_valid_synthetic,frame_reference,all_conditions,5.0
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.01847930142024083,all_valid_synthetic,frame_reference,all_conditions,5.0
ordinary_jepa,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.023398386606235312,all_valid_synthetic,frame_reference,all_conditions,5.0
paired_jepa,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.018261766338385273,all_valid_synthetic,frame_reference,all_conditions,6.0
paired_jepa,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.01900455303439659,all_valid_synthetic,frame_reference,all_conditions,7.0
paired_jepa,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.024763695267514395,all_valid_synthetic,frame_reference,all_conditions,7.0
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.018357074793133227,all_valid_synthetic,frame_reference,all_conditions,8.0
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.019151045710402326,all_valid_synthetic,frame_reference,all_conditions,8.0
shuffled_jepa,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.02493342296872262,all_valid_synthetic,frame_reference,all_conditions,9.0
smoothnet,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.02117351704967116,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.021765585631157755,all_valid_synthetic,frame_reference,all_conditions,10.0
smoothnet,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.027283324995788255,all_valid_synthetic,frame_reference,all_conditions,10.0
static,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.014330648147022347,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,rtmpose_m,automated-source-screen,ankle_separation_mae,0.01417407317828354,all_valid_synthetic,frame_reference,all_conditions,2.0
static,development,17,vitpose_base,automated-source-screen,ankle_separation_mae,0.017346612501262158,all_valid_synthetic,frame_reference,all_conditions,2.0
unchanged,development,17,hrnet_w32,automated-source-screen,ankle_separation_mae,0.027810033210546193,all_valid_synthetic,frame_reference,all_conditions,13.0
