method,split,seed,extractor,evidence_status,metric,value,condition
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.02158078891648639,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.016012403090396664,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.014183239131963222,all_conditions
direct,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01897214630786907,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.027026008530172833,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.024485918802280227,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03062217719140553,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.026660942478161826,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.024376783271216253,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.030495582872003907,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.02657907882998349,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.02437326760386423,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03048732606477922,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.01830663633851059,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.015716383201395654,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.02218000220415389,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.018051315012351264,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.015659485304176993,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.021752800045343586,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.01844904209940795,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.01594146763395868,all_conditions
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.02225893362437551,all_conditions
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.018213242880485727,all_conditions
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.015442755081100486,all_conditions
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.02231771743210042,all_conditions
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.018229830720387245,all_conditions
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.015521050310712343,all_conditions
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.022163032601611593,all_conditions
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.018237927885901343,all_conditions
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.015526023671890793,all_conditions
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.022187590242218752,all_conditions
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.02034762953120558,all_conditions
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.017993390795846546,all_conditions
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.024055042255241237,all_conditions
static,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.017290896455266717,all_conditions
static,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.014399386058471466,all_conditions
static,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.020406305697880576,all_conditions
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.027026008530172833,all_conditions
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.02449121918591506,all_conditions
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03062217719140553,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
direct,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
direct,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
direct,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
filter0,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
filter1,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
filter2,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
initialized,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
static,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
static,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
static,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,blur
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,blur
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,blur
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.01153210131132562,blur
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.010633356637371425,blur
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01896794126520718,blur
direct,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.009817946508896884,blur
direct,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.009096405060370013,blur
direct,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01596075490828757,blur
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.020926955455620535,blur
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.019523798059244337,blur
filter0,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.028048835146477685,blur
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.020764676221080733,blur
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.01948301616753008,blur
filter1,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.027955668269116267,blur
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.020798948109276284,blur
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.019543370273236306,blur
filter2,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.02799260061468698,blur
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.01145812408145326,blur
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.01029118550587788,blur
initialized,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01915088367675112,blur
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.011973547781564457,blur
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.010687303968082828,blur
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.019405205462023754,blur
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.011953995615953297,blur
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.010655599329108143,blur
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01962000112328967,blur
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.011387266489686082,blur
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.009972817368030606,blur
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01919312338295108,blur
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.011552977774485612,blur
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.010229399677988657,blur
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.019065722509345802,blur
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.011561192554424128,blur
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.0102396363331611,blur
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.019104320930784322,blur
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.013793519122028478,blur
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.012796882212901015,blur
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.02125356300516217,blur
static,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.010644929205514582,blur
static,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.009345897002387728,blur
static,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.01837244755175653,blur
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.020926955455620535,blur
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.019523798059244337,blur
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.028048835146477685,blur
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.04336623235440579,blur_obstruction
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.037700786174814385,blur_obstruction
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.05236061133797615,blur_obstruction
direct,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.03793774018248511,blur_obstruction
direct,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.03355686651669176,blur_obstruction
direct,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.04364431835128256,blur_obstruction
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.0543844197430901,blur_obstruction
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.04954376442526833,blur_obstruction
filter0,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.0634172732365231,blur_obstruction
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.05373079533556489,blur_obstruction
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.0492562118310641,blur_obstruction
filter1,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.06306059575038944,blur_obstruction
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.05342117122551554,blur_obstruction
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.04908949898050588,blur_obstruction
filter2,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.062862908914086,blur_obstruction
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.04612472231180613,blur_obstruction
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.04039431234188242,blur_obstruction
initialized,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.055524229013756296,blur_obstruction
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.043387762289572154,blur_obstruction
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.03802557177043019,blur_obstruction
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.05268364807560648,blur_obstruction
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.045591159799201635,blur_obstruction
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.04002945121160406,blur_obstruction
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.05545779900532698,blur_obstruction
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.0456672987506882,blur_obstruction
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.0392271066048597,blur_obstruction
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.055891748297427456,blur_obstruction
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.045557417768067585,blur_obstruction
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.03902637841629966,blur_obstruction
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.05544471654523403,blur_obstruction
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.04563905808057916,blur_obstruction
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.03907436968576271,blur_obstruction
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.0555258178632085,blur_obstruction
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.04771112756095394,blur_obstruction
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.04212840089491571,blur_obstruction
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.05688956667504168,blur_obstruction
static,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.04345242163089547,blur_obstruction
static,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.035892909583917866,blur_obstruction
static,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.0482011338528538,blur_obstruction
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,0.0543844197430901,blur_obstruction
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,0.04962857056342565,blur_obstruction
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,0.0634172732365231,blur_obstruction
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.02965985849797118,blur_obstruction
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.026168360820027138,blur_obstruction
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03479685865268529,blur_obstruction
direct,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.027089840973159283,blur_obstruction
direct,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.024091174913765265,blur_obstruction
direct,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03041605734485347,blur_obstruction
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.038916256035166776,blur_obstruction
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.035601015370195756,blur_obstruction
filter0,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.04417425583449452,blur_obstruction
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.03835540315372807,blur_obstruction
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.03531500312143006,blur_obstruction
filter1,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.043970501909167944,blur_obstruction
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.03811304207004893,blur_obstruction
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.03516491133374269,blur_obstruction
filter2,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.043877073843407555,blur_obstruction
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.030760798909633392,blur_obstruction
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.027221562594995134,blur_obstruction
initialized,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03632602666018494,blur_obstruction
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.029539685751638782,blur_obstruction
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.026262172766808888,blur_obstruction
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.035014072886240886,blur_obstruction
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.030511289253540023,blur_obstruction
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.02711031689279137,blur_obstruction
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.036249002562526,blur_obstruction
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.030662537990782154,blur_obstruction
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.026869354575277504,blur_obstruction
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.036616700244733236,blur_obstruction
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.030465299740680248,blur_obstruction
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.02666288492731927,blur_obstruction
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03620179536761896,blur_obstruction
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.03048117824198805,blur_obstruction
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.026675565225422068,blur_obstruction
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.036222537823009354,blur_obstruction
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.03195314282265511,blur_obstruction
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.028552200417513014,blur_obstruction
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.03739119762243556,blur_obstruction
static,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.02928428442123219,blur_obstruction
static,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.024933824855779364,blur_obstruction
static,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.032483716220962945,blur_obstruction
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.038916256035166776,blur_obstruction
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.03562221690473509,blur_obstruction
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.04417425583449452,blur_obstruction
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
direct,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
direct,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
direct,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
filter0,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
filter0,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
filter0,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
filter1,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
filter1,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
filter1,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
filter2,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
filter2,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
filter2,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
initialized,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
initialized,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
initialized,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
joint_affine,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
joint_affine,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
joint_affine,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
joint_offset,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
joint_offset,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
joint_offset,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
ordinary_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
ordinary_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
ordinary_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
paired_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
paired_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
paired_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
shuffled_jepa,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
shuffled_jepa,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
shuffled_jepa,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
smoothnet,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
smoothnet,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
smoothnet,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
static,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
static,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
static,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
unchanged,development,17,hrnet_w32,automated-source-screen,synthetic_occluded_nle,,clean
unchanged,development,17,rtmpose_m,automated-source-screen,synthetic_occluded_nle,,clean
unchanged,development,17,vitpose_base,automated-source-screen,synthetic_occluded_nle,,clean
coordinate,development,17,hrnet_w32,automated-source-screen,synthetic_all_nle,0.008653606702210537,clean
coordinate,development,17,rtmpose_m,automated-source-screen,synthetic_all_nle,0.008407103408739756,clean
coordinate,development,17,vitpose_base,automated-source-screen,synthetic_all_nle,0.009208874990603596,clean
