method,split,seed,extractor,evidence_status,person_id,left_right_nle,endpoint,scale_policy,pair,condition
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.03993979192862951,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.040409900768140716,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.04427094860494546,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.03288943282250661,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.0279203504896634,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.04574568166243052,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.04828522175974784,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.0325928144096513,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.04282068008247978,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.04995875988503314,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.035625657550461896,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.02673642168349165,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.0247316761650766,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.037564251516984254,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.05608658025791288,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.042086750991713225,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.04097891144911079,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.05342994102321332,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.04683735210985613,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.03403376320620628,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.03186586853951308,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.0436992486806386,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.059138303847185374,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.07082334106044778,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.06984136469477902,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.05926633532845457,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.06815802122729078,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.06189767874427776,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.04682165974841,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.06204511217089396,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.05557388161357775,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.06202475304751381,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.07444323323912505,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.07026746293222219,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.07240753307079253,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.05879345849828363,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.046785566369072114,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.06354559710407118,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.06382589583939913,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.07351652690334916,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.07223684314703407,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.07702420521112768,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.0744179504065891,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.06175015195046412,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.04577538732976648,all_valid_synthetic,frame_reference,ankle,all_conditions
filter0,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.06770903946170026,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.058684019642956775,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.06979260536388701,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.06849107626787693,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.05760517857793908,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.06670647037247288,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.0586097827174535,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.046568819863402035,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.06160625638483083,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.05560420053403903,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.06183889147872037,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.0746884400104557,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.06942549945939851,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.0727300516821632,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.05863651786603885,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.046996638606243014,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.06367034134039065,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.062317030616140745,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.07333445067015412,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.07191217959220936,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.07525917692067331,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.07344978087789965,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.06078538686176935,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.045944559281157656,all_valid_synthetic,frame_reference,ankle,all_conditions
filter1,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.06762816627951437,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.05882464043127948,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.06988160505109339,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.06874023413463833,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.05726632707230157,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.06673445413519014,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.05827238818083308,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.0469024343077364,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.061855735416056115,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.05585349397625908,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.06233629482511251,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.07541791403684465,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.06907300814719355,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.07340963538753001,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.05908110229316139,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.04747638446390851,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.06407708113095353,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.06202112023605986,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.0737810394153596,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.07229309137211065,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.07454838883461773,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.07351358627263892,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.06086816251376839,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.04643321923459397,all_valid_synthetic,frame_reference,ankle,all_conditions
filter2,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.06789962194476629,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.048455442271779794,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.0653541525815669,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.061708143367108156,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.05660516785050845,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.06012599748655657,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.05700679964574632,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.04275050443353014,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.05738630477195455,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.04462667032978787,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.05551661572819518,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.060882608058998894,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.06401009255094742,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.06273707705763171,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.05263317525306065,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.038996615472618706,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.0587494009487045,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.058353556984943225,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.06420794202133377,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.06045354300742381,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.07574588434187372,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.06602990479414046,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.058778972177346955,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.04122914656734408,all_valid_synthetic,frame_reference,ankle,all_conditions
initialized,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.06280163878055706,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.04878073736034143,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.0661198589841778,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.06251528039973869,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.055487012481504824,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.0630714051996023,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.058561433259439834,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.04342037918459701,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.057767823648478746,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.04603924018110515,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.058367563783085524,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.06609889521041526,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.06478765188294061,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.06694464176254927,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.055766203563045846,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.0414494031779239,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.05959231421649905,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.05487757461929247,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.06563964368463987,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.06159054152339431,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.06826847597328238,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.06616205015534403,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.058604325933480264,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.04103803677763535,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_affine,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.06196423651925345,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.04900510112134787,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.06726926612536044,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.06527354192775818,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.05730164503299903,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.06356272651439894,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.05996194950007651,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.04225135550098554,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.05993788309561908,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.04571347197822212,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.058454903653448846,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.0682522205807252,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.06721097789883707,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.06774858345503128,all_valid_synthetic,frame_reference,ankle,all_conditions
joint_offset,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.056526163368458934,all_valid_synthetic,frame_reference,ankle,all_conditions
