window_id,sequence_index,tensor_relative_path,identity,split,start_frame,window_frames
10:64,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,64,64
10:96,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,96,64
10:128,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,128,64
10:160,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,160,64
10:192,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,192,64
10:224,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,224,64
10:256,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,256,64
10:288,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,288,64
10:320,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,320,64
10:352,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,352,64
10:384,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,384,64
10:416,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,416,64
10:448,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,448,64
10:480,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,480,64
10:512,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,512,64
10:544,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,544,64
10:575,10,ACCAD/Female1General_c3d/A4 - look_core11.npz,ACCAD::Female1,train,575,64
11:0,11,ACCAD/Female1General_c3d/A5 - pick up box_core11.npz,ACCAD::Female1,train,0,64
11:32,11,ACCAD/Female1General_c3d/A5 - pick up box_core11.npz,ACCAD::Female1,train,32,64
11:64,11,ACCAD/Female1General_c3d/A5 - pick up box_core11.npz,ACCAD::Female1,train,64,64
11:96,11,ACCAD/Female1General_c3d/A5 - pick up box_core11.npz,ACCAD::Female1,train,96,64
11:125,11,ACCAD/Female1General_c3d/A5 - pick up box_core11.npz,ACCAD::Female1,train,125,64
12:0,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,0,64
12:32,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,32,64
12:64,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,64,64
12:96,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,96,64
12:128,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,128,64
12:160,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,160,64
12:188,12,ACCAD/Female1General_c3d/A6 - lift box_core11.npz,ACCAD::Female1,train,188,64
13:0,13,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD::Female1,train,0,64
13:32,13,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD::Female1,train,32,64
13:64,13,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD::Female1,train,64,64
13:96,13,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD::Female1,train,96,64
13:128,13,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD::Female1,train,128,64
13:149,13,ACCAD/Female1General_c3d/A6- lift box t2_core11.npz,ACCAD::Female1,train,149,64
14:0,14,ACCAD/Female1General_c3d/A7 - crouch_core11.npz,ACCAD::Female1,train,0,64
14:32,14,ACCAD/Female1General_c3d/A7 - crouch_core11.npz,ACCAD::Female1,train,32,64
14:64,14,ACCAD/Female1General_c3d/A7 - crouch_core11.npz,ACCAD::Female1,train,64,64
14:88,14,ACCAD/Female1General_c3d/A7 - crouch_core11.npz,ACCAD::Female1,train,88,64
15:0,15,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD::Female1,train,0,64
15:32,15,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD::Female1,train,32,64
15:64,15,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD::Female1,train,64,64
15:96,15,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD::Female1,train,96,64
15:128,15,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD::Female1,train,128,64
15:130,15,ACCAD/Female1General_c3d/A8 - crouch to lie_core11.npz,ACCAD::Female1,train,130,64
16:0,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,0,64
16:32,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,32,64
16:64,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,64,64
16:96,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,96,64
16:128,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,128,64
16:160,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,160,64
16:173,16,ACCAD/Female1General_c3d/A9 - lie t2_core11.npz,ACCAD::Female1,train,173,64
17:0,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,0,64
17:32,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,32,64
17:64,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,64,64
17:96,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,96,64
17:128,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,128,64
17:160,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,160,64
17:192,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,192,64
17:224,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,224,64
17:256,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,256,64
17:288,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,288,64
17:320,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,320,64
17:352,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,352,64
17:384,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,384,64
17:397,17,ACCAD/Female1Gestures_c3d/D1 - Urban 1_core11.npz,ACCAD::Female1,train,397,64
18:0,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,0,64
18:32,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,32,64
18:64,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,64,64
18:96,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,96,64
18:128,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,128,64
18:160,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,160,64
18:192,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,192,64
18:224,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,224,64
18:256,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,256,64
18:288,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,288,64
18:320,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,320,64
18:352,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,352,64
18:384,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,384,64
18:416,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,416,64
18:448,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,448,64
18:480,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,480,64
18:512,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,512,64
18:544,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,544,64
18:576,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,576,64
18:608,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,608,64
18:640,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,640,64
18:672,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,672,64
18:704,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,704,64
18:736,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,736,64
18:768,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,768,64
18:800,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,800,64
18:832,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,832,64
18:864,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,864,64
18:896,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,896,64
18:928,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,928,64
18:960,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,960,64
18:992,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,992,64
18:1024,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,1024,64
18:1056,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,1056,64
18:1088,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,1088,64
18:1092,18,ACCAD/Female1Gestures_c3d/D2 - Wait 1_core11.npz,ACCAD::Female1,train,1092,64
19:0,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,0,64
19:32,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,32,64
19:64,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,64,64
19:96,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,96,64
19:128,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,128,64
19:160,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,160,64
19:192,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,192,64
19:224,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,224,64
19:256,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,256,64
19:288,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,288,64
19:320,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,320,64
19:352,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,352,64
19:384,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,384,64
19:416,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,416,64
19:448,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,448,64
19:480,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,480,64
19:512,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,512,64
19:544,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,544,64
19:576,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,576,64
19:608,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,608,64
19:640,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,640,64
19:672,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,672,64
19:704,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,704,64
19:736,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,736,64
19:768,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,768,64
19:800,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,800,64
19:832,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,832,64
19:864,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,864,64
19:896,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,896,64
19:928,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,928,64
19:960,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,960,64
19:992,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,992,64
19:1024,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1024,64
19:1056,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1056,64
19:1088,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1088,64
19:1120,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1120,64
19:1152,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1152,64
19:1184,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1184,64
19:1216,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1216,64
19:1248,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1248,64
19:1280,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1280,64
19:1312,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1312,64
19:1344,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1344,64
19:1376,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1376,64
19:1408,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1408,64
19:1440,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1440,64
19:1458,19,ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_core11.npz,ACCAD::Female1,train,1458,64
20:0,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,0,64
20:32,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,32,64
20:64,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,64,64
20:96,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,96,64
20:128,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,128,64
20:160,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,160,64
20:192,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,192,64
20:224,20,ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_core11.npz,ACCAD::Female1,train,224,64
