condition,video_id,url,sequences,annotated_frames,required_last_frame,url_status,availability,duration_seconds,live_status,title,metadata_fps,error,checked_at_utc,yt_dlp_version
myopathic,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,25,4344,2649,public,public,88.0,not_live,Weak Dorsiflexor Gait | Foot Slap Gait & Steppage Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ,10,1435,1548,public,public,52.0,not_live,Scissor GAIT | High Hip Adductor Tone Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,Rz7V1i8kYGU,https://www.youtube.com/watch?v=Rz7V1i8kYGU,3,774,1054,public,public,36.0,not_live,Trendelenburg Gait Demonstration,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,cWujgb8jHNE,https://www.youtube.com/watch?v=cWujgb8jHNE,1,175,175,public,public,6.0,not_live,Trendelenburg Gait (Dr. Yehia Mishriki),30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY,15,1809,2058,public,public,69.0,not_live,Hip Flexor Contracture GAIT | Unilateral and Bilateral,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,8,1371,1154,public,public,43.0,not_live,High Steppage Gait (Diabetic Gait),30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,kqoUzTyn_k4,https://www.youtube.com/watch?v=kqoUzTyn_k4,6,681,723,public,public,34.0,not_live,Weak Hamstrings Gait | Genu Recurvatum Thrust | Explanation,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,lkr-EBeDC3I,https://www.youtube.com/watch?v=lkr-EBeDC3I,3,405,646,public,public,25.0,not_live,Waddling Gait - Applied Biomechanics,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,n93bgWhLZk4,https://www.youtube.com/watch?v=n93bgWhLZk4,1,458,458,public,public,15.0,not_live,Trendelenburg gait,15.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,nrUHUl1fn4I,https://www.youtube.com/watch?v=nrUHUl1fn4I,2,382,447,public,public,18.0,not_live,High Steppage Gait Clinical Examination @ Aiims Raipur,25.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0,3,857,1337,public,public,52.0,not_live,Trendelenburg gait:  Huntington Physical Therapy 25703,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0,2,307,1316,public,public,94.0,not_live,Antalgic Gait Video w/Bloopers,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0,13,2027,2655,public,public,89.0,not_live,Trendelenburg Gait | Weak Gluteus Medius Gait | Compensation,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c,4,603,6000,unavailable,,,,,,ERROR: [youtube] yULxvDc9e8c: This video is unavailable,2026-09-05T04:12:31+00:00,2026.07.04
myopathic,zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8,14,4002,5051,public,public,221.0,not_live,Hip Flexor Weakness Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg,6,872,1647,public,public,55.0,not_live,Foot and ankle evaluation- B - Normal Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA,4,144,274,public,public,2182.0,not_live,Toronto Oasis In The City Walk  - Zig-Zagging My Way To The Brand New Lillian McGregor Downtown Park,60.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY,9,826,940,public,public,46.0,not_live,People Walking Past the Camera - Free Stock Footage For Commercial Projects,24.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE,12,2598,16302,public,public,546.0,not_live,1. Normal gait - AOS Normal & Abnormal Gaits,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,4KU6G7Iv8ZM,https://www.youtube.com/watch?v=4KU6G7Iv8ZM,2,218,1783,public,public,91.0,not_live,Physio U   Mentoring Minutes   Gait and LBP,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk,1,100,165,public,public,7.0,not_live,Normal Walking Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,EHx08gSNfxQ,https://www.youtube.com/watch?v=EHx08gSNfxQ,3,419,7964,public,public,388.0,not_live,How to do Six Minute Walk Test,25.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,13,1832,5994,public,public,271.0,not_live,Evaluación de la capacidad funcional: Incremental Shuttle Walk Test,25.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,13,2548,7399,public,public,366.0,not_live,SHUTTLE WALK TEST,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps,9,1144,4082,public,public,160.0,not_live,livingwithph.ca - SIX MIN WALK TEST,29.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ,47,7910,17970,public,public,615.0,not_live,Walking in Kosovo Capital city: Pristina Walking Tour 4K HDR,60.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA,32,5457,15731,public,public,645.0,not_live,Shuttle walking test,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE,6,667,902,public,public,30.0,not_live,Steppage Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,PAeh4qBwsUk,https://www.youtube.com/watch?v=PAeh4qBwsUk,2,235,514,public,public,43.0,not_live,Normal Walking Speeds,24.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,RMdC8Pa3VbU,https://www.youtube.com/watch?v=RMdC8Pa3VbU,2,311,2712,public,public,114.0,not_live,4-Metre Gait Speed Test,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,VL0AOiZt_lg,https://www.youtube.com/watch?v=VL0AOiZt_lg,7,505,1108,public,public,45.0,not_live,Are you walking correctly!? Watch this…,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,1,169,169,public,public,6.0,not_live,Anterior Normal Walking Gait,30.0,,2026-09-05T04:12:31+00:00,2026.07.04
normal,_-Ubl8iD2B0,https://www.youtube.com/watch?v=_-Ubl8iD2B0,1,171,171,public,public,6.0,not_live,Posterior Normal Walking Gait,,,2026-09-05T03:55:00+00:00,2026.07.04
normal,aqUuTLh6pHk,https://www.youtube.com/watch?v=aqUuTLh6pHk,2,161,3818,public,public,250.0,not_live,Jamie Dornan's funny toe-to-more-toe walk | The Graham Norton Show - BBC,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,6,761,2264,public,public,153.0,not_live,25 ft walk,15.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,eCCYhDSDlDc,https://www.youtube.com/watch?v=eCCYhDSDlDc,2,591,1014,public,public,49.0,not_live,How to walk properly (Without pain),30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,13,1402,4748,public,public,222.0,not_live,Shuttle Walk Test,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,hGNKzkCF4J8,https://www.youtube.com/watch?v=hGNKzkCF4J8,1,1428,1442,public,public,48.0,not_live,WalkActive - how to walk better : Slo mo video.,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4,61,5478,17220,public,public,596.0,not_live,Central Park People Watching,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU,5,403,575,public,public,39.0,not_live,Trendelenburg Gait,24.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,n-O8dHyYIF0,https://www.youtube.com/watch?v=n-O8dHyYIF0,4,535,2669,public,public,129.0,not_live,6 minute walk test,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,7,1163,6602,public,public,274.0,not_live,6 Minute Walk Test Instructional Video,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,sk0EU7MNt78,https://www.youtube.com/watch?v=sk0EU7MNt78,1,112,112,public,public,5.0,not_live,Frontal Gait Normal,60.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,2,440,696,public,public,38.0,not_live,How to walk in barefoot shoes,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,ucZdenbi65k,https://www.youtube.com/watch?v=ucZdenbi65k,4,731,3293,public,public,121.0,not_live,How to complete a timed 25ft walk,60.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34,12,1536,1985,public,public,69.0,not_live,Heel-toe Walking (HTW),30.0,,2026-09-05T04:17:30+00:00,2026.07.04
normal,yFBy0X0D-w8,https://www.youtube.com/watch?v=yFBy0X0D-w8,1,473,473,public,public,16.0,not_live,Normal Gait LLU Locomotion Studies,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws,2,326,750,public,public,34.0,not_live,Festinating Gait- Parkinson's disease,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,2,727,2746,public,public,206.0,not_live,Parkinsonian Gait Video,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE,2,399,902,public,public,83.0,not_live,A 66-year-old man with Parkinson's disease taught to improve walking gait and running gait,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,M-_cogKwXK4,https://www.youtube.com/watch?v=M-_cogKwXK4,4,2031,7563,public,public,338.0,not_live,1.12. Vascular Parkinsonism - Parkinsonism and Related [Spring Video Atlas],24.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM,7,882,1886,public,public,135.0,not_live,Parkinsonism gait,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,b0KrA_96Ks0,https://www.youtube.com/watch?v=b0KrA_96Ks0,2,753,983,public,public,39.0,not_live,Parkinson's gait,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs,8,1784,6521,public,public,374.0,not_live,Strategies Used By Patients With Parkinson Disease to Improve Their Gait and Mobility,24.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc,3,1239,2224,public,public,80.0,not_live,Parkinsonism “festinating” Gait Deviation,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E,7,767,1997,public,public,147.0,not_live,Gait impairments in Parkinson's disease,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,8,891,5530,public,public,226.0,not_live,1.7. Moderate and Severe Parkinsonian Gait - Harry's Video Library of Gait Disorders,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
parkinsons,v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk,2,627,414,public,public,18.0,not_live,Parkinsonian Gait,24.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs,7,2587,4332,public,public,187.0,not_live,How GlideTrak Helps After Stroke to Regain Your Mobility and Fitness,24.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,8mTHlAIdea0,https://www.youtube.com/watch?v=8mTHlAIdea0,4,856,1979,public,public,96.0,not_live,1995 AVM Stroke Survivor Story: Walk Gravel Crawl-Baby Penguins Jacqui Hynd,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,9VzOTO0nV8U,https://www.youtube.com/watch?v=9VzOTO0nV8U,1,166,166,public,public,21.0,not_live,Gait of Foot Drop | High Steppage Gait || Neurology,60.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,B4rOTkTPbMI,https://www.youtube.com/watch?v=B4rOTkTPbMI,2,235,388,public,public,13.0,not_live,SPASTIC GAIT,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU,5,1059,2140,public,public,76.0,not_live,Kickstart User Stories:  Donna Jang rediscovers walking after a stroke,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8,3,334,7194,public,public,249.0,not_live,1995 AVM Stroke Survivor WALK/escalators with/No legbrace Jacqui Hynd,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw,7,10104,12808,public,public,441.0,not_live,iWalk: 6-Minute Walk Test Post-Stroke,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,USurcA3YKDY,https://www.youtube.com/watch?v=USurcA3YKDY,8,2746,3390,public,public,115.0,not_live,Hemiplegic gait,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,YjRoLtP1di0,https://www.youtube.com/watch?v=YjRoLtP1di0,1,1004,1004,private,,,,,,ERROR: [youtube] YjRoLtP1di0: Private video,2026-09-05T04:17:30+00:00,2026.07.04
stroke,Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s,4,446,548,public,public,46.0,not_live,#footdrop : difficulty in lifting front part of foot #FES training || 8128282878/7778889962,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU,3,477,570,public,public,19.0,not_live,Circumduction Gait,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08,2,312,700,public,public,42.0,not_live,Stroke Recovery -- Walking,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg,6,396,569,public,public,62.0,not_live,Cerebellar Gait,10.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE,8,7519,7755,public,public,269.0,not_live,Chronic Dystonia Gait Example,60.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,kA40kglSmYw,https://www.youtube.com/watch?v=kA40kglSmYw,2,687,4275,public,public,268.0,not_live,BalanceTutor improving balance and walking after Stroke,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU,1,302,927,public,public,72.0,not_live,walking after stroke,30.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc,4,2970,6483,public,public,314.0,not_live,Recovery following a Massive Stroke - Sandra.mp4,24.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8,4,611,804,public,public,46.0,not_live,Spinal Cord injury,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
stroke,yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24,4,1123,4966,public,public,239.0,not_live,06 - Walking and tone,25.0,,2026-09-05T04:17:30+00:00,2026.07.04
