metric,extractor,candidate,comparator,people,seed,mean_difference,sd_difference,comparator_mean,ratio_of_means_improvement_percent,sd_as_percent_of_comparator_mean,observed_dz
displacement_nle,vitpose_base,paired_jepa,coordinate,8,17,-7.589232875094595e-05,0.00025885787401475497,0.008041758589996138,-0.9437280154785447,3.2189212237329703,-0.29318145735300316
displacement_nle,vitpose_base,paired_jepa,initialized,8,17,2.5529709253179563e-05,3.4941892186596896e-05,0.008143180628000287,0.3135102906276668,0.42909391038741507,0.7306332787258818
displacement_nle,vitpose_base,paired_jepa,ordinary_jepa,8,17,1.1635148616944238e-05,3.265270022463074e-05,0.008129286067364037,0.1431263277061302,0.40166750135314827,0.3563303658472801
displacement_nle,vitpose_base,paired_jepa,shuffled_jepa,8,17,4.4895049985316975e-06,1.0254814967544128e-05,0.008122140423745611,0.05527490001781223,0.12625754336336642,0.4377948322559413
visible_nle,hrnet_w32,direct,filter1,8,17,0.009179212938044613,0.0021804111616811786,0.020436079499304774,44.9167020433488,10.66942004093963,4.2098541318083775
visible_nle,hrnet_w32,direct,filter2,8,17,0.009152143048312451,0.002229111455873634,0.020409009609572575,44.84364123195748,10.922193180937594,4.1057359533085975
visible_nle,hrnet_w32,direct,joint_affine,8,17,0.0008674467337709,0.0007326399148776841,0.012124313295031037,7.154605070510753,6.042733283524975,1.1840014666901162
visible_nle,hrnet_w32,direct,paired_jepa,8,17,0.000740504244135875,0.0008261436329928867,0.011997370805396014,6.17222103198495,6.886039002989848,0.8963383781743083
visible_nle,hrnet_w32,direct,static,8,17,0.0004046108381892445,0.0006805262128010625,0.011661477399449376,3.469636173272086,5.83567750028993,0.5945558460178285
visible_nle,hrnet_w32,direct,unchanged,8,17,0.009439611412127302,0.002081725403676295,0.020696477973387462,45.60974782407525,10.05835585336345,4.53451324341678
visible_nle,hrnet_w32,paired_jepa,coordinate,8,17,8.819434666843547e-05,5.8319299908164474e-05,0.012085565152064463,0.7297494619303762,0.4825533533134141,1.5122668963330372
visible_nle,hrnet_w32,paired_jepa,initialized,8,17,1.0207303608581986e-05,0.00011590008812673171,0.012007578109004588,0.08500718059812111,0.9652245196707671,0.08806985200408772
visible_nle,hrnet_w32,paired_jepa,ordinary_jepa,8,17,1.776306084457274e-05,0.00021235926435886392,0.012015133866240589,0.14783905899277855,1.767431530293128,0.0836462722650758
visible_nle,hrnet_w32,paired_jepa,shuffled_jepa,8,17,-4.734335079084866e-06,1.4349447252717794e-05,0.011992636470316925,-0.03947701650761164,0.11965214895185251,-0.32993152946627824
visible_nle,rtmpose_m,direct,filter1,8,17,0.009002229942891812,0.0026935619717496253,0.01928958584044961,46.66886068654952,13.963814433492484,3.3421283925553564
visible_nle,rtmpose_m,direct,filter2,8,17,0.009017282280262126,0.002690239530992695,0.019304638177819924,46.7104443875179,13.935715894865346,3.3518510810577373
visible_nle,rtmpose_m,direct,joint_affine,8,17,0.0009009033472981228,0.0005560414904199066,0.011188259244855912,8.052220882460656,4.969865984072195,1.6202088563890915
visible_nle,rtmpose_m,direct,paired_jepa,8,17,0.0007454675769978749,0.0006107377361571477,0.011032823474555649,6.756815956650652,5.535643143078072,1.220601794951246
visible_nle,rtmpose_m,direct,static,8,17,0.00017866070680219745,0.00043291723054110184,0.010466016604359949,1.7070554496136636,4.136408787663843,0.4126902192802306
visible_nle,rtmpose_m,direct,unchanged,8,17,0.009091084900436388,0.0027042294679647094,0.019378440797994174,46.91339718816484,13.954835149815661,3.361802320451242
visible_nle,rtmpose_m,paired_jepa,coordinate,8,17,0.0001659630766592084,6.0791474810605446e-05,0.011198786551214899,1.4819737468896033,0.5428398383395431,2.7300386637478833
visible_nle,rtmpose_m,paired_jepa,initialized,8,17,-4.777368370132036e-05,0.00023939268829296085,0.010985049790854351,-0.43489728868679817,2.1792590188555017,-0.19956200016792705
visible_nle,rtmpose_m,paired_jepa,ordinary_jepa,8,17,-0.00011619461662684692,0.00033926616447045523,0.010916628857928774,-1.0643818539498526,3.1077924227866864,-0.34248807807937376
visible_nle,rtmpose_m,paired_jepa,shuffled_jepa,8,17,-5.826784729589911e-06,2.6276734563100624e-05,0.011026996689826075,-0.05284108532440137,0.23829457196939702,-0.22174691134461713
visible_nle,vitpose_base,direct,filter1,8,17,0.009700772598447649,0.0024092196122343368,0.02322981967430969,41.75999958009111,10.371236824101306,4.0265206829571865
visible_nle,vitpose_base,direct,filter2,8,17,0.009744898069566186,0.0023965416696295904,0.023273945145428188,41.8704177941247,10.29710113457217,4.066233520184257
visible_nle,vitpose_base,direct,joint_affine,8,17,0.001257708614821125,0.0008332748489318919,0.0147867556906831,8.50564275984885,5.635278396172631,1.5093562663427087
visible_nle,vitpose_base,direct,paired_jepa,8,17,0.0012950011553070125,0.0007008454620954579,0.014824048231169024,8.735813153819514,4.727760266064577,1.8477699084118895
visible_nle,vitpose_base,direct,static,8,17,0.0008703151468727,0.0012861472123322196,0.014399362222734663,6.044122881349487,8.931973461307651,0.6766839274133514
visible_nle,vitpose_base,direct,unchanged,8,17,0.009745687264706638,0.00244537865548858,0.023274734340568648,41.8723888406304,10.506580310247418,3.9853489531499475
visible_nle,vitpose_base,paired_jepa,coordinate,8,17,-0.00010841622440027144,0.0001474462617505883,0.014715632006768726,-0.7367418833958569,1.0019702971830748,-0.7352931373985062
visible_nle,vitpose_base,paired_jepa,initialized,8,17,8.240185293796154e-05,0.0003024137571227625,0.014906450084106987,0.5527932705172847,2.0287443047569798,0.2724805039359077
visible_nle,vitpose_base,paired_jepa,ordinary_jepa,8,17,0.00013771394119030104,0.0003202906844097628,0.014961762172359313,0.920439314593015,2.1407283495086884,0.42996549039221255
visible_nle,vitpose_base,paired_jepa,shuffled_jepa,8,17,8.431661041791334e-06,2.5034943635689774e-05,0.014832479892210801,0.05684592935952117,0.1687846119975982,0.33679568704006074
