method,seed,A_error,waveform_error,visible_nle,synthetic_all_nle,displacement_nle,assignment_failure_rate,response_error,nuisance_error,interaction_error
M-coordinate-graph_time-base,17,11.5315706182,16.087969862,0.0483764015021,0.0490266120377,0.0333824242324,0.387856221804,11.0740357579,12.2555830993,15.1256305574
M-coordinate-graph_time-base,29,10.3713346517,15.6097439965,0.0486081196229,0.0487610718754,0.0333143495112,0.384445392162,9.32813868792,10.2292718615,10.8531539566
M-coordinate-graph_time-base,43,11.4986369349,15.9422942825,0.0477306953792,0.04833755187,0.0329698908384,0.40018797913,10.3396386585,10.8901968286,13.4253725376
M-coordinate-graph_time-paired_change,17,14.4699067094,21.2978799601,0.05535097735,0.0561335149806,0.0390314704172,0.446870985922,12.4456195823,12.174887604,17.9641236394
M-coordinate-graph_time-paired_change,29,15.7586925436,21.424787544,0.0566144396202,0.0567460286654,0.0387472152111,0.437353438536,9.83880635915,11.2446831947,11.678424703
M-coordinate-graph_time-paired_change,43,12.3894868046,21.4918368564,0.0542644142015,0.0554627117953,0.0383287611194,0.450102655912,11.238586767,13.9136064636,15.7456302172
M-paired_jepa-graph_time-base,17,12.6032659689,18.2472486767,0.0627649786771,0.0623508856669,0.0342468692479,0.483454972299,10.6780682453,13.90545979,14.816329828
M-paired_jepa-graph_time-base,29,11.4874531945,17.142993563,0.0616229024378,0.0626018481158,0.0333787511463,0.481546482481,10.8701212971,14.3241603051,16.3668934176
M-paired_jepa-graph_time-base,43,11.7673967987,16.969365405,0.0633579108374,0.0627456619648,0.0340263589549,0.494317035279,10.5260361422,14.2725101122,15.3590326916
M-paired_jepa-graph_time-paired_change,17,11.9499363128,22.0843619071,0.067898541311,0.0691756914772,0.0382093268649,0.492576358054,10.8065538987,13.2253084434,15.754885603
M-paired_jepa-graph_time-paired_change,29,23.7697839114,22.7595153539,0.0686707242055,0.0706029289126,0.0376799243226,0.497084828361,9.90147964503,12.6882279508,12.9000536451
M-paired_jepa-graph_time-paired_change,43,12.8741283254,22.8160611857,0.0685676391647,0.0701626823911,0.0382114223599,0.501251016854,9.49066777285,12.3666619475,12.5238199181
P-direct-none-base,17,8.88635773098,11.932046833,0.0249638496199,0.0298616234351,0.0189965648818,0.210229575349,7.53929467769,10.1890590215,10.4865871032
P-direct-none-base,29,9.34710804938,12.344267093,0.0247469957318,0.02985598371,0.0192701789302,0.208291008516,7.88575275587,10.743487296,11.2262161458
P-direct-none-base,43,9.15039256615,11.9435393909,0.0248017970431,0.0296541488011,0.0188861290095,0.210123488302,7.20741719006,10.5461610145,9.87941384654
P-direct-none-paired_change,17,15.6204950901,19.3421625907,0.0473367368421,0.0514772474754,0.0307806204375,0.386659100476,11.2146436765,17.1870731148,18.7179967704
P-direct-none-paired_change,29,16.0599059168,19.0901776548,0.0468754699064,0.0516031142133,0.0313427471694,0.394442811891,10.0481181766,15.1252616223,15.7405232584
P-direct-none-paired_change,43,14.034551678,19.410177676,0.0483684654996,0.0522857986239,0.0325879498529,0.400454553178,11.0001904662,17.5664105289,17.3818608864
filter0,17,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
filter0,29,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
filter0,43,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
filter1,17,13.1341827643,18.3225943748,0.0674006777557,0.071053922415,0.0303375971853,0.494002420147,13.8169815619,18.5047793579,24.7950123838
filter1,29,13.1341827643,18.3225943748,0.0674006777557,0.071053922415,0.0303375971853,0.494002420147,13.8169815619,18.5047793579,24.7950123838
filter1,43,13.1341827643,18.3225943748,0.0674006777557,0.071053922415,0.0303375971853,0.494002420147,13.8169815619,18.5047793579,24.7950123838
filter2,17,11.7445721068,17.6560955985,0.0673499003757,0.0706884684987,0.0297046467638,0.492127898696,10.7363293713,15.3004738764,17.2853934994
filter2,29,11.7445721068,17.6560955985,0.0673499003757,0.0706884684987,0.0297046467638,0.492127898696,10.7363293713,15.3004738764,17.2853934994
filter2,43,11.7445721068,17.6560955985,0.0673499003757,0.0706884684987,0.0297046467638,0.492127898696,10.7363293713,15.3004738764,17.2853934994
joint_affine,17,12.0383606859,16.7468902764,0.069612163695,0.0691429071415,0.0308445639674,0.497711882277,11.3908497123,15.8706805413,17.7187057392
joint_affine,29,12.0383606859,16.7468902764,0.069612163695,0.0691429071415,0.0308445639674,0.497711882277,11.3908497123,15.8706805413,17.7187057392
joint_affine,43,12.0383606859,16.7468902764,0.069612163695,0.0691429071415,0.0308445639674,0.497711882277,11.3908497123,15.8706805413,17.7187057392
joint_offset,17,11.7650848458,17.3673341184,0.0687298175147,0.070903813889,0.0316874683174,0.489514643017,9.94796048573,14.7938873469,15.2079723726
joint_offset,29,11.7650848458,17.3673341184,0.0687298175147,0.070903813889,0.0316874683174,0.489514643017,9.94796048573,14.7938873469,15.2079723726
joint_offset,43,11.7650848458,17.3673341184,0.0687298175147,0.070903813889,0.0316874683174,0.489514643017,9.94796048573,14.7938873469,15.2079723726
unchanged,17,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
unchanged,29,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
unchanged,43,12.9708759779,18.5708326679,0.0677128665607,0.0717720668364,0.0316874683119,0.499055171686,12.6880832907,17.6017619514,21.9677438371
