clip,clip_id,youtube_video_id,sequence_id,status,frames,first_frame,last_frame,stride_period,seg_method,cam_view,subject_detect_frac,bbox_source,pad
FTHc-TJOQ34.mp4,FTHc-TJOQ34,FTHc-TJOQ34,aug-FTHc-TJOQ34-w02,written,78,101,178,50.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w00,written,40,1,40,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w01,written,40,69,108,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w02,written,40,137,176,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w03,written,40,205,244,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w04,written,40,273,312,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w05,written,40,341,380,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w06,written,40,409,448,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
JD1AGVpftps.mp4,JD1AGVpftps,JD1AGVpftps,aug-JD1AGVpftps-w07,written,38,477,514,20.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
MN4vnaNwIsA.mp4,MN4vnaNwIsA,MN4vnaNwIsA,aug-MN4vnaNwIsA-w00,written,64,1,64,32.0,autocorr_ankle_sep,right side,0.8186274509803921,mediapipe_pose_auto,0.15
MN4vnaNwIsA.mp4,MN4vnaNwIsA,MN4vnaNwIsA,aug-MN4vnaNwIsA-w01,written,64,33,96,32.0,autocorr_ankle_sep,right side,0.8186274509803921,mediapipe_pose_auto,0.15
MN4vnaNwIsA.mp4,MN4vnaNwIsA,MN4vnaNwIsA,aug-MN4vnaNwIsA-w02,written,64,65,128,32.0,autocorr_ankle_sep,right side,0.8186274509803921,mediapipe_pose_auto,0.15
MN4vnaNwIsA.mp4,MN4vnaNwIsA,MN4vnaNwIsA,aug-MN4vnaNwIsA-w03,written,64,97,160,32.0,autocorr_ankle_sep,right side,0.8186274509803921,mediapipe_pose_auto,0.15
MN4vnaNwIsA.mp4,MN4vnaNwIsA,MN4vnaNwIsA,aug-MN4vnaNwIsA-w04,written,64,129,192,32.0,autocorr_ankle_sep,right side,0.8186274509803921,mediapipe_pose_auto,0.15
MN4vnaNwIsA.mp4,MN4vnaNwIsA,MN4vnaNwIsA,aug-MN4vnaNwIsA-w05,written,44,161,204,32.0,autocorr_ankle_sep,right side,0.8186274509803921,mediapipe_pose_auto,0.15
PAeh4qBwsUk.mp4,PAeh4qBwsUk,PAeh4qBwsUk,aug-PAeh4qBwsUk-w00,written,96,1,96,54.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
VL0AOiZt_lg.mp4,VL0AOiZt_lg,VL0AOiZt_lg,aug-VL0AOiZt_lg-w00,written,68,1,68,34.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
VL0AOiZt_lg.mp4,VL0AOiZt_lg,VL0AOiZt_lg,aug-VL0AOiZt_lg-w01,written,46,35,80,34.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
WpARylM4UYU.mp4,WpARylM4UYU,WpARylM4UYU,aug-WpARylM4UYU-w00,written,60,1,60,30.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
WpARylM4UYU.mp4,WpARylM4UYU,WpARylM4UYU,aug-WpARylM4UYU-w01,written,60,31,90,30.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
WpARylM4UYU.mp4,WpARylM4UYU,WpARylM4UYU,aug-WpARylM4UYU-w02,written,60,61,120,30.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
WpARylM4UYU.mp4,WpARylM4UYU,WpARylM4UYU,aug-WpARylM4UYU-w03,written,60,91,150,30.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
WpARylM4UYU.mp4,WpARylM4UYU,WpARylM4UYU,aug-WpARylM4UYU-w04,written,48,121,168,30.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
_-Ubl8iD2B0.mp4,_-Ubl8iD2B0,_-Ubl8iD2B0,aug-_-Ubl8iD2B0-w00,written,171,1,171,,no_peak,right side,1.0,mediapipe_pose_auto,0.15
diCVwltkV5M.mp4,diCVwltkV5M,diCVwltkV5M,aug-diCVwltkV5M-w00,written,176,1,176,,no_peak,left side,0.5738636363636364,mediapipe_pose_auto,0.15
eCCYhDSDlDc.mp4,eCCYhDSDlDc,eCCYhDSDlDc,aug-eCCYhDSDlDc-w00,written,84,1,84,42.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
eCCYhDSDlDc.mp4,eCCYhDSDlDc,eCCYhDSDlDc,aug-eCCYhDSDlDc-w01,written,84,43,126,42.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
eCCYhDSDlDc.mp4,eCCYhDSDlDc,eCCYhDSDlDc,aug-eCCYhDSDlDc-w02,written,52,85,136,42.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
gp4H7Z2Vvn0_clip-01.mp4,gp4H7Z2Vvn0_clip-01,gp4H7Z2Vvn0,aug-gp4H7Z2Vvn0_clip-01-w00,written,57,1,57,84.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
gp4H7Z2Vvn0_clip-02.mp4,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,aug-gp4H7Z2Vvn0_clip-02-w00,written,124,1,124,62.0,autocorr_ankle_sep,left side,0.9969418960244648,mediapipe_pose_auto,0.15
gp4H7Z2Vvn0_clip-02.mp4,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,aug-gp4H7Z2Vvn0_clip-02-w01,written,124,63,186,62.0,autocorr_ankle_sep,left side,0.9969418960244648,mediapipe_pose_auto,0.15
gp4H7Z2Vvn0_clip-02.mp4,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,aug-gp4H7Z2Vvn0_clip-02-w02,written,124,125,248,62.0,autocorr_ankle_sep,left side,0.9969418960244648,mediapipe_pose_auto,0.15
gp4H7Z2Vvn0_clip-02.mp4,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,aug-gp4H7Z2Vvn0_clip-02-w03,written,124,187,310,62.0,autocorr_ankle_sep,left side,0.9969418960244648,mediapipe_pose_auto,0.15
gp4H7Z2Vvn0_clip-02.mp4,gp4H7Z2Vvn0_clip-02,gp4H7Z2Vvn0,aug-gp4H7Z2Vvn0_clip-02-w04,written,79,249,327,62.0,autocorr_ankle_sep,left side,0.9969418960244648,mediapipe_pose_auto,0.15
n-O8dHyYIF0.mp4,n-O8dHyYIF0,n-O8dHyYIF0,aug-n-O8dHyYIF0-w00,written,120,1,120,60.0,autocorr_ankle_sep,right side,0.8062678062678063,mediapipe_pose_auto,0.15
n-O8dHyYIF0.mp4,n-O8dHyYIF0,n-O8dHyYIF0,aug-n-O8dHyYIF0-w01,written,120,61,180,60.0,autocorr_ankle_sep,right side,0.8062678062678063,mediapipe_pose_auto,0.15
n-O8dHyYIF0.mp4,n-O8dHyYIF0,n-O8dHyYIF0,aug-n-O8dHyYIF0-w02,written,120,121,240,60.0,autocorr_ankle_sep,right side,0.8062678062678063,mediapipe_pose_auto,0.15
n-O8dHyYIF0.mp4,n-O8dHyYIF0,n-O8dHyYIF0,aug-n-O8dHyYIF0-w03,written,120,181,300,60.0,autocorr_ankle_sep,right side,0.8062678062678063,mediapipe_pose_auto,0.15
n-O8dHyYIF0.mp4,n-O8dHyYIF0,n-O8dHyYIF0,aug-n-O8dHyYIF0-w04,written,111,241,351,60.0,autocorr_ankle_sep,right side,0.8062678062678063,mediapipe_pose_auto,0.15
nXuJIs25z1U_clip-01.mp4,nXuJIs25z1U_clip-01,nXuJIs25z1U,aug-nXuJIs25z1U_clip-01-w00,written,104,1,104,52.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
nXuJIs25z1U_clip-01.mp4,nXuJIs25z1U_clip-01,nXuJIs25z1U,aug-nXuJIs25z1U_clip-01-w01,written,104,53,156,52.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
nXuJIs25z1U_clip-01.mp4,nXuJIs25z1U_clip-01,nXuJIs25z1U,aug-nXuJIs25z1U_clip-01-w02,written,61,105,165,52.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
nXuJIs25z1U_clip-02.mp4,nXuJIs25z1U_clip-02,nXuJIs25z1U,aug-nXuJIs25z1U_clip-02-w00,written,116,1,116,58.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
nXuJIs25z1U_clip-02.mp4,nXuJIs25z1U_clip-02,nXuJIs25z1U,aug-nXuJIs25z1U_clip-02-w01,written,116,59,174,58.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
nXuJIs25z1U_clip-02.mp4,nXuJIs25z1U_clip-02,nXuJIs25z1U,aug-nXuJIs25z1U_clip-02-w02,written,87,117,203,58.0,autocorr_ankle_sep,right side,1.0,mediapipe_pose_auto,0.15
tUT8Fh1zGKA.mp4,tUT8Fh1zGKA,tUT8Fh1zGKA,aug-tUT8Fh1zGKA-w00,written,56,1,56,28.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
tUT8Fh1zGKA.mp4,tUT8Fh1zGKA,tUT8Fh1zGKA,aug-tUT8Fh1zGKA-w01,written,56,29,84,28.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
tUT8Fh1zGKA.mp4,tUT8Fh1zGKA,tUT8Fh1zGKA,aug-tUT8Fh1zGKA-w02,written,44,57,100,28.0,autocorr_ankle_sep,left side,1.0,mediapipe_pose_auto,0.15
